OIL9 菜油指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2015/09/01	5642	5696	5622	5688	46194	210502	0
2015/09/02	5670	5682	5602	5636	56432	212738	0
2015/09/07	5608	5648	5598	5644	39324	206564	0
2015/09/08	5660	5700	5646	5680	53134	208830	0
2015/09/09	5706	5712	5660	5662	70000	219568	0
2015/09/10	5672	5694	5624	5692	94152	225066	0
2015/09/11	5680	5714	5672	5678	79098	228262	0
2015/09/14	5664	5684	5620	5666	78828	227772	0
2015/09/15	5682	5704	5604	5610	103214	232776	0
2015/09/16	5606	5646	5590	5640	76034	236012	0
2015/09/17	5642	5652	5600	5622	51562	227236	0
2015/09/18	5606	5648	5606	5612	44586	226382	0
2015/09/21	5594	5626	5578	5608	57176	225228	0
2015/09/22	5618	5634	5556	5574	71818	228458	0
2015/09/23	5560	5608	5554	5580	67004	220228	0
2015/09/24	5596	5620	5576	5598	42638	220138	0
2015/09/25	5584	5652	5580	5636	140444	211836	0
2015/09/28	5684	5692	5646	5668	73016	205068	0
2015/09/29	5660	5670	5578	5602	72442	191734	0
2015/09/30	5630	5638	5602	5622	42570	189916	0
2015/10/08	5700	5736	5640	5656	40006	192952	0
2015/10/09	5654	5724	5652	5704	68032	204592	0
2015/10/12	5702	5800	5676	5770	91310	208938	0
2015/10/13	5764	5802	5712	5788	55202	216094	0
2015/10/14	5782	5790	5756	5780	51544	218026	0
2015/10/15	5810	5816	5750	5760	60804	220720	0
2015/10/16	5742	5768	5712	5748	51428	220478	0
2015/10/19	5734	5746	5696	5706	54322	222836	0
2015/10/20	5682	5694	5606	5638	84684	222448	0
2015/10/21	5650	5686	5650	5664	52076	218676	0
2015/10/22	5668	5728	5664	5726	66730	221758	0
2015/10/23	5724	5732	5648	5666	63402	214908	0
2015/10/26	5672	5672	5632	5644	56806	209546	0
2015/10/27	5642	5646	5586	5634	77828	216574	0
2015/10/28	5632	5650	5600	5618	55250	214614	0
2015/10/29	5626	5694	5622	5636	58830	212110	0
2015/10/30	5640	5654	5620	5628	38136	210422	0
2015/11/02	5622	5658	5602	5652	47588	215214	0
2015/11/03	5630	5650	5618	5628	66348	208500	0
2015/11/04	5634	5702	5622	5702	99016	219052	0
2015/11/05	5696	5740	5664	5708	101292	212540	0
2015/11/06	5704	5708	5642	5664	91664	210040	0
2015/11/09	5662	5698	5644	5674	59860	213596	0
2015/11/10	5686	5706	5646	5682	66642	214750	0
2015/11/11	5674	5676	5604	5612	92316	211682	0
2015/11/12	5614	5632	5580	5618	66432	199754	0
2015/11/13	5602	5640	5568	5610	54226	194606	0
2015/11/16	5598	5614	5526	5542	87810	204110	0
2015/11/17	5532	5576	5500	5566	114130	214248	0
2015/11/18	5570	5582	5538	5556	56262	209690	0
2015/11/19	5564	5576	5524	5538	61814	202740	0
2015/11/20	5532	5622	5506	5616	81244	199798	0
2015/11/23	5612	5668	5594	5606	83156	201664	0
2015/11/24	5614	5780	5594	5752	113990	207544	0
2015/11/25	5736	5762	5698	5730	69750	208170	0
2015/11/26	5716	5808	5694	5742	105744	211994	0
2015/11/27	5752	5802	5734	5790	63998	218098	0
2015/11/30	5778	5786	5720	5756	56628	210428	0
2015/12/01	5778	5844	5768	5786	80244	218504	0
2015/12/02	5792	5852	5768	5820	58202	220926	0
2015/12/03	5810	5846	5756	5794	65244	222904	0
2015/12/04	5806	5840	5792	5796	57350	224496	0
2015/12/07	5806	5922	5780	5874	81658	225968	0
2015/12/08	5874	5880	5744	5770	73144	220566	0
2015/12/09	5708	5708	5628	5640	165414	245406	0
2015/12/10	5646	5668	5610	5628	98126	250270	0
2015/12/11	5606	5662	5572	5652	154312	250658	0
2015/12/14	5652	5678	5596	5636	97256	242610	0
2015/12/15	5602	5678	5596	5622	88176	245440	0
2015/12/16	5614	5628	5590	5616	86300	232068	0
2015/12/17	5608	5644	5574	5588	95660	225382	0
2015/12/18	5584	5612	5570	5610	84310	220806	0
2015/12/21	5624	5666	5606	5662	112954	235416	0
2015/12/22	5656	5684	5642	5652	108900	252862	0
2015/12/23	5660	5668	5628	5650	62952	249746	0
2015/12/24	5658	5688	5636	5644	72194	250334	0
2015/12/25	5636	5672	5636	5660	40234	253992	0
2015/12/28	5662	5668	5610	5616	67874	246020	0
2015/12/29	5608	5682	5592	5678	84054	242584	0
2015/12/30	5674	5734	5666	5716	144298	248226	0
2015/12/31	5704	5716	5680	5704	86964	245096	0
2016/01/04	5700	5728	5632	5660	77608	234054	0
2016/01/05	5648	5702	5642	5698	67906	235822	0
2016/01/06	5688	5694	5628	5636	78236	230112	0
2016/01/07	5624	5666	5616	5626	74754	232092	0
2016/01/08	5626	5656	5612	5624	61454	233390	0
2016/01/11	5628	5630	5584	5592	121010	235288	0
2016/01/12	5582	5600	5536	5542	111194	230764	0
2016/01/13	5548	5568	5532	5548	66420	233960	0
2016/01/14	5554	5570	5526	5544	87502	238164	0
