RBL9 螺纹指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2015/09/01	1960	1971	1948	1964	4800488	3117886	0
2015/09/02	1961	1968	1951	1956	2726220	2982782	0
2015/09/07	1958	1958	1869	1922	4359068	3217782	0
2015/09/08	1922	1950	1919	1950	3832374	3149528	0
2015/09/09	1954	1981	1949	1951	8370982	3140300	0
2015/09/10	1952	1970	1943	1959	5042436	3178986	0
2015/09/11	1961	1971	1948	1948	5370112	3254686	0
2015/09/14	1946	1950	1931	1934	4364318	3318998	0
2015/09/15	1930	1939	1913	1915	3487922	3412610	0
2015/09/16	1918	1944	1917	1938	4224864	3294866	0
2015/09/17	1936	1953	1930	1931	4647378	3368958	0
2015/09/18	1933	1939	1924	1927	3374240	3384542	0
2015/09/21	1925	1930	1899	1909	4011002	3546532	0
2015/09/22	1910	1918	1889	1896	3306698	3674534	0
2015/09/23	1893	1908	1884	1906	3780438	3510512	0
2015/09/24	1907	1908	1891	1896	1924062	3522526	0
2015/09/25	1893	1911	1887	1893	3000308	3460912	0
2015/09/28	1900	1900	1858	1862	2468996	3620206	0
2015/09/29	1855	1860	1832	1836	3562970	3356724	0
2015/09/30	1842	1842	1820	1826	2667498	3381110	0
2015/10/08	1830	1856	1824	1833	2745014	3365902	0
2015/10/09	1831	1869	1830	1860	3845238	3317046	0
2015/10/12	1861	1874	1845	1855	4435444	3347116	0
2015/10/13	1852	1859	1829	1846	3384192	3462060	0
2015/10/14	1844	1849	1833	1837	2852464	3603608	0
2015/10/15	1836	1850	1833	1841	2386196	3608138	0
2015/10/16	1839	1842	1828	1836	2803138	3636366	0
2015/10/19	1835	1846	1809	1815	3646508	3893436	0
2015/10/20	1814	1823	1803	1809	2624902	3893850	0
2015/10/21	1809	1815	1794	1808	4839840	3995282	0
2015/10/22	1808	1821	1804	1806	3180370	3936342	0
2015/10/23	1805	1810	1783	1802	3351264	3863038	0
2015/10/26	1802	1805	1792	1797	3275262	3897258	0
