600318 新力金融 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/12/08	4.45	4.51	3.85	3.87	41340400	553761856.00
2000/12/11	3.71	3.79	3.57	3.69	9688600	116020816.00
2000/12/12	3.67	3.84	3.63	3.76	4236600	51638076.00
2000/12/13	3.78	3.87	3.78	3.82	6505300	81072112.00
2000/12/14	3.84	3.84	3.70	3.73	2259600	27585636.00
2000/12/15	3.73	3.75	3.67	3.71	1928300	23242588.00
2000/12/18	3.68	3.73	3.64	3.71	1640500	19661728.00
2000/12/19	3.70	3.74	3.67	3.72	1286300	15521617.00
2000/12/20	3.72	3.79	3.67	3.76	2335500	28501040.00
2000/12/21	3.77	3.78	3.67	3.72	2356000	28688782.00
2000/12/22	3.70	3.72	3.68	3.69	1752100	21123028.00
2000/12/25	3.69	3.76	3.66	3.73	1584400	19187938.00
2000/12/26	3.74	3.84	3.74	3.82	2227300	27643544.00
2000/12/27	3.83	3.92	3.79	3.89	2755500	34547728.00
2000/12/28	3.87	3.91	3.84	3.87	2043000	25787062.00
2000/12/29	3.87	3.98	3.87	3.94	2960000	37925324.00
2001/01/02	3.96	4.00	3.88	3.98	2548300	32755096.00
2001/01/03	3.98	3.99	3.93	3.97	2636500	33942392.00
2001/01/04	3.97	3.98	3.88	3.95	2434300	31234646.00
2001/01/05	3.95	4.06	3.93	4.05	2623500	34400364.00
2001/01/08	4.06	4.12	4.00	4.04	3222200	42475852.00
2001/01/09	4.04	4.06	3.97	4.00	1907900	24849224.00
2001/01/10	4.00	4.05	3.99	4.03	1870200	24384004.00
2001/01/11	4.03	4.10	4.03	4.05	1497100	19764952.00
2001/01/12	4.05	4.07	3.97	3.98	1522000	19751292.00
2001/01/15	3.97	3.97	3.84	3.84	1473600	18622840.00
2001/01/16	3.82	3.90	3.78	3.89	1349300	16829680.00
2001/01/17	3.89	3.90	3.80	3.83	629700	7879209.00
2001/01/18	3.80	3.85	3.80	3.84	628400	7856783.00
2001/01/19	3.84	3.91	3.84	3.89	898500	11366362.00
2001/02/05	3.89	3.89	3.67	3.74	688900	8528588.00
2001/02/06	3.69	3.79	3.68	3.78	581100	7077598.00
2001/02/07	3.78	3.79	3.74	3.75	281100	3443838.00
2001/02/08	3.71	3.76	3.70	3.70	467700	5687379.00
2001/02/09	3.70	3.74	3.67	3.73	870900	10535066.00
2001/02/12	3.70	3.74	3.69	3.74	354400	4296469.00
2001/02/13	3.74	3.80	3.74	3.76	366700	4508831.00
2001/02/14	3.76	3.77	3.71	3.74	237200	2905001.00
2001/02/15	3.74	3.78	3.73	3.74	297400	3637456.00
2001/02/16	3.74	3.74	3.63	3.71	550100	6612462.00
2001/02/19	3.70	3.77	3.67	3.76	283600	3452886.00
2001/02/20	3.76	3.78	3.67	3.71	536600	6532102.00
2001/02/21	3.70	3.70	3.64	3.65	630000	7546768.00
2001/02/22	3.64	3.69	3.61	3.64	323100	3859743.00
2001/02/23	3.64	3.70	3.63	3.70	396500	4729140.00
2001/02/26	3.70	3.75	3.70	3.75	427300	5212630.00
2001/02/27	3.77	3.77	3.74	3.77	411400	5041714.00
2001/02/28	3.77	3.78	3.73	3.75	277700	3401864.00
2001/03/01	3.76	3.82	3.74	3.82	627900	7747750.00
2001/03/02	3.82	3.86	3.81	3.82	841600	10514211.00
2001/03/05	3.83	3.84	3.77	3.78	457100	5659944.00
2001/03/06	3.80	3.80	3.74	3.78	342100	4203109.00
2001/03/07	3.76	3.83	3.76	3.82	477100	5934192.00
2001/03/08	3.82	3.82	3.79	3.80	302800	3755928.00
2001/03/09	3.80	3.81	3.78	3.78	459400	5674563.00
2001/03/12	3.78	3.78	3.75	3.78	395400	4857037.00
2001/03/13	3.78	3.84	3.77	3.83	607200	7543930.00
2001/03/14	3.83	3.89	3.83	3.89	1390100	17534088.00
2001/03/15	3.89	3.91	3.86	3.87	776300	9817030.00
2001/03/16	3.87	3.88	3.83	3.86	509700	6398336.00
2001/03/19	3.86	3.93	3.84	3.93	1046000	13295658.00
2001/03/20	3.93	3.94	3.90	3.93	597000	7623176.00
2001/03/21	3.93	3.93	3.84	3.86	1289300	16240943.00
2001/03/22	3.86	3.89	3.85	3.89	1314200	16557406.00
2001/03/23	3.90	3.91	3.80	3.80	1028500	12908809.00
2001/03/26	3.79	3.86	3.79	3.86	695900	8700222.00
2001/03/27	3.86	3.88	3.84	3.87	741000	9318199.00
2001/03/28	3.87	3.93	3.86	3.93	1010500	12829546.00
2001/03/29	3.93	3.95	3.90	3.90	761400	9710354.00
2001/03/30	3.90	3.98	3.88	3.97	1322700	16935810.00
2001/04/02	3.99	4.03	3.96	4.00	2044200	26588284.00
2001/04/03	4.00	4.01	3.93	3.96	956100	12336506.00
2001/04/04	3.96	3.98	3.86	3.89	934000	11953914.00
2001/04/05	3.87	3.98	3.86	3.98	843800	10768119.00
2001/04/06	4.00	4.00	3.93	3.93	863300	11119678.00
2001/04/09	3.94	4.11	3.93	4.11	4117200	54314384.00
2001/04/10	4.11	4.15	4.07	4.10	3255500	43476084.00
2001/04/11	4.10	4.21	4.09	4.19	3851000	51863184.00
2001/04/12	4.20	4.22	4.11	4.17	2945700	39921752.00
2001/04/13	4.17	4.21	4.13	4.20	2306100	31201420.00
2001/04/16	4.21	4.25	4.17	4.20	2352100	32018332.00
2001/04/17	4.21	4.23	4.14	4.19	2460100	33272306.00
2001/04/18	4.20	4.39	4.16	4.37	5182900	71764624.00
2001/04/19	4.37	4.41	4.28	4.38	4419600	62263184.00
2001/04/20	4.39	4.48	4.28	4.30	5036600	71860584.00
2001/04/24	4.35	4.36	4.25	4.26	2021100	28031348.00
2001/04/25	4.26	4.29	4.10	4.11	3057300	41437572.00
2001/04/26	4.11	4.13	4.04	4.05	1879400	24903042.00
2001/04/27	4.05	4.11	4.04	4.07	1157500	15306015.00
2001/04/30	4.07	4.09	4.05	4.06	904400	11937025.00
2001/05/08	4.07	4.16	4.07	4.11	633900	8460200.00
2001/05/09	4.11	4.15	4.10	4.12	625000	8365277.00
2001/05/10	4.12	4.16	4.11	4.16	612200	8209815.00
2001/05/11	4.18	4.28	4.16	4.25	1359100	18699778.00
2001/05/14	4.26	4.32	4.23	4.27	1304700	18078036.00
2001/05/15	4.28	4.29	4.22	4.25	976600	13389787.00
2001/05/16	4.26	4.41	4.20	4.31	2255800	31547068.00
2001/05/17	4.33	4.33	4.26	4.28	1366300	19016096.00
2001/05/18	4.28	4.34	4.23	4.31	1248000	17277972.00
2001/05/21	4.31	4.32	4.28	4.29	1060700	14732808.00
2001/05/22	4.26	4.39	4.26	4.35	2559000	36021536.00
2001/05/23	4.36	4.38	4.20	4.26	1502600	20852746.00
