600511 ��ҩ�ɷ� ���� ǰ��Ȩ
      ����	    ����	    ���	    ���	    ����	    �ɽ���	    �ɽ���
2019/01/11	20.69	20.86	20.08	20.43	3480310	74550552.00
2019/01/14	20.46	20.58	19.67	19.87	4170117	88037848.00
2019/01/15	19.91	20.30	19.81	20.30	3449843	72928536.00
2019/01/16	20.44	21.69	20.31	21.55	7055235	156760336.00
2019/01/17	21.50	21.63	21.26	21.27	2871664	64593132.00
2019/01/18	21.28	21.81	21.28	21.72	3093347	70061024.00
2019/01/21	21.72	22.39	21.66	22.26	3575779	82874760.00
2019/01/22	22.26	22.41	21.87	22.13	2338796	54191740.00
2019/01/23	22.13	22.23	21.78	22.02	1722267	39684716.00
2019/01/24	21.77	22.41	21.73	22.18	1848186	42825020.00
2019/01/25	22.21	22.32	22.03	22.28	1302831	30341018.00
2019/01/28	22.26	22.46	21.83	21.96	1345063	31208060.00
2019/01/29	21.91	22.08	21.34	21.90	1892960	43208032.00
2019/01/30	21.86	22.04	21.54	21.67	1107863	25321004.00
2019/01/31	21.86	22.04	21.46	21.70	1346892	30683768.00
2019/02/01	21.91	22.46	21.73	22.45	2629926	61073656.00
2019/02/11	22.41	22.71	22.26	22.43	2574801	60462732.00
2019/02/12	22.41	22.98	22.36	22.84	3079435	73282880.00
2019/02/13	22.79	23.13	22.56	22.97	3263128	77711480.00
2019/02/14	22.94	23.51	22.79	23.40	3494905	84608304.00
2019/02/15	23.32	23.51	23.07	23.12	1686893	41058540.00
2019/02/18	23.25	23.75	23.16	23.61	2815753	69371992.00
2019/02/19	23.56	24.01	23.01	23.26	3489816	85877880.00
2019/02/20	23.26	23.41	22.56	22.93	3090139	74184840.00
2019/02/21	23.05	23.24	22.75	22.91	3272684	78777680.00
2019/02/22	22.67	22.79	22.21	22.54	5030793	118282264.00
2019/02/25	22.55	23.81	22.54	23.67	7019932	170111424.00
2019/02/26	23.76	24.81	23.74	23.74	6054623	152089856.00
2019/02/27	23.74	24.13	23.51	23.65	5445369	135345936.00
2019/02/28	23.76	24.24	23.36	23.77	4351967	108314296.00
2019/03/01	23.89	24.03	23.46	23.79	3262199	80884816.00
2019/03/04	23.81	24.29	23.76	24.08	5332260	134001600.00
2019/03/05	24.09	24.11	23.65	23.97	5091516	126649024.00
2019/03/06	23.98	24.05	23.56	23.96	7428336	184611856.00
2019/03/07	24.01	24.03	23.46	23.81	7510549	186221072.00
2019/03/08	23.68	23.76	23.21	23.26	6488246	159347728.00
2019/03/11	23.36	23.91	23.36	23.90	4729861	116902760.00
2019/03/12	23.98	24.71	23.98	24.60	7518546	191088896.00
2019/03/13	24.51	24.76	23.84	23.96	4313265	109311224.00
2019/03/14	23.84	24.21	23.61	24.06	3122792	77812224.00
2019/03/15	24.05	24.30	23.81	24.06	3787017	95021320.00
2019/03/18	24.08	24.73	23.79	24.54	6697306	169294208.00
2019/03/19	24.54	24.88	24.30	24.46	3901357	99831520.00
2019/03/20	24.37	24.60	24.07	24.54	4261808	108184632.00
2019/03/21	24.55	24.87	24.53	24.75	4314711	110999712.00
2019/03/22	25.08	26.03	24.77	25.93	7913245	208879008.00
2019/03/25	25.47	26.44	25.36	25.56	6028921	162685968.00
2019/03/26	25.57	26.06	24.77	24.86	4822032	127974064.00
2019/03/27	25.14	25.95	24.76	25.88	5809318	153955808.00
2019/03/28	25.58	25.65	24.91	25.02	4662954	122575824.00
2019/03/29	25.15	25.65	24.82	25.52	4453656	117857688.00
2019/04/01	25.69	26.31	25.69	26.23	6663500	180803840.00
2019/04/02	26.39	26.45	25.91	26.11	4779283	130145144.00
2019/04/03	26.16	26.69	25.98	26.22	4999757	136838208.00
2019/04/04	26.21	26.55	25.97	26.24	3305434	89990208.00
2019/04/08	26.18	26.54	25.56	25.86	5864135	158707344.00
2019/04/09	25.86	26.58	25.86	26.35	4833949	131995072.00
2019/04/10	26.31	27.10	26.06	26.72	6514620	181006240.00
2019/04/11	27.06	27.16	26.34	26.34	4677955	129731280.00
2019/04/12	26.20	26.89	25.77	26.69	4866795	133537864.00
2019/04/15	26.96	27.25	26.17	26.24	4035461	111939704.00
2019/04/16	26.33	26.96	26.14	26.86	4807067	133189232.00
2019/04/17	26.86	26.99	26.47	26.74	3236468	89786520.00
2019/04/18	26.71	26.81	26.18	26.38	2047039	56256128.00
2019/04/19	26.52	26.64	26.08	26.35	2355041	64415524.00
2019/04/22	26.39	26.72	26.24	26.38	2690680	74001648.00
2019/04/23	26.54	26.55	25.64	25.75	2482066	67142488.00
2019/04/24	25.75	25.93	24.97	25.36	4698172	123600592.00
2019/04/25	25.33	25.36	24.51	24.61	3316317	86152912.00
2019/04/26	24.61	24.72	23.85	23.85	4627129	116427376.00
2019/04/29	23.87	24.15	23.55	23.92	4934221	122744208.00
2019/04/30	23.53	24.07	23.53	23.79	3520058	87606392.00
2019/05/06	23.19	23.46	22.12	22.39	4777372	113022696.00
2019/05/07	22.46	23.00	22.15	22.36	5032926	118623216.00
2019/05/08	22.09	22.36	21.98	22.05	4267700	99066616.00
2019/05/09	21.86	22.05	21.58	21.67	5038463	114494144.00
2019/05/10	21.89	22.17	21.51	22.11	5928306	136329840.00
2019/05/13	21.91	22.21	21.77	21.99	3760779	86478200.00
2019/05/14	21.75	21.96	21.70	21.73	3940377	90091272.00
2019/05/15	21.86	22.11	21.86	22.06	4521136	104163912.00
2019/05/16	22.07	22.35	22.01	22.27	4480318	104087248.00
2019/05/17	22.30	22.46	21.48	21.67	4290612	98418928.00
2019/05/20	21.56	21.82	21.24	21.55	2354167	53022472.00
2019/05/21	21.61	21.89	21.43	21.71	2727361	62113200.00
2019/05/22	21.66	21.86	21.54	21.69	1962687	44569944.00
2019/05/23	21.72	21.81	21.36	21.55	2650641	60036720.00
2019/05/24	21.39	21.67	21.39	21.47	1513919	34157608.00
2019/05/27	21.47	21.89	21.29	21.78	2297589	52089028.00
2019/05/28	21.76	21.89	21.67	21.78	2016546	46065652.00
2019/05/29	21.77	21.96	21.57	21.79	2550599	58193436.00
2019/05/30	21.79	21.79	21.43	21.71	1768201	40001616.00
2019/05/31	21.91	22.01	21.66	21.94	2191075	49343492.00
2019/06/03	22.02	22.08	21.49	21.63	2283236	51057344.00
2019/06/04	21.64	21.80	21.40	21.49	1627197	36105992.00
2019/06/05	21.54	21.61	20.65	21.10	4356478	94377848.00
2019/06/06	20.98	21.03	20.60	20.66	2557647	54572892.00
2019/06/10	20.76	21.13	20.48	20.81	2313320	49818252.00
2019/06/11	20.91	21.80	20.78	21.76	3384497	74409584.00
2019/06/12	21.76	21.76	21.38	21.58	1595928	35407724.00
2019/06/13	21.59	21.64	21.32	21.52	1687328	37309440.00
2019/06/14	21.53	21.70	21.41	21.54	2047204	45476276.00
2019/06/17	21.49	21.75	21.36	21.54	1955686	43438408.00
2019/06/18	21.61	21.74	21.31	21.39	1780200	39307396.00
2019/06/19	21.69	21.95	21.52	21.55	2351340	52561208.00
2019/06/20	21.56	22.26	21.48	21.90	2398072	54007752.00
2019/06/21	21.95	22.34	21.90	21.97	3257401	74365688.00
2019/06/24	22.13	22.20	21.82	22.06	1949129	44131428.00
2019/06/25	22.10	22.91	22.06	22.69	4917399	113346432.00
2019/06/26	22.55	22.94	22.26	22.73	2528699	58811844.00
2019/06/27	22.73	22.91	22.64	22.71	1991325	46588616.00
2019/06/28	22.67	22.70	22.12	22.33	1764873	40513672.00
2019/07/01	22.59	22.86	22.48	22.86	2883006	67368760.00
2019/07/02	22.73	23.19	22.69	22.91	2471075	58314644.00
2019/07/03	22.91	22.93	22.02	22.31	3849963	88903072.00
2019/07/04	22.33	22.82	22.27	22.56	2816882	65384212.00
2019/07/05	22.56	22.84	22.46	22.76	1764043	41149596.00
2019/07/08	22.61	22.69	22.02	22.08	2005939	45946252.00
2019/07/09	22.09	22.44	21.99	22.15	1895973	43302756.00
2019/07/10	22.33	22.33	21.95	22.07	1760533	40038816.00
2019/07/11	22.19	22.65	22.08	22.61	2222427	51268260.00
2019/07/12	22.61	22.93	22.45	22.78	2073899	48495584.00
2019/07/15	22.85	23.25	22.57	23.03	2751831	64973960.00
2019/07/16	22.99	23.11	22.70	22.86	1534986	36088236.00
2019/07/17	22.86	23.06	22.68	22.85	1649418	38735940.00
2019/07/18	22.73	22.74	22.20	22.31	1606994	36995128.00
2019/07/19	22.34	22.51	22.17	22.26	2628036	60300880.00
2019/07/22	22.31	22.33	21.58	21.96	2249183	50762576.00
2019/07/23	21.98	22.20	21.75	21.88	1902040	42872012.00
2019/07/24	21.92	22.10	21.82	21.98	2262848	51178268.00
2019/07/25	21.93	22.10	21.83	22.02	2048648	46350752.00
2019/07/26	22.02	22.18	21.89	22.12	1792385	40662156.00
2019/07/29	22.00	22.31	21.83	22.02	3146458	71329096.00
2019/07/30	21.96	22.32	21.90	22.18	2588537	59094504.00
2019/07/31	22.06	22.81	22.06	22.77	4097345	95108376.00
2019/08/01	22.61	22.77	22.42	22.64	3321347	77264696.00
2019/08/02	22.13	23.14	22.10	22.94	4592122	107878264.00
2019/08/05	22.89	23.64	22.74	23.08	5950771	142551840.00
2019/08/06	22.82	23.23	22.52	23.02	3749480	88179288.00
2019/08/07	23.22	23.54	22.82	23.37	3350815	79899032.00
2019/08/08	23.37	24.45	23.36	24.32	6067902	149874208.00
2019/08/09	24.36	25.22	24.36	24.85	7189600	183432464.00
2019/08/12	24.85	24.95	24.28	24.77	4901587	123716432.00
2019/08/13	24.60	24.78	24.20	24.61	4164935	104539040.00
2019/08/14	24.70	24.81	24.02	24.26	6813054	170010816.00
2019/08/15	23.87	24.48	23.85	24.37	5023610	124919952.00
2019/08/16	24.35	25.34	24.31	24.80	7225050	184809152.00
2019/08/19	24.76	25.44	24.66	25.02	7099033	183010864.00
2019/08/20	24.98	25.16	24.61	24.86	3752785	95611928.00
2019/08/21	24.96	25.08	24.44	25.08	3467439	88257624.00
2019/08/22	26.26	27.65	26.20	27.65	11490828	319373280.00
2019/08/23	28.35	29.30	28.02	28.84	20214731	591739008.00
2019/08/26	28.57	30.30	28.57	29.52	15706164	473339520.00
2019/08/27	29.36	30.10	29.27	29.58	10686909	323115168.00
2019/08/28	29.67	29.68	28.92	29.06	7149716	213356608.00
2019/08/29	29.24	29.31	28.76	29.02	6292814	186807984.00
2019/08/30	28.97	29.32	28.43	28.69	5768511	169763936.00
2019/09/02	28.86	29.02	28.51	28.96	6387274	187891296.00
2019/09/03	28.96	29.02	27.77	28.29	12116172	348585728.00
2019/09/04	28.29	28.53	27.67	28.14	7525760	215674160.00
2019/09/05	28.23	28.92	28.09	28.16	9546213	277584384.00
