600570 恒生电子 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2003/12/16	-0.50	-0.47	-0.51	-0.50	7204181	145332640.00
2003/12/17	-0.53	-0.53	-0.58	-0.57	3477866	65175332.00
2003/12/18	-0.59	-0.57	-0.59	-0.59	1318173	23965460.00
2003/12/19	-0.59	-0.59	-0.64	-0.63	2108017	36741336.00
2003/12/22	-0.64	-0.61	-0.65	-0.62	1213452	20717380.00
2003/12/23	-0.63	-0.62	-0.64	-0.63	691433	11905183.00
2003/12/24	-0.63	-0.62	-0.65	-0.64	757444	12909285.00
2003/12/25	-0.62	-0.62	-0.64	-0.62	622782	10738937.00
2003/12/26	-0.62	-0.58	-0.63	-0.61	1312989	23444660.00
2003/12/29	-0.61	-0.60	-0.62	-0.62	546522	9636070.00
2003/12/30	-0.62	-0.62	-0.64	-0.63	443489	7674911.00
2003/12/31	-0.63	-0.59	-0.63	-0.61	973704	17355614.00
2004/01/02	-0.62	-0.59	-0.62	-0.61	503560	8993647.00
2004/01/05	-0.61	-0.58	-0.61	-0.59	760344	13685600.00
2004/01/06	-0.59	-0.58	-0.61	-0.58	924849	16694446.00
2004/01/07	-0.58	-0.57	-0.60	-0.59	966602	17608568.00
2004/01/08	-0.59	-0.52	-0.59	-0.53	1998400	38127840.00
2004/01/09	-0.53	-0.52	-0.57	-0.57	1232600	23357612.00
2004/01/12	-0.57	-0.56	-0.59	-0.56	577062	10683086.00
2004/01/13	-0.56	-0.55	-0.58	-0.57	713622	13246067.00
2004/01/14	-0.58	-0.56	-0.59	-0.58	481555	8823596.00
2004/01/15	-0.56	-0.54	-0.56	-0.56	833094	15734868.00
2004/01/16	-0.56	-0.54	-0.57	-0.55	736209	13947473.00
2004/01/30	-0.51	-0.50	-0.56	-0.56	1069553	20668848.00
2004/02/02	-0.55	-0.53	-0.57	-0.55	580126	10991033.00
2004/02/03	-0.55	-0.47	-0.55	-0.48	3196368	63955140.00
2004/02/04	-0.48	-0.48	-0.51	-0.49	1361598	27380436.00
2004/02/05	-0.49	-0.43	-0.50	-0.46	1440380	30260032.00
2004/02/06	-0.46	-0.46	-0.48	-0.48	692941	14318681.00
2004/02/09	-0.47	-0.46	-0.48	-0.46	616734	12768756.00
2004/02/10	-0.46	-0.46	-0.50	-0.49	634275	12931593.00
2004/02/11	-0.49	-0.47	-0.50	-0.48	469638	9570849.00
2004/02/12	-0.48	-0.47	-0.49	-0.49	415500	8514941.00
2004/02/13	-0.48	-0.44	-0.48	-0.47	947068	19749730.00
2004/02/16	-0.46	-0.40	-0.46	-0.42	1223507	26519440.00
2004/02/17	-0.41	-0.39	-0.43	-0.42	1420452	31341992.00
2004/02/18	-0.42	-0.41	-0.44	-0.43	686487	14808619.00
2004/02/19	-0.43	-0.40	-0.43	-0.41	716437	15639904.00
2004/02/20	-0.41	-0.40	-0.43	-0.41	645932	14044089.00
2004/02/23	-0.31	-0.31	-0.39	-0.38	2633631	61523696.00
2004/02/24	-0.39	-0.38	-0.41	-0.39	855521	19031496.00
2004/02/25	-0.39	-0.35	-0.41	-0.41	959068	21707568.00
2004/02/26	-0.41	-0.40	-0.48	-0.46	1072988	22804296.00
2004/02/27	-0.43	-0.42	-0.45	-0.43	530432	11367721.00
2004/03/01	-0.44	-0.43	-0.47	-0.45	502788	10588228.00
2004/03/02	-0.45	-0.44	-0.46	-0.45	497791	10472666.00
2004/03/03	-0.45	-0.45	-0.47	-0.47	450422	9398538.00
2004/03/04	-0.47	-0.44	-0.48	-0.45	408441	8530835.00
2004/03/05	-0.45	-0.44	-0.47	-0.46	375971	7864951.00
2004/03/08	-0.46	-0.42	-0.47	-0.46	555337	11733091.00
2004/03/09	-0.47	-0.37	-0.47	-0.44	739989	15939656.00
2004/03/10	-0.44	-0.43	-0.45	-0.43	372525	8009147.00
2004/03/11	-0.43	-0.41	-0.43	-0.43	336481	7308425.00
2004/03/12	-0.43	-0.42	-0.45	-0.45	356411	7613181.00
2004/03/15	-0.45	-0.44	-0.47	-0.44	531270	11209375.00
2004/03/16	-0.44	-0.44	-0.47	-0.46	470750	9860483.00
2004/03/17	-0.46	-0.45	-0.46	-0.46	263428	5516455.00
2004/03/18	-0.46	-0.46	-0.48	-0.48	528550	10920757.00
2004/03/19	-0.49	-0.48	-0.49	-0.48	451166	9175362.00
2004/03/22	-0.48	-0.47	-0.49	-0.48	204178	4203390.00
2004/03/23	-0.47	-0.47	-0.49	-0.48	165887	3387094.00
2004/03/24	-0.48	-0.47	-0.49	-0.49	166113	3404975.00
2004/03/25	-0.49	-0.48	-0.49	-0.48	173652	3536506.00
2004/03/26	-0.47	-0.44	-0.47	-0.46	542930	11433696.00
2004/03/29	-0.45	-0.43	-0.46	-0.46	446461	9521653.00
2004/03/30	-0.46	-0.41	-0.46	-0.42	970510	21095560.00
2004/03/31	-0.41	-0.41	-0.43	-0.42	555848	12100618.00
2004/04/01	-0.42	-0.40	-0.42	-0.42	500329	10985329.00
2004/04/02	-0.42	-0.39	-0.42	-0.39	738326	16419556.00
