600636 国新文化 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1999/01/04	1.12	1.14	1.11	1.11	108700	1089124.00
1999/01/05	1.10	1.11	1.04	1.09	168300	1628828.00
1999/01/06	1.09	1.14	1.08	1.12	142500	1422773.00
1999/01/07	1.13	1.13	1.10	1.13	129600	1298775.00
1999/01/08	1.14	1.23	1.14	1.22	411300	4332110.00
1999/01/11	1.23	1.27	1.22	1.23	342100	3688174.00
1999/01/12	1.23	1.23	1.19	1.19	176800	1866752.00
1999/01/13	1.17	1.19	1.15	1.16	159500	1644740.00
1999/01/14	1.15	1.18	1.14	1.15	148500	1520343.00
1999/01/15	1.15	1.20	1.12	1.12	177200	1798109.00
1999/01/18	1.14	1.19	1.12	1.18	136900	1391620.00
1999/01/19	1.18	1.19	1.17	1.19	202500	2102423.00
1999/01/20	1.19	1.22	1.18	1.18	129700	1361382.00
1999/01/21	1.18	1.21	1.17	1.21	94400	982173.00
1999/01/22	1.21	1.24	1.16	1.16	183800	1926657.00
1999/01/25	1.18	1.18	1.14	1.15	164600	1693176.00
1999/01/26	1.14	1.17	1.13	1.14	111300	1130520.00
1999/01/27	1.14	1.15	1.13	1.14	179100	1809599.00
1999/01/28	1.15	1.20	1.14	1.15	203000	2084817.00
1999/01/29	1.14	1.17	1.14	1.15	95900	973720.00
1999/02/01	1.12	1.15	1.09	1.10	283400	2813199.00
1999/02/02	1.10	1.12	1.09	1.11	123000	1214359.00
1999/02/03	1.11	1.11	1.07	1.08	139300	1364199.00
1999/02/04	1.08	1.10	1.06	1.07	139500	1358831.00
1999/02/05	1.07	1.07	1.03	1.04	183300	1751008.00
1999/02/08	1.03	1.03	0.98	0.99	180200	1667547.00
1999/02/09	0.99	1.01	0.98	1.01	137700	1277229.00
1999/03/01	1.05	1.08	1.03	1.07	134600	1299518.00
1999/03/02	1.07	1.08	1.05	1.07	82800	798352.00
1999/03/03	1.08	1.16	1.08	1.15	306000	3095278.00
1999/03/04	1.16	1.20	1.14	1.18	532100	5524637.00
1999/03/05	1.18	1.23	1.18	1.20	364800	3842795.00
1999/03/08	1.21	1.22	1.19	1.21	321400	3388979.00
1999/03/09	1.22	1.22	1.18	1.18	209300	2185005.00
1999/03/10	1.17	1.20	1.15	1.18	144100	1490282.00
1999/03/11	1.20	1.24	1.18	1.22	306800	3267346.00
1999/03/12	1.23	1.30	1.23	1.28	743300	8138060.00
1999/03/15	1.30	1.32	1.27	1.28	499400	5522294.00
1999/03/16	1.28	1.28	1.25	1.27	271700	2956035.00
1999/03/17	1.27	1.28	1.23	1.24	291600	3173928.00
1999/03/18	1.22	1.26	1.22	1.26	243200	2614532.00
1999/03/19	1.26	1.36	1.26	1.36	898400	10128599.00
1999/03/22	1.37	1.38	1.31	1.32	493900	5618701.00
1999/03/23	1.31	1.33	1.31	1.33	257500	2898508.00
1999/03/24	1.33	1.34	1.30	1.31	224000	2510524.00
1999/03/25	1.30	1.30	1.26	1.26	268700	2947498.00
1999/03/26	1.31	1.33	1.28	1.32	475700	5310530.00
1999/03/29	1.32	1.33	1.28	1.32	293500	3282138.00
1999/03/30	1.32	1.33	1.27	1.28	268600	2986320.00
1999/03/31	1.28	1.31	1.28	1.31	163500	1816398.00
1999/04/01	1.31	1.35	1.31	1.35	351600	3982803.00
1999/04/02	1.36	1.36	1.33	1.34	279000	3173968.00
1999/04/05	1.34	1.37	1.34	1.37	360100	4129625.00
1999/04/06	1.37	1.37	1.33	1.34	197800	2252542.00
1999/04/07	1.34	1.34	1.28	1.29	292700	3258330.00
1999/04/08	1.29	1.30	1.27	1.30	307200	3395957.00
1999/04/09	1.30	1.33	1.28	1.30	210300	2346689.00
1999/04/12	1.29	1.29	1.24	1.26	335300	3644704.00
1999/04/13	1.26	1.27	1.24	1.27	204200	2203985.00
1999/04/14	1.28	1.34	1.27	1.31	352800	3969422.00
1999/04/15	1.32	1.34	1.31	1.31	360100	4059526.00
1999/04/16	1.31	1.41	1.29	1.37	1129200	12978099.00
1999/04/19	1.37	1.42	1.36	1.39	1076300	12640529.00
1999/04/20	1.39	1.39	1.35	1.39	421300	4878884.00
1999/04/21	1.39	1.40	1.30	1.30	422900	4816161.00
1999/04/22	1.29	1.30	1.24	1.29	510900	5580776.00
1999/04/23	1.29	1.31	1.28	1.29	199700	2209814.00
1999/04/26	1.23	1.28	1.23	1.25	129900	1413414.00
1999/04/27	1.25	1.25	1.18	1.18	243800	2592440.00
1999/04/29	1.26	1.26	1.22	1.25	89400	963311.00
1999/04/30	1.25	1.30	1.25	1.27	121400	1329203.00
1999/05/04	1.30	1.30	1.25	1.26	62000	674257.00
1999/05/05	1.25	1.28	1.23	1.28	111900	1211422.00
1999/05/06	1.29	1.30	1.26	1.27	265000	2915333.00
1999/05/07	1.23	1.29	1.23	1.26	177700	1491661.00
1999/05/10	1.25	1.25	1.14	1.17	396400	3192351.00
1999/05/11	1.18	1.22	1.18	1.20	102200	824734.00
1999/05/12	1.21	1.22	1.19	1.19	126800	1028064.00
1999/05/13	1.20	1.20	1.16	1.16	102400	815242.00
1999/05/14	1.15	1.15	1.11	1.11	181600	1398899.00
1999/05/17	1.11	1.14	1.06	1.12	119000	907060.00
1999/05/18	1.13	1.17	1.12	1.12	106900	837626.00
1999/05/19	1.12	1.22	1.10	1.21	217000	1732840.00
1999/05/20	1.24	1.32	1.22	1.29	565600	4774030.00
1999/05/21	1.32	1.46	1.28	1.44	2653200	24131856.00
1999/05/24	1.43	1.49	1.40	1.47	2578500	24011784.00
1999/05/25	1.48	1.50	1.36	1.37	1566000	14406798.00
1999/05/26	1.37	1.39	1.34	1.39	833400	7385663.00
1999/05/27	1.40	1.45	1.39	1.44	1183800	10781923.00
1999/05/28	1.44	1.44	1.35	1.37	693000	6217063.00
1999/05/31	1.37	1.43	1.33	1.41	936000	8398479.00
1999/06/01	1.43	1.51	1.39	1.49	1990500	18702410.00
1999/06/02	1.50	1.55	1.41	1.41	2064500	19493404.00
1999/06/03	1.37	1.41	1.34	1.35	919500	8183848.00
1999/06/04	1.36	1.40	1.35	1.37	561900	4987546.00
1999/06/07	1.40	1.46	1.40	1.46	1267500	11680241.00
1999/06/08	1.46	1.50	1.41	1.42	972100	8983085.00
1999/06/09	1.42	1.53	1.42	1.51	2232000	21151736.00
1999/06/10	1.53	1.54	1.45	1.48	1394900	13255589.00
1999/06/11	1.46	1.52	1.45	1.47	954200	8997932.00
1999/06/14	1.48	1.58	1.48	1.56	2343900	22912748.00
1999/06/15	1.58	1.66	1.39	1.43	3127100	30851736.00
1999/06/16	1.45	1.58	1.45	1.57	2272800	21970356.00
1999/06/17	1.62	1.78	1.60	1.78	8655600	92651272.00
1999/06/18	1.85	2.00	1.82	1.86	8257300	94473632.00
1999/06/21	1.87	1.92	1.83	1.88	3468800	39218936.00
1999/06/22	1.89	1.98	1.80	1.96	3138000	35086612.00
1999/06/23	1.95	1.98	1.89	1.93	2837000	32832836.00
1999/06/24	1.93	2.00	1.90	1.98	3884600	45379276.00
1999/06/25	2.01	2.22	1.81	1.85	5495400	67639440.00
1999/06/28	1.87	2.07	1.87	2.05	3374900	39905220.00
1999/06/29	2.08	2.12	1.94	2.01	3123100	37256864.00
1999/06/30	2.01	2.02	1.85	1.89	2560700	29555280.00
1999/07/01	1.86	1.86	1.65	1.65	1527800	16033751.00
1999/07/02	1.64	1.72	1.52	1.68	1707900	17259704.00
1999/07/05	1.66	1.67	1.54	1.55	1216200	12151729.00
1999/07/06	1.51	1.59	1.48	1.55	721400	7028169.00
1999/07/07	1.56	1.63	1.56	1.62	703900	7016253.00
1999/07/08	1.63	1.65	1.59	1.62	610200	6140662.00
1999/07/09	1.62	1.62	1.54	1.58	588100	5807834.00
1999/07/12	1.60	1.70	1.58	1.63	1130800	11538225.00
1999/07/13	1.63	1.66	1.57	1.58	502800	5044578.00
1999/07/14	1.58	1.65	1.58	1.61	465600	4662028.00
1999/07/15	1.63	1.64	1.60	1.61	468100	4708518.00
1999/07/19	1.56	1.56	1.48	1.49	551100	5286278.00
1999/07/20	1.49	1.61	1.49	1.60	685600	6669939.00
1999/07/21	1.63	1.70	1.60	1.67	1379300	14182639.00
1999/07/22	1.64	1.66	1.52	1.54	776800	7697811.00
1999/07/23	1.54	1.61	1.54	1.58	362900	3592822.00
1999/07/26	1.58	1.61	1.56	1.60	425000	4213169.00
1999/07/27	1.59	1.66	1.58	1.64	630900	6405668.00
1999/07/28	1.64	1.67	1.60	1.63	497600	5070008.00
1999/07/29	1.60	1.65	1.60	1.61	330600	3328919.00
1999/07/30	1.62	1.81	1.62	1.81	2753400	29252048.00
1999/08/02	1.81	1.85	1.78	1.80	2563600	28326444.00
1999/08/03	1.81	1.83	1.74	1.78	1142400	12349367.00
1999/08/04	1.77	1.83	1.77	1.78	1016100	11092590.00
1999/08/05	1.83	1.89	1.79	1.82	1190000	13279079.00
1999/08/06	1.81	1.82	1.71	1.76	1123700	12026481.00
1999/08/09	1.75	1.75	1.67	1.68	904200	9475549.00
1999/08/10	1.67	1.70	1.65	1.68	554800	5769579.00
1999/08/11	1.66	1.70	1.65	1.65	380200	3933622.00
1999/08/12	1.66	1.69	1.64	1.65	326200	3361196.00
1999/08/13	1.67	1.68	1.64	1.65	200000	2057938.00
1999/08/16	1.67	1.68	1.64	1.68	220300	2264431.00
1999/08/17	1.68	1.81	1.68	1.72	832100	8898753.00
1999/08/18	1.72	1.88	1.71	1.88	2658100	29288852.00
1999/08/19	1.89	1.95	1.84	1.88	4982700	57203800.00
1999/08/20	1.88	1.97	1.88	1.91	2621300	30368820.00
1999/08/23	1.94	2.06	1.92	2.03	2797800	33263984.00
1999/08/24	2.05	2.07	1.98	1.98	2153600	25688880.00
1999/08/25	1.99	2.04	1.93	1.98	2195900	26018312.00
1999/08/26	1.99	2.16	1.99	2.14	4556300	56041512.00
1999/08/27	2.14	2.14	2.04	2.07	2574300	31711048.00
1999/08/30	2.07	2.11	1.97	1.99	1777200	21329188.00
1999/08/31	2.00	2.02	1.95	1.99	903100	10683463.00
1999/09/01	1.98	1.99	1.89	1.89	1274300	14732139.00
1999/09/02	1.87	2.02	1.85	1.99	973500	11278876.00
1999/09/03	1.99	2.01	1.91	1.93	835300	9856009.00
1999/09/06	1.89	1.95	1.89	1.91	399200	4588698.00
1999/09/07	1.90	2.01	1.90	1.93	854300	10027192.00
1999/09/08	2.01	2.02	1.95	1.96	701800	8314757.00
1999/09/09	2.00	2.21	2.00	2.21	3767700	47435888.00
1999/09/10	2.39	2.48	2.36	2.48	3491800	49212172.00
