600760 中航沈飞 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1999/01/04	9.77	9.77	9.63	9.63	64700	829009.00
1999/01/05	9.64	9.64	9.17	9.31	139500	1720757.00
1999/01/06	9.31	9.47	9.31	9.43	90300	1125906.00
1999/01/07	9.45	9.72	9.35	9.45	80300	1007697.00
1999/01/08	9.43	9.75	9.43	9.73	122600	1566048.00
1999/01/11	9.75	9.75	9.58	9.65	112900	1443046.00
1999/01/12	9.65	9.81	9.65	9.67	110800	1425760.00
1999/01/13	9.67	9.67	9.54	9.58	85000	1081610.00
1999/01/14	9.55	9.57	9.39	9.43	153500	1921534.00
1999/01/15	9.47	9.50	9.32	9.34	139200	1730931.00
1999/01/18	9.27	9.60	9.20	9.60	164400	2024642.00
1999/01/19	9.66	9.81	9.58	9.62	127400	1634828.00
1999/01/20	9.66	9.77	9.45	9.47	57400	727191.00
1999/01/21	9.43	9.66	9.39	9.52	79600	999606.00
1999/01/22	9.54	9.58	9.43	9.45	127300	1597640.00
1999/01/25	9.50	9.50	9.29	9.29	164500	2048345.00
1999/01/26	9.29	9.35	9.27	9.32	120700	1489798.00
1999/01/27	9.33	9.40	9.23	9.29	96500	1194278.00
1999/01/28	9.43	9.43	9.23	9.26	110200	1356405.00
1999/01/29	9.26	9.26	9.20	9.21	127900	1562681.00
1999/02/01	9.20	9.20	8.95	8.97	196500	2344611.00
1999/02/02	8.95	9.00	8.85	9.00	94900	1126185.00
1999/02/03	9.20	9.20	8.97	9.01	97400	1166988.00
1999/02/04	9.04	9.04	8.89	8.93	69900	830482.00
1999/02/05	8.93	8.93	8.70	8.73	129100	1500590.00
1999/02/08	8.66	8.66	8.47	8.50	133000	1505260.00
1999/02/09	8.50	8.73	8.50	8.68	90000	1034421.00
1999/03/01	8.68	8.73	8.58	8.58	86700	996299.00
1999/03/02	8.55	8.57	8.49	8.50	109800	1241804.00
1999/03/03	8.49	8.80	8.43	8.73	122600	1405921.00
1999/03/04	8.75	9.63	8.75	9.63	863900	10898062.00
1999/03/05	9.60	9.60	9.35	9.41	327100	4093269.00
1999/03/08	9.41	9.76	9.41	9.58	244200	3110557.00
1999/03/09	9.62	9.72	9.43	9.47	156200	1968740.00
1999/03/10	9.47	9.47	9.20	9.26	151600	1859821.00
1999/03/11	9.33	9.97	9.33	9.56	206900	2629494.00
1999/03/12	9.56	9.60	9.43	9.49	118200	1489979.00
1999/03/15	9.53	9.62	9.40	9.50	167100	2100418.00
1999/03/16	9.47	9.58	9.35	9.41	188300	2367614.00
1999/03/17	9.43	9.47	9.35	9.35	139500	1735947.00
1999/03/18	9.27	9.27	8.97	9.15	211300	2558677.00
1999/03/19	9.04	9.40	8.97	9.20	300800	3647981.00
1999/03/22	9.18	9.23	9.08	9.10	330100	4014614.00
1999/03/23	8.81	8.89	8.43	8.77	455900	5281650.00
1999/03/24	8.66	8.87	8.58	8.86	803700	9259795.00
1999/03/25	8.81	8.90	8.70	8.74	292500	3410064.00
1999/03/26	8.73	8.73	8.60	8.61	340900	3912971.00
1999/03/29	8.58	8.60	8.29	8.44	432300	4836656.00
1999/03/30	8.47	8.73	8.47	8.57	254700	2921546.00
1999/03/31	8.58	8.58	8.43	8.49	184700	2082092.00
1999/04/01	8.47	8.49	8.41	8.49	281800	3159611.00
1999/04/02	8.52	8.64	8.52	8.61	233300	2661475.00
1999/04/05	8.61	8.73	8.61	8.63	284400	3261882.00
1999/04/06	8.62	8.83	8.53	8.74	254600	2955846.00
1999/04/07	8.89	8.89	8.66	8.67	283600	3292589.00
1999/04/08	8.77	8.77	8.54	8.57	211100	2405839.00
1999/04/09	8.57	8.63	8.44	8.63	399000	4496865.00
1999/04/12	8.60	8.60	8.43	8.45	282000	3181088.00
1999/04/13	8.43	8.43	8.35	8.37	278800	3099898.00
1999/04/14	8.37	8.43	8.31	8.42	186200	2066477.00
1999/04/15	8.40	8.48	8.33	8.35	164700	1837860.00
1999/04/16	8.35	8.37	8.00	8.13	340600	3694783.00
1999/04/19	8.04	8.04	7.57	7.70	438900	4524450.00
1999/04/20	7.66	7.76	7.62	7.75	326900	3331818.00
1999/04/21	7.75	8.03	7.75	7.80	315700	3316514.00
1999/04/22	7.66	7.66	7.44	7.55	350800	3517360.00
1999/04/26	7.50	7.50	7.20	7.22	301300	2915209.00
1999/04/27	7.22	7.22	6.76	6.78	324800	2988330.00
1999/04/28	6.81	7.05	6.78	6.85	191800	1775753.00
1999/04/29	6.86	6.97	6.85	6.93	129700	1199044.00
1999/04/30	7.08	7.08	6.97	7.04	143000	1340470.00
1999/05/04	7.06	7.06	6.83	6.84	123900	1140153.00
1999/05/05	6.81	6.87	6.76	6.87	193700	1757750.00
1999/05/06	6.89	7.23	6.87	7.17	264200	2496088.00
1999/05/07	7.18	7.23	6.93	7.00	136200	1287399.00
1999/05/10	6.93	6.93	6.54	6.60	235000	2119972.00
1999/05/11	6.58	6.73	6.58	6.67	157400	1401288.00
1999/05/12	6.64	6.90	6.59	6.83	145400	1313916.00
1999/05/13	6.83	6.93	6.74	6.74	101300	918718.00
1999/05/14	6.61	6.73	6.61	6.64	103400	919670.00
1999/05/17	6.64	6.64	6.16	6.35	122800	1050364.00
1999/05/18	6.35	6.47	6.20	6.23	111900	951552.00
1999/05/19	6.23	6.73	6.04	6.58	281500	2405148.00
1999/05/20	6.58	7.10	6.58	7.07	502100	4585872.00
1999/05/21	7.18	7.43	6.85	7.20	826700	7947715.00
1999/05/24	7.20	7.50	6.89	7.50	929200	8987199.00
1999/05/25	7.62	8.27	7.62	7.73	1668000	17800026.00
1999/05/26	7.66	8.20	7.50	7.89	920100	9611219.00
1999/05/27	8.04	8.12	7.81	8.07	1090400	11637949.00
1999/05/28	8.27	8.50	7.90	8.10	1104100	12080779.00
1999/05/31	8.10	8.27	7.70	7.84	739700	7903066.00
1999/06/01	7.89	8.00	7.69	8.00	693400	7174007.00
1999/06/02	8.02	8.13	7.74	7.77	784100	8329965.00
1999/06/03	7.50	7.73	7.43	7.44	551900	5516347.00
1999/06/04	7.45	7.54	7.33	7.38	455400	4521393.00
1999/06/07	7.39	7.73	7.12	7.73	534500	5232727.00
1999/06/08	7.73	7.89	7.54	7.58	591100	6011060.00
1999/06/09	7.58	7.89	7.53	7.77	556200	5710343.00
1999/06/10	7.82	8.27	7.76	8.07	1415100	15078524.00
1999/06/11	8.23	8.23	7.93	8.03	747300	7985111.00
1999/06/14	8.04	8.73	8.04	8.64	1863800	20695772.00
1999/06/15	8.70	8.95	8.12	8.18	1913800	21978632.00
1999/06/16	8.18	8.50	8.08	8.41	1042000	11446015.00
1999/06/17	8.50	9.27	8.50	9.27	3516100	41888564.00
1999/06/18	9.43	10.20	9.30	9.90	4692200	61186436.00
1999/06/21	9.97	10.07	9.70	9.97	2243500	29421176.00
1999/06/22	9.97	10.03	9.66	9.93	1488700	19350036.00
1999/06/23	9.95	10.50	9.95	10.25	1850300	25135148.00
1999/06/24	10.33	10.55	10.08	10.51	2314700	31536546.00
1999/06/25	10.58	11.03	9.89	9.93	3917100	54782316.00
1999/06/28	9.85	10.27	9.81	10.17	2774100	36782720.00
1999/06/29	10.28	10.43	9.93	10.05	2456000	32737608.00
1999/06/30	10.20	11.04	10.08	10.70	4992300	70525080.00
1999/07/01	10.58	10.58	9.61	9.61	1589700	20909904.00
1999/07/02	9.43	9.89	8.97	9.81	1535900	19249588.00
1999/07/05	9.81	9.81	9.27	9.27	921100	11566918.00
1999/07/06	8.97	9.27	8.58	8.66	829900	9820451.00
1999/07/07	8.66	8.97	8.58	8.89	661400	7678212.00
1999/07/08	8.93	9.33	8.89	9.10	570900	6901525.00
1999/07/09	9.04	9.12	8.92	9.07	513100	6129019.00
1999/07/12	9.04	9.25	8.80	8.97	534000	6334376.00
1999/07/13	8.97	8.97	8.73	8.77	342100	4007121.00
1999/07/14	8.77	8.93	8.64	8.87	403600	4725975.00
1999/07/15	8.89	9.00	8.81	8.81	299300	3534089.00
1999/07/16	8.81	8.81	8.53	8.53	454900	5211734.00
1999/07/19	8.36	8.36	7.88	7.94	499400	5382355.00
1999/07/20	7.90	8.43	7.89	8.43	504900	5507098.00
1999/07/21	8.66	8.73	8.47	8.60	757100	8637360.00
1999/07/22	8.63	8.66	8.24	8.26	579200	6424609.00
1999/07/23	8.27	8.50	8.27	8.35	362100	4012024.00
1999/07/26	8.35	8.48	8.23	8.39	326500	3615750.00
1999/07/27	8.40	8.43	8.26	8.35	335000	3708431.00
1999/07/28	8.12	8.12	7.73	7.93	970100	10186685.00
1999/07/29	7.93	8.20	7.93	8.18	556600	5932204.00
1999/07/30	8.35	8.40	8.05	8.15	300300	3247574.00
1999/08/02	8.12	8.12	7.74	8.08	587100	6208143.00
1999/08/03	8.08	8.29	7.97	8.27	637200	6907603.00
1999/08/04	8.27	8.57	8.20	8.56	778800	8660967.00
1999/08/05	8.63	9.16	8.57	9.03	1949600	23032170.00
1999/08/06	9.08	9.37	9.05	9.22	2943800	35987576.00
1999/08/09	9.27	9.35	8.81	8.98	778400	9305357.00
1999/08/10	8.97	8.97	8.73	8.76	487700	5678611.00
1999/08/11	8.73	8.73	8.43	8.47	382800	4348157.00
1999/08/12	8.56	8.63	8.47	8.50	251500	2852237.00
1999/08/13	8.47	8.58	8.43	8.47	207000	2338889.00
1999/08/16	8.43	8.43	8.12	8.23	252500	2766108.00
1999/08/17	8.24	8.54	8.24	8.40	167800	1885079.00
1999/08/18	8.27	8.49	8.26	8.27	224800	2479498.00
1999/08/19	8.31	8.70	8.31	8.65	324700	3679175.00
1999/08/20	8.77	8.89	8.50	8.53	311300	3564060.00
1999/08/23	8.54	8.57	8.33	8.43	362000	4044824.00
1999/08/24	8.58	8.68	8.47	8.62	380500	4338073.00
1999/08/25	8.64	8.65	8.43	8.44	277500	3134923.00
1999/08/26	8.43	8.44	8.29	8.44	244700	2724987.00
1999/08/27	8.47	8.50	8.40	8.40	210600	2359906.00
1999/08/30	8.43	8.43	8.16	8.23	324400	3561466.00
1999/08/31	8.27	8.39	8.23	8.34	178900	1971621.00
1999/09/01	8.37	8.43	8.27	8.28	172700	1902949.00
1999/09/02	8.28	8.28	8.16	8.27	164900	1797973.00
