601225 陕西煤业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/01/28	3.43	4.39	3.04	3.18	88848716	417204000.00
2014/01/29	3.13	3.39	2.74	2.84	250482249	1107683712.00
2014/01/30	2.74	2.79	2.66	2.66	100238181	409493472.00
2014/02/07	2.65	2.74	2.65	2.73	74433830	302122432.00
2014/02/10	2.76	2.97	2.69	2.88	127198149	531764320.00
2014/02/11	2.83	3.03	2.78	2.92	134451618	572744128.00
2014/02/12	2.89	3.11	2.86	3.04	140941432	614542400.00
2014/02/13	3.00	3.05	2.87	2.89	86168513	374210976.00
2014/02/14	2.88	3.01	2.86	2.97	61300319	264326880.00
2014/02/17	3.01	3.40	3.01	3.31	156329185	715404608.00
2014/02/18	3.32	3.77	3.26	3.58	182151767	889764544.00
2014/02/19	3.48	3.54	3.27	3.41	104066597	495699744.00
2014/02/20	3.39	3.59	3.34	3.38	88475824	427401696.00
2014/02/21	3.32	3.33	3.06	3.11	87199849	396952896.00
2014/02/24	3.09	3.16	3.04	3.09	37636431	167900416.00
2014/02/25	3.10	3.13	2.80	2.86	65488584	283541024.00
2014/02/26	2.81	2.92	2.76	2.92	37239488	156975632.00
2014/02/27	2.88	2.92	2.80	2.81	35592454	150487744.00
2014/02/28	2.78	2.98	2.76	2.97	48060404	203784368.00
2014/03/03	2.92	3.09	2.89	3.04	54472750	238533408.00
2014/03/04	2.98	3.20	2.89	3.03	67211026	296462464.00
2014/03/05	2.97	3.17	2.90	3.00	67279480	295249792.00
2014/03/06	2.93	3.05	2.89	3.00	46820153	202974592.00
2014/03/07	2.99	3.02	2.87	2.89	38894195	167468640.00
2014/03/10	2.84	2.84	2.73	2.76	33688000	140020384.00
2014/03/11	2.74	2.86	2.74	2.80	26083446	108699608.00
2014/03/12	2.78	2.87	2.75	2.82	29827663	124505808.00
2014/03/13	2.82	2.98	2.78	2.89	50827907	216707024.00
2014/03/14	2.82	2.85	2.74	2.78	35508114	148100688.00
2014/03/17	2.79	2.87	2.76	2.81	24189624	101126688.00
2014/03/18	2.82	2.84	2.78	2.81	21744165	90754408.00
2014/03/19	2.79	2.82	2.76	2.82	23726898	98559448.00
2014/03/20	2.80	2.82	2.72	2.73	22767896	94399664.00
2014/03/21	2.72	2.95	2.70	2.90	65972131	278296032.00
2014/03/24	2.88	2.91	2.82	2.88	45843670	194258080.00
2014/03/25	2.86	2.90	2.83	2.85	24522889	103717408.00
2014/03/26	2.87	2.88	2.80	2.81	20618750	86623352.00
2014/03/27	2.80	2.81	2.75	2.76	26053960	107851072.00
2014/03/28	2.75	2.78	2.72	2.74	19354149	79753352.00
2014/03/31	2.74	2.76	2.71	2.73	13060195	53549476.00
2014/04/01	2.72	2.79	2.71	2.78	14091234	58126008.00
2014/04/02	2.78	2.81	2.76	2.78	16540218	68682424.00
2014/04/03	2.79	2.80	2.73	2.74	16383513	67546088.00
2014/04/04	2.73	2.75	2.71	2.75	12135786	49808704.00
2014/04/08	2.73	2.87	2.72	2.84	45996770	192794256.00
2014/04/09	2.82	2.83	2.79	2.81	23358372	97599336.00
2014/04/10	2.81	2.88	2.78	2.87	40121606	168717920.00
2014/04/11	2.84	2.86	2.77	2.80	27558610	115218768.00
2014/04/14	2.77	2.80	2.76	2.80	16468499	68304120.00
2014/04/15	2.79	2.79	2.73	2.74	18024363	74341296.00
2014/04/16	2.73	2.76	2.73	2.75	9158370	37708580.00
2014/04/17	2.75	2.76	2.73	2.74	8654605	35584660.00
2014/04/18	2.73	2.76	2.72	2.74	9609543	39505320.00
2014/04/21	2.73	2.76	2.72	2.72	12484137	51248732.00
2014/04/22	2.73	2.74	2.68	2.71	13841393	56384804.00
2014/04/23	2.71	2.74	2.70	2.72	9563661	39120264.00
2014/04/24	2.71	2.73	2.69	2.69	10036984	40884936.00
2014/04/25	2.68	2.70	2.65	2.67	15373351	62194216.00
2014/04/28	2.65	2.66	2.64	2.65	18518476	74420592.00
2014/04/29	2.66	2.70	2.65	2.70	11118742	45097528.00
2014/04/30	2.70	2.70	2.65	2.66	9331912	37685380.00
2014/05/05	2.66	2.69	2.64	2.69	9846147	39685556.00
2014/05/06	2.68	2.71	2.67	2.68	11960410	48515068.00
2014/05/07	2.66	2.67	2.64	2.66	12354664	49707428.00
2014/05/08	2.65	2.80	2.64	2.71	32891410	134573088.00
2014/05/09	2.69	2.73	2.65	2.70	20398601	82702336.00
2014/05/12	2.71	3.11	2.67	3.11	94982264	416487168.00
2014/05/13	3.56	3.56	3.19	3.20	250647363	1207441792.00
2014/05/14	3.23	3.30	3.04	3.04	143863718	653411392.00
2014/05/15	2.98	3.01	2.82	2.87	111755412	477000032.00
2014/05/16	2.86	2.91	2.79	2.88	68840287	290525952.00
2014/05/19	2.83	2.83	2.76	2.80	43932659	182793136.00
2014/05/20	2.83	2.93	2.77	2.77	54050362	227500048.00
