601636 旗滨集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/08/12	4.74	4.97	4.34	4.40	115918774	1689744256.00
2011/08/15	4.31	4.57	4.18	4.37	51256273	719705088.00
2011/08/16	4.29	4.89	4.28	4.54	71230425	1040422528.00
2011/08/17	4.47	4.56	4.37	4.45	38196366	546068736.00
2011/08/18	4.60	4.72	4.49	4.55	48477419	711113280.00
2011/08/19	4.38	4.47	3.97	4.08	43843694	598104192.00
2011/08/22	4.00	4.13	3.87	3.95	26624568	349605344.00
2011/08/23	3.88	4.04	3.71	4.03	35706027	458418240.00
2011/08/24	4.03	4.10	3.91	3.93	24775555	325964064.00
2011/08/25	3.98	4.29	3.94	4.18	39181919	528468896.00
2011/08/26	4.09	4.16	4.02	4.11	24670086	329947968.00
2011/08/29	4.06	4.19	3.95	4.13	21404923	286827072.00
2011/08/30	4.14	4.17	3.91	3.93	20480220	271824544.00
2011/08/31	3.90	3.95	3.78	3.82	13501599	172548784.00
2011/09/01	3.85	3.87	3.62	3.75	14824417	185580736.00
2011/09/02	3.69	3.74	3.62	3.69	7917283	97950632.00
2011/09/05	3.69	3.69	3.34	3.35	11037442	131358904.00
2011/09/06	3.23	3.34	3.06	3.14	11450432	128299808.00
2011/09/08	3.30	3.36	3.18	3.23	14449989	164147472.00
2011/09/09	3.18	3.30	3.07	3.18	9002189	100356744.00
2011/09/13	3.07	3.27	3.01	3.27	9163102	100694056.00
2011/09/14	3.24	3.28	3.07	3.27	8481275	94755808.00
2011/09/15	3.30	3.31	3.20	3.21	7670667	86730032.00
2011/09/16	3.28	3.31	3.11	3.12	6482923	72429416.00
2011/09/19	3.03	3.08	2.91	2.92	8114910	86037176.00
2011/09/20	2.86	2.97	2.82	2.95	6444155	67023860.00
2011/09/21	2.91	3.20	2.87	3.11	11906242	128717224.00
2011/09/22	3.06	3.11	2.87	2.89	8258070	87829512.00
2011/09/23	2.76	2.88	2.75	2.83	6115943	62257000.00
2011/09/26	2.81	2.92	2.78	2.81	5122632	52563180.00
2011/09/27	2.85	2.88	2.72	2.78	5515031	55872568.00
2011/09/28	2.90	2.97	2.76	2.80	6527039	67252560.00
2011/09/29	2.70	2.75	2.56	2.58	6393256	62491616.00
2011/09/30	2.58	2.64	2.49	2.54	4098680	39073528.00
2011/10/10	2.59	2.61	2.50	2.53	3263204	31101150.00
2011/10/11	2.66	2.71	2.54	2.59	7711978	75013016.00
2011/10/12	2.56	2.81	2.52	2.76	10343099	102600840.00
2011/10/13	2.76	2.80	2.72	2.79	8572753	86346176.00
2011/10/14	2.78	2.88	2.74	2.81	8780067	89378096.00
2011/10/17	2.81	2.86	2.77	2.85	7990295	81625680.00
2011/10/18	2.81	2.82	2.68	2.73	7451637	74521192.00
2011/10/19	2.66	2.84	2.66	2.83	7511512	75643824.00
2011/10/20	2.80	2.83	2.71	2.81	7868618	79166592.00
2011/10/21	2.81	3.03	2.78	2.92	20212772	211163024.00
2011/10/24	2.85	3.09	2.78	3.07	21928453	231491232.00
2011/10/25	3.02	3.16	2.96	3.07	18911086	203752048.00
2011/10/26	3.02	3.07	2.92	2.94	14924156	158648144.00
2011/10/27	2.93	3.08	2.92	2.95	11267570	119887384.00
2011/10/28	3.01	3.03	2.89	2.96	12253723	128960152.00
2011/10/31	2.95	3.10	2.89	3.09	13205096	141392784.00
2011/11/01	3.04	3.11	2.97	3.07	11190894	120369936.00
2011/11/02	2.96	3.21	2.93	3.17	14030194	152353104.00
2011/11/03	3.22	3.32	3.12	3.17	18961307	211742448.00
2011/11/04	3.17	3.23	3.07	3.09	10948580	120053328.00
2011/11/07	3.08	3.13	3.01	3.07	6622562	71614520.00
2011/11/08	3.07	3.10	2.98	2.99	5783026	62252968.00
2011/11/09	2.98	3.06	2.91	3.05	6921086	73720184.00
2011/11/10	3.00	3.02	2.81	2.82	8732658	91479016.00
2011/11/11	2.81	2.86	2.77	2.81	7368361	75077768.00
2011/11/14	2.79	2.90	2.76	2.90	18271933	186991792.00
2011/11/15	2.87	2.97	2.84	2.94	11407989	119062168.00
2011/11/16	2.94	2.96	2.75	2.75	10295648	105281608.00
2011/11/17	2.75	2.81	2.62	2.80	13243848	132099936.00
2011/11/18	2.75	2.82	2.71	2.74	9895827	99463008.00
2011/11/21	2.75	2.81	2.62	2.77	10927022	108202280.00
2011/11/22	2.73	3.05	2.70	2.99	35934363	376240352.00
2011/11/23	2.94	3.13	2.92	3.05	36883740	396613472.00
2011/11/24	3.01	3.20	2.96	3.10	32301572	352781632.00
2011/11/25	3.10	3.17	2.93	2.93	21957700	234698848.00
2011/11/28	2.89	2.98	2.82	2.89	13977912	144936080.00
2011/11/29	2.94	3.29	2.85	3.21	35866941	392837632.00
2011/11/30	3.20	3.20	2.95	3.10	30657005	332994272.00
2011/12/01	3.25	3.30	3.11	3.16	34350841	384632640.00
2011/12/02	3.14	3.17	2.79	2.82	20458927	217865392.00
2011/12/06	2.58	2.61	2.41	2.41	21770611	202074416.00
2011/12/07	2.36	2.43	2.29	2.33	12622075	113690504.00
2011/12/08	2.31	2.39	2.20	2.36	12976936	115396104.00
2011/12/09	2.31	2.36	2.24	2.27	7674720	68258648.00
2011/12/12	2.28	2.29	2.10	2.11	7200383	62147396.00
2011/12/13	2.08	2.09	1.95	1.97	8774901	71409688.00
2011/12/14	1.95	2.01	1.87	1.89	5426165	43523200.00
2011/12/15	1.85	1.89	1.80	1.84	7632268	59344772.00
2011/12/16	1.85	1.97	1.83	1.96	8118397	64091920.00
2011/12/19	1.93	1.98	1.85	1.97	6631522	52695324.00
2011/12/20	2.05	2.26	2.04	2.05	14939157	127047488.00
2011/12/21	2.04	2.09	1.85	1.87	8015917	65360280.00
2011/12/22	1.80	1.81	1.56	1.69	10889002	80298784.00
2011/12/23	1.66	1.77	1.64	1.71	6611378	49165652.00
2011/12/26	1.71	1.77	1.68	1.69	4184771	31239648.00
2011/12/27	1.66	1.69	1.52	1.52	5850950	41795380.00
2011/12/28	1.50	1.53	1.39	1.51	6754246	45841084.00
2011/12/29	1.48	1.57	1.45	1.48	5661502	39211936.00
2011/12/30	1.50	1.56	1.49	1.54	4530610	31626302.00
2012/01/04	1.58	1.59	1.40	1.41	4794643	33267980.00
