603976 �����ɷ� ���� ǰ��Ȩ
      ����	    ����	    ���	    ���	    ����	    �ɽ���	    �ɽ���
2017/08/22	11.54	14.00	11.54	14.00	6700	137810.00
2017/08/23	15.47	15.47	15.47	15.47	6864	155676.00
2017/08/24	17.09	17.09	17.09	17.09	7600	189620.00
2017/08/25	18.87	18.87	18.87	18.87	28326	777549.00
2017/08/28	20.84	20.84	20.84	20.84	50100	1513020.00
2017/08/29	23.00	23.00	23.00	23.00	70857	2353870.00
2017/08/30	25.37	25.37	25.37	25.37	319442	11672411.00
2017/08/31	27.97	27.97	27.97	27.97	186108	7479681.00
2017/09/01	30.85	30.85	30.85	30.85	481472	21285876.00
2017/09/04	32.85	34.00	31.70	34.00	18130569	859348160.00
2017/09/05	30.70	31.68	30.53	30.53	11048471	487415680.00
2017/09/06	28.77	30.05	27.88	28.40	8650893	357173248.00
2017/09/07	28.12	29.26	27.98	28.79	6828044	283336192.00
2017/09/08	28.21	28.73	26.44	27.02	7452398	295018816.00
2017/09/11	26.91	27.73	26.14	27.50	5328599	207468448.00
2017/09/12	27.12	28.18	26.86	27.07	5447110	215394784.00
2017/09/13	26.75	28.74	26.49	28.55	6828881	273554240.00
2017/09/14	29.30	29.85	28.13	28.57	8458442	352410528.00
2017/09/15	27.98	28.04	26.77	26.90	4890545	191437824.00
2017/09/18	26.50	26.63	25.41	25.47	4198896	155442112.00
2017/09/19	25.48	26.18	25.48	25.67	2622533	97337232.00
2017/09/20	25.52	26.52	25.42	26.27	3070447	114574128.00
2017/09/21	26.19	26.55	25.50	25.52	2763411	103507784.00
2017/09/22	25.41	26.05	24.62	25.62	2873019	105054728.00
2017/09/25	25.34	26.05	25.18	25.46	2130573	78694080.00
2017/09/26	25.58	25.83	23.50	23.88	3385541	119251520.00
2017/09/27	23.55	24.04	23.55	23.79	1476133	50693728.00
2017/09/28	23.76	23.95	23.13	23.16	1812871	61695256.00
2017/09/29	23.12	23.40	22.75	22.88	1858410	61696608.00
2017/10/09	23.20	23.30	22.95	23.19	1327746	44378468.00
2017/10/10	23.16	25.58	23.10	25.58	6012671	217281408.00
2017/10/11	26.41	28.12	26.11	26.12	10004875	388072384.00
2017/10/12	25.84	26.95	24.42	26.86	6231980	227853216.00
2017/10/13	26.12	29.02	25.99	27.50	10442456	417229632.00
2017/10/16	26.28	26.77	25.34	25.46	5479705	204829872.00
2017/10/17	25.59	26.30	25.10	25.79	3134547	116521424.00
2017/10/18	25.62	26.30	24.90	24.92	3678491	136180496.00
2017/10/19	24.45	25.10	23.91	23.93	3375033	118406392.00
2017/10/20	24.16	24.23	23.42	24.19	2300652	78923472.00
2017/10/23	24.27	24.59	24.04	24.53	1921781	67375744.00
2017/10/24	24.52	24.80	23.52	24.35	2447879	85393168.00
2017/10/25	24.36	24.60	24.06	24.44	1991050	69995728.00
2017/10/26	24.39	24.47	24.03	24.21	1778066	62191348.00
2017/10/27	24.34	24.40	23.56	23.65	2129754	73630296.00
2017/10/30	23.73	23.73	21.41	21.92	2642699	85131272.00
2017/10/31	22.12	22.38	21.94	22.24	1418327	45460908.00
2017/11/01	22.27	22.62	21.99	22.57	1666891	53963504.00
2017/11/02	22.54	23.27	22.27	22.87	2309310	76409040.00
2017/11/03	22.91	23.11	22.30	22.32	1572681	51408240.00
2017/11/06	22.29	23.16	22.29	23.12	1851628	61003336.00
2017/11/07	23.05	23.97	23.05	23.70	2851417	97098320.00
2017/11/08	23.70	24.23	23.24	23.79	2860145	98255624.00
2017/11/09	23.55	23.72	23.10	23.36	1902376	64241424.00
2017/11/10	23.45	23.50	23.20	23.34	1439286	48596088.00
2017/11/13	23.42	24.22	23.42	24.12	2766523	95700336.00
2017/11/14	24.00	24.11	23.05	23.20	2105842	71558328.00
2017/11/15	23.12	23.18	21.96	22.30	1888489	61513148.00
2017/11/16	22.32	22.50	21.92	21.99	1104939	35544152.00
2017/11/17	21.77	22.23	19.98	20.23	1983212	60451652.00
2017/11/20	19.73	20.49	19.52	20.38	969123	28171168.00
2017/11/21	20.50	20.65	19.84	20.10	1078858	31679988.00
2017/11/22	20.02	20.33	19.78	19.90	844206	24458078.00
2017/11/23	19.90	19.90	18.28	18.43	1260929	35270592.00
2017/11/24	18.43	18.69	18.30	18.56	1002124	27009930.00
2017/11/27	18.50	18.52	17.97	18.11	929480	24629492.00
2017/11/28	18.05	18.81	18.05	18.80	1093538	29456128.00
2017/11/29	18.78	18.78	18.37	18.73	873840	23593388.00
2017/11/30	18.72	19.25	18.60	18.85	952545	26339768.00
2017/12/01	18.97	19.48	18.85	19.37	1074106	30172532.00
2017/12/04	19.25	19.25	18.16	18.22	1371704	37125024.00
2017/12/05	18.37	18.50	17.00	17.20	1158854	29806656.00
2017/12/06	16.96	17.70	16.96	17.55	885758	22374396.00
2017/12/07	17.55	17.71	17.37	17.57	603404	15434202.00
2017/12/08	17.50	18.25	17.50	17.99	856940	22488376.00
2017/12/11	18.05	18.22	17.99	18.10	624422	16455424.00
2017/12/12	18.34	18.34	17.52	17.92	972700	25417704.00
2017/12/13	17.35	18.53	17.35	18.50	1096939	28954200.00
