688095 福昕软件 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/09/08	350.97	370.00	307.00	309.27	7359227	2481464832.00
2020/09/09	306.00	340.00	285.00	326.39	3803507	1206210176.00
2020/09/10	330.00	341.33	310.00	310.00	2324613	760228032.00
2020/09/11	300.00	365.00	300.00	359.80	2041867	687018176.00
2020/09/14	360.00	364.98	331.43	336.90	1544203	536835424.00
2020/09/15	334.13	364.24	332.00	340.21	1452732	509234816.00
2020/09/16	341.00	350.00	332.05	342.97	802172	272396064.00
2020/09/17	344.49	344.49	325.11	332.00	783703	261748976.00
2020/09/18	333.50	373.00	330.00	365.50	1400778	499641376.00
2020/09/21	359.00	364.00	342.02	348.55	852430	298206688.00
2020/09/22	344.00	353.56	327.00	330.97	915223	310734400.00
2020/09/23	328.80	347.00	326.02	333.97	669454	225073088.00
2020/09/24	332.97	332.97	314.10	321.19	675259	217503952.00
2020/09/25	321.72	329.00	311.93	317.00	637404	203214208.00
2020/09/28	317.00	318.49	298.00	299.00	518917	159814848.00
2020/09/29	305.00	314.60	301.21	312.71	469821	145716992.00
2020/09/30	318.00	321.00	303.65	311.08	329071	103122744.00
2020/10/09	310.99	316.00	309.99	311.76	279844	87390504.00
2020/10/12	312.30	335.88	312.30	328.08	546886	178290704.00
2020/10/13	329.20	329.21	318.81	324.00	314440	101141248.00
2020/10/14	321.85	327.50	307.10	317.46	674926	213516960.00
2020/10/15	314.00	316.93	304.00	307.72	498689	153361728.00
2020/10/16	308.88	308.88	295.17	298.50	393483	117959296.00
2020/10/19	300.79	300.87	288.01	291.95	355646	104120392.00
2020/10/20	292.00	295.70	289.20	295.00	271019	79331944.00
2020/10/21	295.00	296.70	270.00	278.00	624406	177444512.00
2020/10/22	272.18	277.00	265.00	271.10	501595	136064160.00
2020/10/23	272.00	282.12	267.19	270.00	606762	167336576.00
2020/10/26	270.00	288.49	268.56	284.98	495296	138999632.00
2020/10/27	282.89	289.96	280.20	287.99	346082	98895872.00
2020/10/28	294.99	295.00	282.00	282.07	294992	84233496.00
2020/10/29	276.02	283.50	276.02	279.97	217765	60910320.00
2020/10/30	280.98	287.95	280.01	280.01	269376	76330552.00
2020/11/02	281.00	287.00	274.00	277.52	313050	87634752.00
2020/11/03	278.80	317.60	277.52	313.97	922425	279772320.00
2020/11/04	313.01	316.80	301.88	309.99	528330	163232560.00
2020/11/05	310.98	310.98	303.30	308.50	595355	181999072.00
2020/11/06	306.50	311.88	296.70	305.50	575269	174519360.00
2020/11/09	305.76	321.80	305.75	320.99	881052	276183296.00
2020/11/10	323.00	324.88	302.49	308.00	549307	169552768.00
2020/11/11	306.86	307.98	288.00	288.03	628118	185621744.00
2020/11/12	289.98	298.55	288.05	298.00	478961	140630352.00
2020/11/13	298.00	298.58	290.08	297.70	241405	71174928.00
2020/11/16	297.77	299.87	291.00	292.95	254188	74730208.00
2020/11/17	291.10	294.50	281.03	283.60	309253	88263296.00
2020/11/18	282.78	301.88	282.49	292.90	394366	115932704.00
2020/11/19	291.00	313.00	291.00	306.11	489069	149384656.00
2020/11/20	305.99	312.39	304.32	309.60	286466	88285128.00
2020/11/23	308.88	311.50	298.91	302.15	406468	123084920.00
2020/11/24	300.01	312.58	299.49	311.80	423580	130533256.00
2020/11/25	311.88	314.44	300.90	302.00	321673	98889224.00
2020/11/26	300.50	307.70	295.40	298.18	262134	78824400.00
2020/11/27	297.01	300.54	292.00	299.71	266586	78874040.00
2020/11/30	300.71	302.90	295.00	298.99	255200	76156104.00
2020/12/01	299.00	300.00	296.08	299.60	227254	67818632.00
2020/12/02	299.00	300.00	290.16	294.99	390453	114890080.00
2020/12/03	294.50	308.00	290.89	303.75	379096	113751424.00
2020/12/04	303.00	309.70	302.30	305.01	239385	73102872.00
2020/12/07	301.50	311.10	301.50	307.76	227256	69909872.00
2020/12/08	306.45	308.75	304.00	306.36	167206	51354924.00
2020/12/09	306.60	307.90	296.00	296.00	297758	89775312.00
2020/12/10	295.89	296.00	283.55	284.00	537223	155265408.00
2020/12/11	282.30	288.28	277.77	280.57	307795	86987256.00
2020/12/14	280.08	285.98	278.02	282.70	240929	67991320.00
2020/12/15	282.70	289.99	279.01	287.64	205852	58985728.00
2020/12/16	287.00	287.00	276.51	277.00	314459	88305912.00
2020/12/17	280.88	289.97	277.00	288.87	371901	106325968.00
2020/12/18	292.05	295.48	284.80	288.47	266410	77132296.00
2020/12/21	286.18	291.92	279.00	282.98	436636	124007928.00
2020/12/22	280.08	282.00	256.00	257.10	1067589	284663936.00
2020/12/23	260.00	267.74	256.33	263.81	553916	145350624.00
2020/12/24	264.00	266.53	246.00	248.40	699669	177956208.00
2020/12/25	247.16	252.00	244.07	245.92	372910	92288264.00
