688298 东方生物 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/02/05	90.79	151.79	87.80	145.77	18847907	1878003328.00
2020/02/06	119.79	147.56	116.89	127.79	14540473	1923537152.00
2020/02/07	132.79	166.09	129.99	135.80	14740997	2115473536.00
2020/02/10	126.79	135.79	110.92	115.53	10589310	1263786880.00
2020/02/11	109.89	113.19	95.79	97.99	9994043	1014884032.00
2020/02/12	99.09	103.76	95.48	100.59	7946333	794478080.00
2020/02/13	98.76	100.67	92.45	97.49	8010768	772794944.00
2020/02/14	96.00	100.29	93.59	93.69	5196481	502370240.00
2020/02/17	91.79	95.58	90.79	93.79	4852803	456352928.00
2020/02/18	94.24	99.79	92.67	99.28	7084647	685659712.00
2020/02/19	97.79	98.99	94.10	94.14	4499666	434792960.00
2020/02/20	94.82	95.39	89.79	90.73	4153505	381802752.00
2020/02/21	89.89	93.26	88.67	91.12	4185371	380093792.00
2020/02/24	98.79	102.27	96.48	100.89	7362111	737262144.00
2020/02/25	99.65	107.59	98.98	102.81	7621267	794958336.00
2020/02/26	101.59	101.67	95.99	95.99	4931264	483116320.00
2020/02/27	97.79	98.34	89.92	91.84	3561361	332050720.00
2020/02/28	93.49	105.56	93.49	102.02	7957685	790367360.00
2020/03/02	102.79	106.29	95.30	100.69	5779344	582862976.00
2020/03/03	99.77	102.94	97.29	100.73	5256520	526151616.00
2020/03/04	98.90	102.29	97.00	97.56	3708648	367304128.00
2020/03/05	97.56	98.19	93.67	94.86	4107181	391093664.00
2020/03/06	95.11	101.05	95.11	97.71	4834473	475173760.00
2020/03/09	94.79	96.28	87.80	90.81	4482747	412322656.00
2020/03/10	88.69	90.14	80.12	85.26	4899452	413468768.00
2020/03/11	90.50	92.76	87.42	87.46	4120307	370268928.00
2020/03/12	87.65	87.78	82.39	84.79	3200876	271867936.00
2020/03/13	79.59	82.79	78.84	81.60	2953602	239991632.00
2020/03/16	82.85	85.96	80.01	80.31	3322239	278842112.00
2020/03/17	81.79	82.78	72.87	76.09	3112170	236910320.00
2020/03/18	75.39	77.45	72.50	73.13	2961862	222416128.00
2020/03/19	72.79	73.45	67.07	68.89	3044371	212183456.00
2020/03/20	69.59	71.57	68.49	69.29	2069728	144967120.00
2020/03/23	67.61	70.69	63.63	64.01	2570151	174946928.00
2020/03/24	64.43	65.77	59.79	64.03	2900778	182868832.00
2020/03/25	65.34	70.17	65.34	69.59	4143346	282752768.00
2020/03/26	69.57	71.29	67.60	69.99	2726052	190563392.00
2020/03/27	71.27	71.68	68.59	68.74	2014456	140820224.00
2020/03/30	68.89	72.27	67.49	72.20	2594047	182088624.00
2020/03/31	72.50	74.12	70.79	73.08	2378183	173549264.00
2020/04/01	72.29	72.68	67.89	68.15	2487048	174862816.00
2020/04/02	66.80	68.14	64.29	67.47	1818781	120862296.00
2020/04/03	67.20	70.46	67.19	68.89	1810231	125945536.00
2020/04/07	70.09	80.76	70.09	79.75	4226419	321778304.00
2020/04/08	77.64	86.68	76.97	80.60	4488586	369523616.00
2020/04/09	79.69	79.80	76.09	78.79	2785609	218029568.00
2020/04/10	79.49	82.47	77.07	80.44	2674169	213947184.00
2020/04/13	78.99	82.77	76.80	77.47	2011734	160210176.00
2020/04/14	77.77	81.29	75.49	80.99	2240064	176862064.00
2020/04/15	80.99	88.78	80.99	85.16	4096202	353782592.00
2020/04/16	83.44	91.00	82.98	88.41	4220965	374265312.00
2020/04/17	87.79	89.78	83.88	84.59	2994493	256785552.00
2020/04/20	85.69	89.79	84.99	88.14	2624856	232591520.00
2020/04/21	87.89	88.07	81.80	84.80	2695435	229187344.00
2020/04/22	82.65	84.19	80.69	81.87	1965467	162102400.00
2020/04/23	84.78	88.29	83.79	84.32	3221360	278457920.00
2020/04/24	83.96	85.29	79.99	85.09	3265282	268888128.00
2020/04/27	86.79	97.29	86.78	96.83	6099179	561308096.00
2020/04/28	90.79	93.28	81.79	87.84	4495097	402569664.00
