688589 力合微 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/07/22	52.00	121.00	51.00	79.07	19124535	1317908480.00
2020/07/23	73.00	84.98	72.01	84.51	15305146	1205676544.00
2020/07/24	80.00	81.40	69.65	70.80	11212283	851824704.00
2020/07/27	69.55	70.77	61.70	63.99	7826795	509791488.00
2020/07/28	64.00	66.50	60.99	62.49	6159542	391360480.00
2020/07/29	61.89	65.88	60.43	64.66	6306478	399065184.00
2020/07/30	64.44	73.85	62.46	69.01	9804089	666123456.00
2020/07/31	67.41	70.66	66.55	69.10	7019800	478481600.00
2020/08/03	69.46	73.51	69.46	70.66	6838100	487268288.00
2020/08/04	70.50	71.30	66.51	66.65	5285680	361248000.00
2020/08/05	71.58	73.29	68.18	70.83	7849906	556958720.00
2020/08/06	68.25	70.98	67.58	68.90	4184649	288980800.00
2020/08/07	68.46	69.00	63.00	64.31	4380067	288642144.00
2020/08/10	63.00	64.15	62.08	63.11	2332408	146858896.00
2020/08/11	63.33	67.50	62.50	64.78	4782727	312918112.00
2020/08/12	64.00	64.73	61.80	63.70	2875167	181035376.00
2020/08/13	64.13	66.37	62.88	64.51	2656668	171774880.00
2020/08/14	64.81	65.20	62.51	63.50	2150395	136551920.00
2020/08/17	63.43	63.50	60.50	62.25	2742902	169789760.00
2020/08/18	61.73	62.80	60.91	61.15	1997724	123019208.00
2020/08/19	61.22	61.22	56.43	56.49	3239890	189507904.00
2020/08/20	55.00	56.99	54.70	56.99	1811352	100724208.00
2020/08/21	56.30	56.99	55.55	55.85	1327268	74493856.00
2020/08/24	55.11	55.64	51.88	52.97	1993247	106282912.00
2020/08/25	53.21	54.24	51.99	52.33	1390351	73427792.00
2020/08/26	52.50	53.15	49.71	50.05	1894509	97374600.00
2020/08/27	49.68	56.50	49.00	53.88	3468980	184906176.00
2020/08/28	52.73	53.30	51.12	52.29	1828400	95171776.00
2020/08/31	52.56	54.39	52.17	53.23	1573900	83988872.00
2020/09/01	53.00	53.64	52.51	52.81	899461	47590232.00
2020/09/02	52.78	53.37	51.38	51.46	1062117	55298540.00
2020/09/03	51.46	53.43	50.50	52.88	1630604	85543128.00
2020/09/04	52.80	56.00	51.80	54.98	2487182	136576576.00
2020/09/07	54.25	56.87	53.31	53.36	2546580	140475792.00
2020/09/08	55.11	55.11	52.10	52.46	1333948	70699192.00
2020/09/09	51.60	52.22	49.01	49.84	1881226	95043336.00
2020/09/10	50.62	51.20	48.00	48.27	1257690	62352656.00
2020/09/11	48.40	49.75	47.80	49.60	976195	47670116.00
2020/09/14	50.12	51.25	49.81	50.55	999235	50647868.00
2020/09/15	50.11	52.22	49.49	51.45	1305641	66660436.00
2020/09/16	51.48	51.79	50.08	50.70	862253	43776504.00
2020/09/17	50.53	58.40	50.18	56.61	4610945	254842000.00
2020/09/18	55.62	56.98	54.35	55.95	2694068	149593744.00
2020/09/21	55.69	57.30	54.60	54.84	1542724	85717536.00
2020/09/22	54.08	55.10	52.67	52.99	1180144	63584480.00
2020/09/23	53.20	54.97	53.00	54.30	1362304	73576624.00
2020/09/24	53.69	55.47	53.52	54.25	1944837	106442624.00
2020/09/25	54.63	54.99	51.99	52.60	1410613	75042704.00
2020/09/28	52.11	52.31	49.60	49.95	1345391	68237352.00
2020/09/29	50.60	51.23	50.00	50.30	996350	50512264.00
2020/09/30	50.40	50.55	48.69	49.00	998651	49446528.00
2020/10/09	49.94	51.27	49.93	50.83	901525	45683440.00
2020/10/12	51.75	55.80	50.85	55.30	2622176	142067264.00
2020/10/13	55.49	56.16	54.30	55.70	1606494	88877768.00
2020/10/14	55.14	56.48	54.45	56.03	1353415	75039360.00
2020/10/15	55.89	57.91	53.88	53.90	2164629	120497656.00
2020/10/16	53.98	57.29	53.22	56.50	2140191	119029264.00
2020/10/19	56.98	57.47	53.29	53.66	2154404	118865008.00
2020/10/20	54.10	54.59	53.11	54.39	1196992	64591092.00
2020/10/21	53.99	54.85	51.30	51.45	1581794	83190672.00
2020/10/22	51.66	52.00	50.63	51.46	896217	46085048.00
2020/10/23	51.47	52.38	50.41	50.80	983368	50507792.00
2020/10/26	49.45	50.78	48.00	50.00	1261751	62382952.00
2020/10/27	49.55	50.76	49.22	50.20	652334	32655952.00
2020/10/28	50.49	50.77	48.59	49.06	924454	45445176.00
2020/10/29	48.48	48.51	47.36	47.81	1022320	48999736.00
2020/10/30	48.05	49.66	46.80	47.14	1243856	59761168.00
2020/11/02	47.14	48.16	43.76	45.07	1737248	78382088.00
2020/11/03	45.11	47.17	45.02	46.95	976031	45345860.00
2020/11/04	47.20	47.85	46.35	46.80	681062	32005294.00
2020/11/05	48.20	48.49	46.55	47.32	689483	32654038.00
2020/11/06	47.24	47.60	46.05	46.83	624700	29246836.00
2020/11/09	47.99	52.00	47.00	51.22	2702774	136503216.00
2020/11/10	50.63	52.39	49.85	51.30	1963504	100618232.00
2020/11/11	51.11	51.48	49.77	50.00	1140106	57550188.00
2020/11/12	51.00	51.30	48.18	48.55	953015	46667624.00
2020/11/13	48.55	49.55	48.13	48.69	600512	29305554.00
数据来源:通达信
