300181 佐力药业 5分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2019/09/26	0935	5.39	5.43	5.39	5.40	222900	1205076.00
2019/09/26	0940	5.40	5.40	5.37	5.37	205800	1108098.00
2019/09/26	0945	5.37	5.38	5.36	5.37	135600	728176.00
2019/09/26	0950	5.37	5.38	5.34	5.34	218700	1171820.00
2019/09/26	0955	5.34	5.37	5.33	5.34	185200	989977.00
2019/09/26	1000	5.35	5.35	5.32	5.34	73800	393583.00
2019/09/26	1005	5.33	5.37	5.33	5.34	96900	517904.00
2019/09/26	1010	5.34	5.35	5.33	5.33	74200	395825.00
2019/09/26	1015	5.32	5.32	5.28	5.29	211400	1120638.00
2019/09/26	1020	5.29	5.30	5.27	5.27	103500	547022.00
2019/09/26	1025	5.27	5.28	5.27	5.27	102800	542277.00
2019/09/26	1030	5.28	5.28	5.24	5.24	420300	2209746.00
2019/09/26	1035	5.24	5.24	5.20	5.20	330000	1716083.00
2019/09/26	1040	5.20	5.20	5.14	5.18	356800	1841516.00
2019/09/26	1045	5.18	5.21	5.18	5.20	95100	494367.00
2019/09/26	1050	5.20	5.21	5.19	5.19	70800	367827.00
2019/09/26	1055	5.18	5.19	5.16	5.16	205400	1062847.00
2019/09/26	1100	5.16	5.19	5.15	5.19	243400	1258472.00
2019/09/26	1105	5.17	5.17	5.10	5.10	247000	1267370.00
2019/09/26	1110	5.11	5.13	5.10	5.12	252000	1288076.00
2019/09/26	1115	5.12	5.15	5.12	5.14	87600	449428.00
2019/09/26	1120	5.15	5.15	5.14	5.14	16500	84860.00
2019/09/26	1125	5.15	5.15	5.11	5.13	133600	685062.00
2019/09/26	1130	5.13	5.13	5.11	5.12	89000	455596.00
2019/09/26	1305	5.11	5.12	5.10	5.11	130100	665170.00
2019/09/26	1310	5.11	5.14	5.11	5.13	72600	371448.00
2019/09/26	1315	5.13	5.13	5.11	5.11	96800	495322.00
2019/09/26	1320	5.12	5.16	5.12	5.15	98100	504364.00
2019/09/26	1325	5.15	5.15	5.14	5.14	62900	323668.00
2019/09/26	1330	5.13	5.15	5.13	5.14	35900	184344.00
2019/09/26	1335	5.13	5.14	5.13	5.14	34200	175456.00
2019/09/26	1340	5.13	5.16	5.13	5.16	42600	219272.00
2019/09/26	1345	5.15	5.15	5.14	5.15	38600	198552.00
2019/09/26	1350	5.15	5.15	5.13	5.15	37100	190804.00
2019/09/26	1355	5.15	5.15	5.14	5.14	45900	235976.00
2019/09/26	1400	5.14	5.15	5.13	5.14	54100	277890.00
2019/09/26	1405	5.14	5.15	5.13	5.14	68800	353600.00
2019/09/26	1410	5.15	5.16	5.12	5.14	86500	444312.00
2019/09/26	1415	5.13	5.14	5.12	5.13	38800	198898.00
2019/09/26	1420	5.13	5.13	5.12	5.12	73900	378666.00
2019/09/26	1425	5.12	5.12	5.10	5.12	168900	862724.00
2019/09/26	1430	5.12	5.12	5.11	5.12	84400	431856.00
2019/09/26	1435	5.12	5.13	5.11	5.13	34100	174530.00
2019/09/26	1440	5.13	5.13	5.11	5.11	49100	251280.00
2019/09/26	1445	5.11	5.12	5.11	5.12	76500	391544.00
2019/09/26	1450	5.11	5.12	5.11	5.12	204000	1043570.00
2019/09/26	1455	5.12	5.16	5.12	5.16	136800	703534.00
2019/09/26	1500	5.16	5.16	5.13	5.14	99600	512812.00
2019/09/27	0935	5.12	5.13	5.09	5.10	137800	704226.00
2019/09/27	0940	5.10	5.12	5.08	5.12	161800	824091.00
2019/09/27	0945	5.11	5.15	5.10	5.15	155400	794991.00
2019/09/27	0950	5.16	5.16	5.14	5.14	63500	326766.00
2019/09/27	0955	5.15	5.17	5.14	5.17	83000	427734.00
2019/09/27	1000	5.16	5.17	5.15	5.16	67500	348175.00
2019/09/27	1005	5.17	5.18	5.14	5.17	75900	391893.00
2019/09/27	1010	5.17	5.18	5.17	5.18	60200	311569.00
2019/09/27	1015	5.16	5.18	5.15	5.17	48800	251947.00
2019/09/27	1020	5.18	5.19	5.17	5.17	79600	412336.00
2019/09/27	1025	5.18	5.19	5.17	5.18	35700	184850.00
2019/09/27	1030	5.18	5.19	5.17	5.19	25200	130540.00
2019/09/27	1035	5.19	5.19	5.18	5.19	7200	37325.00
2019/09/27	1040	5.19	5.19	5.17	5.19	146600	759597.00
2019/09/27	1045	5.18	5.19	5.18	5.18	63500	329067.00
2019/09/27	1050	5.19	5.19	5.18	5.18	4900	25419.00
2019/09/27	1055	5.19	5.19	5.18	5.18	62700	325136.00
2019/09/27	1100	5.18	5.19	5.18	5.18	77500	401452.00
2019/09/27	1105	5.18	5.19	5.17	5.17	68000	351715.00
2019/09/27	1110	5.17	5.18	5.16	5.16	40800	210974.00
2019/09/27	1115	5.16	5.17	5.16	5.17	15500	80117.00
2019/09/27	1120	5.17	5.18	5.16	5.18	77300	399529.00
2019/09/27	1125	5.18	5.18	5.18	5.18	3000	15540.00
2019/09/27	1130	5.18	5.18	5.16	5.17	29200	151043.00
2019/09/27	1305	5.18	5.18	5.15	5.15	39600	204373.00
2019/09/27	1310	5.16	5.17	5.15	5.16	3700	19094.00
2019/09/27	1315	5.17	5.18	5.16	5.17	22400	115755.00
2019/09/27	1320	5.17	5.18	5.16	5.16	9100	47031.00
2019/09/27	1325	5.17	5.18	5.16	5.17	42300	218552.00
2019/09/27	1330	5.17	5.17	5.16	5.16	38100	196865.00
2019/09/27	1335	5.17	5.17	5.17	5.17	5100	26367.00
2019/09/27	1340	5.16	5.17	5.15	5.16	83400	430336.00
2019/09/27	1345	5.16	5.16	5.15	5.16	39200	201930.00
2019/09/27	1350	5.15	5.16	5.15	5.15	87400	450114.00
2019/09/27	1355	5.15	5.16	5.15	5.16	25800	132933.00
2019/09/27	1400	5.16	5.17	5.16	5.16	104400	539301.00
2019/09/27	1405	5.16	5.17	5.16	5.17	31500	162675.00
2019/09/27	1410	5.17	5.17	5.15	5.16	55900	288487.00
2019/09/27	1415	5.16	5.17	5.16	5.16	168400	869665.00
2019/09/27	1420	5.16	5.16	5.15	5.16	31800	164011.00
2019/09/27	1425	5.16	5.16	5.15	5.15	22900	118108.00
2019/09/27	1430	5.16	5.16	5.15	5.15	12800	66021.00
2019/09/27	1435	5.15	5.17	5.15	5.17	258800	1335640.00
2019/09/27	1440	5.17	5.17	5.16	5.17	17100	88297.00
2019/09/27	1445	5.17	5.17	5.15	5.15	135700	700126.00
2019/09/27	1450	5.15	5.15	5.13	5.13	180200	926387.00
2019/09/27	1455	5.13	5.14	5.12	5.13	128300	658343.00
2019/09/27	1500	5.13	5.13	5.12	5.13	109000	559010.00
2019/09/30	0935	5.14	5.19	5.14	5.19	184200	953323.00
2019/09/30	0940	5.18	5.19	5.17	5.18	69400	359347.00
2019/09/30	0945	5.18	5.19	5.17	5.17	91800	475454.00
2019/09/30	0950	5.17	5.17	5.15	5.17	90800	468328.00
2019/09/30	0955	5.16	5.16	5.14	5.16	44000	226611.00
2019/09/30	1000	5.14	5.15	5.12	5.15	150700	773410.00
2019/09/30	1005	5.13	5.14	5.13	5.14	32200	165192.00
2019/09/30	1010	5.14	5.14	5.13	5.14	21500	110803.00
2019/09/30	1015	5.13	5.14	5.13	5.14	6000	30805.00
