000153 丰原药业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/09/20	5.92	7.12	5.92	5.98	12316800	433421824.00
2000/09/21	5.97	6.17	5.87	5.94	2330800	80041224.00
2000/09/22	5.91	5.92	5.57	5.62	2512400	82059616.00
2000/09/25	5.57	5.57	5.28	5.30	1447300	44983488.00
2000/09/26	5.25	5.38	5.22	5.27	708800	21504890.00
2000/09/27	5.29	5.50	5.28	5.44	638300	19786152.00
2000/09/28	5.46	5.48	5.29	5.38	495100	15332200.00
2000/09/29	5.38	5.62	5.36	5.51	643100	20447442.00
2000/10/09	5.55	5.58	5.42	5.55	362300	11357398.00
2000/10/10	5.51	5.64	5.51	5.58	571400	18247112.00
2000/10/11	5.58	5.71	5.49	5.66	800100	25553724.00
2000/10/12	5.72	5.83	5.63	5.82	971100	31974692.00
2000/10/13	5.78	5.84	5.59	5.59	615300	20114784.00
2000/10/16	5.68	5.80	5.63	5.68	561600	18381598.00
2000/10/17	5.74	5.87	5.64	5.86	870400	28832604.00
2000/10/18	5.86	5.96	5.81	5.86	775400	26050324.00
2000/10/19	5.89	5.92	5.72	5.75	498600	16501259.00
2000/10/20	5.74	6.06	5.71	6.05	1538300	52093800.00
2000/10/23	6.07	6.21	5.99	6.12	1332000	46443212.00
2000/10/24	6.14	6.51	6.07	6.40	2336500	84568192.00
2000/10/25	6.46	6.66	6.30	6.37	2158000	79718320.00
2000/10/26	6.33	6.72	6.31	6.69	1844800	68788664.00
2000/10/27	6.70	6.83	6.59	6.68	1205100	45834860.00
2000/10/30	6.67	6.71	6.55	6.60	762300	28717124.00
2000/10/31	6.56	6.66	6.34	6.40	1091300	40029232.00
2000/11/01	6.38	6.59	6.37	6.50	629200	23173608.00
2000/11/02	6.52	6.59	6.45	6.49	407700	15094403.00
2000/11/03	6.54	6.54	6.39	6.49	458200	16803140.00
2000/11/06	6.48	6.68	6.42	6.58	458800	17160936.00
2000/11/07	6.58	6.79	6.53	6.79	717600	27224826.00
2000/11/08	6.85	6.98	6.77	6.85	765600	29838402.00
2000/11/09	6.86	6.89	6.74	6.84	594700	22880218.00
2000/11/10	6.84	6.95	6.74	6.83	679800	26361628.00
2000/11/13	6.83	6.88	6.68	6.71	705000	26885568.00
2000/11/14	6.70	6.79	6.66	6.72	506800	19281744.00
2000/11/15	6.72	6.84	6.68	6.76	298800	11422091.00
2000/11/16	6.74	6.78	6.60	6.64	603000	22770986.00
2000/11/17	6.61	6.65	6.54	6.60	546200	20406016.00
2000/11/20	6.56	6.68	6.51	6.68	332100	12404735.00
2000/11/21	6.61	6.70	6.53	6.53	248000	9339762.00
2000/11/22	6.57	6.74	6.55	6.66	295300	11163161.00
2000/11/23	6.64	6.70	6.61	6.62	434200	16379083.00
2000/11/24	6.51	6.62	6.37	6.42	823700	30365326.00
2000/11/27	6.42	6.42	6.28	6.32	467600	16873818.00
2000/11/28	6.31	6.46	6.30	6.44	411500	14865966.00
2000/11/29	6.40	6.44	6.35	6.40	322900	11722505.00
2000/11/30	6.39	6.42	6.27	6.31	299200	10833479.00
2000/12/01	6.29	6.39	6.24	6.33	318000	11454512.00
2000/12/04	6.33	6.38	6.26	6.38	232700	8344261.50
2000/12/05	6.34	6.51	6.34	6.39	134900	4943765.50
2000/12/06	6.39	6.51	6.37	6.41	195200	7146743.00
2000/12/07	6.43	6.44	6.33	6.36	168200	6098218.00
2000/12/08	6.36	6.39	6.30	6.35	216600	7801642.00
2000/12/11	6.24	6.34	6.18	6.24	235000	8349964.50
2000/12/12	6.24	6.32	6.21	6.28	148600	5305644.50
2000/12/13	6.29	6.38	6.26	6.35	116000	4174782.50
2000/12/14	6.36	6.41	6.31	6.31	93800	3383241.00
2000/12/15	6.30	6.61	6.30	6.54	288600	10548366.00
2000/12/18	6.53	6.72	6.46	6.66	658600	24814770.00
2000/12/19	6.70	6.71	6.57	6.62	324400	12258822.00
2000/12/20	6.62	6.77	6.57	6.77	526700	19991380.00
2000/12/21	6.77	6.79	6.68	6.73	396600	15115225.00
2000/12/22	6.70	6.75	6.54	6.56	187300	7040725.00
2000/12/25	6.52	6.63	6.40	6.49	260400	9623880.00
2000/12/26	6.49	6.53	6.42	6.50	246800	9071617.00
2000/12/27	6.51	6.51	6.42	6.48	228600	8396672.00
2000/12/28	6.46	6.66	6.42	6.62	151400	5604375.50
2000/12/29	6.61	6.89	6.51	6.68	544900	20825704.00
2001/01/02	6.68	6.92	6.63	6.86	893300	34550224.00
2001/01/03	6.89	6.96	6.80	6.87	442700	17237694.00
2001/01/04	6.88	6.92	6.77	6.78	252200	9743502.00
2001/01/05	6.76	6.81	6.71	6.79	231900	8902753.00
2001/01/08	6.79	6.81	6.58	6.62	468800	17666928.00
2001/01/09	6.64	6.66	6.55	6.66	161900	6073974.50
2001/01/10	6.66	6.74	6.61	6.69	190900	7245491.50
2001/01/11	6.68	6.71	6.57	6.57	219900	8271737.00
2001/01/12	6.55	6.60	6.42	6.44	469200	17252042.00
2001/01/15	6.42	6.42	6.28	6.29	396600	14247390.00
2001/01/16	6.29	6.33	6.22	6.33	224200	8019560.50
2001/01/17	6.31	6.33	6.22	6.28	279000	9946439.00
2001/01/18	6.27	6.33	6.22	6.29	146700	5242974.00
2001/01/19	6.29	6.36	6.29	6.35	484500	17470430.00
2001/02/05	6.35	6.42	5.91	5.93	366000	12645940.00
2001/02/06	5.93	5.94	5.59	5.90	400000	13156133.00
2001/02/07	5.87	5.87	5.64	5.73	164700	5419444.50
2001/02/08	5.59	5.81	5.53	5.59	225100	7288144.00
2001/02/09	5.63	5.78	5.63	5.74	223600	7314196.50
2001/02/12	5.68	5.80	5.68	5.77	95100	3120090.25
2001/02/13	5.77	5.85	5.77	5.80	95000	3160557.75
2001/02/14	5.78	5.84	5.74	5.80	50300	1664512.00
2001/02/15	5.77	5.83	5.72	5.78	110200	3632275.50
2001/02/16	5.68	5.83	5.66	5.82	145200	4749894.00
2001/02/19	5.84	5.94	5.77	5.91	112200	3751699.50
2001/02/20	5.87	5.96	5.79	5.80	164300	5515872.00
2001/02/21	5.77	5.77	5.59	5.63	162200	5235098.00
2001/02/22	5.64	5.76	5.59	5.70	88900	2898415.00
2001/02/23	5.70	5.76	5.66	5.75	71500	2333677.00
2001/02/26	5.77	5.86	5.77	5.86	59000	1962976.75
2001/02/27	5.86	5.87	5.82	5.86	81800	2730304.00
2001/02/28	5.86	5.89	5.78	5.89	61500	2052088.50
2001/03/01	5.90	5.94	5.89	5.92	72900	2462277.50
2001/03/02	5.92	5.99	5.92	5.93	264500	8984011.00
2001/03/05	5.93	5.93	5.79	5.82	161200	5383038.00
2001/03/06	5.78	5.92	5.78	5.88	54600	1828221.25
2001/03/07	5.92	5.93	5.87	5.90	72000	2425221.75
2001/03/08	5.92	5.94	5.87	5.90	98600	3321312.00
2001/03/09	5.91	6.01	5.89	5.96	130300	4435381.50
2001/03/12	5.97	6.13	5.97	6.09	157900	5458330.50
2001/03/13	6.09	6.09	5.92	5.95	158400	5404125.50
2001/03/14	5.94	5.99	5.89	5.98	71000	2412937.00
2001/03/15	5.98	5.98	5.90	5.91	138400	4682417.00
2001/03/16	5.92	5.92	5.84	5.87	135000	4522741.00
2001/03/19	5.87	5.89	5.79	5.86	93700	3122573.00
2001/03/20	5.86	5.88	5.81	5.86	153000	5100174.50
2001/03/21	5.87	6.00	5.85	5.95	105400	3572950.50
2001/03/22	5.93	6.00	5.92	5.96	121200	4113022.50
2001/03/23	5.98	6.04	5.93	5.93	145400	4964310.50
2001/03/26	5.93	6.02	5.89	6.01	184500	6252188.50
2001/03/27	6.03	6.06	5.98	6.06	179700	6189738.50
2001/03/28	6.05	6.16	6.01	6.15	194600	6738915.00
2001/03/29	6.18	6.25	6.10	6.11	436700	15375583.00
2001/03/30	6.12	6.34	6.11	6.31	376900	13373140.00
2001/04/02	6.33	6.51	6.33	6.39	471800	17283262.00
2001/04/03	6.39	6.42	6.27	6.33	212200	7647792.00
2001/04/04	6.33	6.42	6.18	6.23	313600	11283292.00
2001/04/05	6.18	6.32	6.17	6.31	168100	5990008.50
2001/04/06	6.36	6.36	6.26	6.26	150500	5397984.00
2001/04/09	6.26	6.35	6.24	6.35	166300	5949099.00
2001/04/10	6.36	6.45	6.30	6.40	226400	8241282.00
2001/04/11	6.45	6.45	6.37	6.41	116700	4253566.50
2001/04/12	6.42	6.45	6.31	6.34	225400	8191560.00
2001/04/13	6.37	6.42	6.31	6.42	469600	17013600.00
2001/04/16	6.42	6.58	6.42	6.55	493200	18308584.00
2001/04/17	6.55	6.60	6.53	6.55	483600	18035870.00
2001/04/18	6.54	6.66	6.48	6.64	466600	17408756.00
2001/04/19	6.64	6.70	6.59	6.68	422800	15973190.00
2001/04/20	6.68	6.72	6.42	6.48	327200	12277924.00
2001/04/23	6.48	6.57	6.38	6.56	412800	15140137.00
2001/04/24	6.51	6.63	6.51	6.59	216700	8117063.00
2001/04/25	6.59	6.59	6.35	6.36	381600	13914339.00
2001/04/26	6.33	6.41	6.33	6.35	206700	7490529.50
2001/04/27	6.33	6.42	6.33	6.35	148000	5360651.50
2001/04/30	6.37	6.62	6.35	6.53	304200	11241443.00
2001/05/08	6.53	6.57	6.42	6.55	121200	4489292.50
2001/05/09	6.49	6.55	6.46	6.47	109600	4048832.50
2001/05/11	6.51	6.61	6.51	6.59	124600	4652258.50
2001/05/14	6.60	6.85	6.60	6.75	645700	24781660.00
2001/05/15	6.80	6.82	6.66	6.75	250500	9562312.00
2001/05/16	6.75	6.79	6.70	6.75	195400	7478590.00
2001/05/17	6.77	6.88	6.72	6.83	535500	20706780.00
2001/05/18	6.85	7.04	6.84	6.93	1112900	43802636.00
2001/05/21	6.99	7.26	6.98	7.11	1192900	48345532.00
2001/05/22	7.13	7.18	7.04	7.07	310700	12445450.00
2001/05/23	7.07	7.35	7.03	7.28	887300	36181888.00
2001/05/24	7.35	7.42	7.10	7.15	516800	21319042.00
2001/05/25	7.16	7.22	6.92	6.99	481400	19122320.00
2001/05/28	7.00	7.10	6.95	7.06	288000	11447999.00
2001/05/29	7.06	7.08	6.89	6.94	244800	9707177.00
2001/05/30	6.94	7.10	6.94	7.06	286600	11445723.00
2001/05/31	7.10	7.42	7.07	7.31	646200	26682020.00
2001/06/01	7.35	7.51	7.27	7.32	415000	17357312.00
2001/06/04	7.32	7.40	7.28	7.35	195900	8124349.50
2001/06/05	7.34	7.50	7.34	7.39	273400	11471531.00
2001/06/06	7.40	7.43	7.20	7.20	390000	15995399.00
2001/06/07	7.21	7.35	7.20	7.35	209700	8571863.00
2001/06/08	7.36	7.40	7.12	7.18	221200	9007576.00
2001/06/11	7.18	7.22	7.07	7.10	224300	9040516.00
2001/06/12	7.07	7.20	7.03	7.11	226800	9124047.00
2001/06/13	7.15	7.31	7.12	7.28	221700	9087196.00
2001/06/14	7.30	7.31	7.03	7.05	285800	11540443.00
2001/06/15	7.03	7.11	6.98	7.07	373100	14835559.00
2001/06/18	7.07	7.09	6.75	6.79	374900	14634877.00
2001/06/19	6.79	6.87	6.74	6.84	338200	12997587.00
2001/06/20	6.83	6.88	6.77	6.81	113200	4373947.50
2001/06/21	6.83	6.95	6.79	6.91	172600	6731367.50
2001/06/22	6.91	6.94	6.87	6.93	140400	5497763.50
2001/06/25	6.98	7.05	6.95	7.03	171300	6786550.00
