000936 华西股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/09/02	7.47	8.40	7.29	7.29	17382102	137162064.00
2015/09/07	7.50	7.89	7.42	7.52	11633402	92109120.00
2015/09/08	7.44	8.11	7.35	8.06	10869792	87028776.00
2015/09/09	8.22	8.82	8.22	8.62	18656775	164013872.00
2015/09/10	8.37	8.62	8.17	8.20	12222000	106292824.00
2015/09/11	8.32	8.42	8.14	8.37	9512002	81489464.00
2015/09/14	8.45	8.49	7.51	7.51	13186695	107104104.00
2015/09/15	7.10	7.26	6.73	6.73	12356663	89127352.00
2015/09/16	6.75	7.43	6.63	7.41	19878248	144041472.00
2015/09/17	7.26	7.65	7.12	7.13	20728707	158742960.00
2015/09/18	7.24	7.34	6.98	7.14	10474200	77696128.00
2015/09/21	6.98	7.56	6.93	7.55	14598295	110501616.00
2015/09/22	7.56	7.80	7.49	7.67	15282256	120997096.00
2015/09/23	7.50	7.66	7.41	7.49	10390733	80993272.00
2015/09/24	7.60	7.80	7.50	7.68	12683781	100322816.00
2015/09/25	7.64	7.73	7.13	7.25	11164161	86026136.00
2015/09/28	7.29	7.46	7.11	7.43	5608432	42542640.00
2015/09/29	7.28	7.42	7.13	7.19	5915208	44581180.00
2015/09/30	7.30	7.32	7.17	7.21	5387819	40558068.00
2015/10/08	7.47	7.66	7.39	7.62	9194988	72128080.00
2015/10/09	7.58	8.16	7.54	8.02	15923269	130962952.00
2015/10/12	8.12	8.59	8.05	8.52	19133594	165437312.00
2015/10/13	8.51	8.56	8.24	8.55	14353676	125366960.00
2015/10/14	8.50	8.99	8.41	8.52	17834910	159847472.00
2015/10/15	8.47	8.88	8.47	8.87	14513310	130851064.00
2015/10/16	8.88	9.52	8.60	9.22	33967137	313393664.00
2015/10/19	9.22	9.31	8.67	8.90	25118091	234506480.00
2015/10/20	8.87	9.32	8.80	9.17	22250639	209344224.00
2015/10/21	9.15	9.29	8.23	8.23	27478596	249877440.00
2015/10/22	8.27	8.60	8.12	8.57	15989811	138918256.00
2015/10/23	8.59	8.88	8.50	8.78	16351101	146823632.00
2015/10/26	8.95	9.02	8.80	8.92	19117608	175639216.00
2015/10/27	8.90	9.25	8.40	9.19	23467497	216458992.00
2015/10/28	9.32	10.14	9.30	9.70	54357120	550356288.00
2015/10/29	9.62	9.91	9.28	9.74	32638724	322154368.00
2015/10/30	9.73	10.18	9.57	9.85	35743898	365163232.00
2015/11/02	9.44	9.82	9.33	9.60	18231967	180457376.00
2015/11/03	10.12	10.44	9.72	9.78	28652278	295856384.00
2015/11/04	9.57	10.30	9.48	10.25	35047519	356225536.00
2015/11/05	10.11	10.98	10.08	10.61	40985856	442610208.00
2015/11/06	10.48	10.94	10.42	10.84	31123185	343287072.00
2015/11/09	11.72	11.81	11.08	11.35	46578977	546963584.00
2015/11/10	11.35	11.98	11.27	11.75	32457568	389601376.00
2015/11/11	11.76	11.91	11.53	11.85	22720306	272005440.00
2015/11/12	11.96	12.01	11.48	11.62	21151304	252606944.00
2015/11/13	11.34	12.07	11.13	11.85	29611746	352994496.00
2015/11/16	11.62	12.61	11.52	12.58	26322451	328480032.00
2015/11/17	12.82	13.05	12.33	12.47	28907894	374775296.00
2015/11/18	12.67	12.97	12.52	12.57	22357629	290299840.00
2015/11/19	12.60	13.49	12.60	13.48	31902722	427618464.00
2015/11/20	13.51	14.32	13.33	14.31	30563809	430704064.00
2015/11/23	14.47	14.94	13.92	14.01	31902089	468286848.00
2015/11/24	13.93	13.99	13.52	13.87	21106414	295156064.00
2015/11/25	13.74	14.48	13.65	14.18	19409867	278651008.00
2015/11/26	14.16	14.36	13.60	13.65	20656910	291869728.00
2015/11/27	13.57	13.62	12.28	12.52	24004820	319844160.00
2015/11/30	12.62	13.02	11.90	12.91	26170632	338008576.00
2015/12/01	13.12	13.66	12.96	13.37	24007706	326982496.00
2015/12/02	13.47	13.51	12.62	13.14	15133362	200893344.00
2015/12/03	13.20	14.16	13.10	14.11	22874284	321234112.00
2015/12/04	14.00	14.83	13.78	14.24	34604431	506307296.00
2015/12/07	14.27	14.87	14.08	14.50	23787747	352507392.00
2015/12/08	14.87	15.02	13.77	13.91	26415140	383592320.00
2015/12/09	13.65	14.23	13.53	13.79	16252016	229265472.00
2015/12/10	13.87	14.17	13.63	13.87	15844101	225036352.00
2015/12/11	13.85	14.42	13.83	14.00	16139220	232458096.00
2015/12/14	13.78	13.82	13.12	13.74	18381616	253094384.00
2015/12/15	13.74	14.07	13.62	13.99	11704597	165800912.00
2015/12/16	14.02	14.17	13.70	13.77	14021239	197597696.00
2015/12/17	13.87	14.15	13.76	13.91	15484973	219868064.00
2015/12/18	13.92	14.16	13.82	13.96	14553511	207326112.00
2015/12/21	13.97	14.34	13.73	14.26	19952992	285735840.00
2015/12/22	14.28	14.45	13.92	14.15	12332133	177716832.00
2015/12/23	14.17	15.08	14.17	14.62	30982099	463502752.00
2015/12/24	14.62	15.27	14.41	15.11	27174612	412646016.00
2015/12/25	15.02	15.50	14.72	14.94	21729227	334330976.00
2015/12/28	14.95	15.10	13.90	13.92	24662826	364592224.00
2015/12/29	14.03	14.12	13.18	13.57	22788145	313654624.00
2015/12/30	13.62	14.02	13.47	13.97	13254324	186325056.00
2015/12/31	13.97	14.06	13.52	13.64	11897325	166536032.00
2016/01/04	13.64	13.71	12.25	12.26	14637371	193187264.00
2016/01/05	11.57	12.52	11.32	12.37	20736278	253344976.00
2016/01/06	12.60	12.75	12.33	12.59	9492876	121805592.00
2016/01/07	12.26	12.27	11.30	11.30	4006700	47677928.00
2016/01/08	11.62	11.71	10.22	11.06	16116646	183850016.00
2016/01/11	10.97	10.97	9.93	9.93	18540931	195883600.00
