002030 �ﰲ���� ���� ǰ��Ȩ
      ����	    ����	    ���	    ���	    ����	    �ɽ���	    �ɽ���
2004/08/09	0.87	0.99	0.86	0.86	14176646	232606256.00
2004/08/10	0.79	0.84	0.78	0.82	5767246	85916880.00
2004/08/11	0.82	0.85	0.79	0.83	4257552	64325080.00
2004/08/12	0.82	0.82	0.78	0.80	2539036	37602448.00
2004/08/13	0.79	0.81	0.70	0.70	4119213	57265212.00
2004/08/16	0.68	0.69	0.62	0.62	3332872	42554524.00
2004/08/17	0.62	0.64	0.60	0.60	1978727	24266998.00
2004/08/18	0.61	0.62	0.57	0.59	1869000	22279226.00
2004/08/19	0.60	0.65	0.60	0.63	3116409	38430316.00
2004/08/20	0.63	0.63	0.59	0.62	1712258	20896122.00
2004/08/23	0.60	0.60	0.53	0.53	2729391	30925556.00
2004/08/24	0.54	0.58	0.53	0.55	1507176	17122516.00
2004/08/25	0.54	0.60	0.53	0.56	2092783	24388574.00
2004/08/26	0.56	0.59	0.56	0.56	1564282	18286796.00
2004/08/27	0.55	0.57	0.54	0.56	1012693	11562084.00
2004/08/30	0.55	0.64	0.55	0.64	1529148	18678946.00
2004/08/31	0.71	0.73	0.67	0.68	6460045	86492016.00
2004/09/01	0.66	0.70	0.66	0.68	3067790	40219948.00
2004/09/02	0.68	0.70	0.65	0.69	2095242	27252140.00
2004/09/03	0.68	0.69	0.65	0.65	1933810	24992846.00
2004/09/06	0.64	0.69	0.64	0.68	1754459	22897322.00
2004/09/07	0.67	0.69	0.66	0.68	1240542	16192681.00
2004/09/08	0.69	0.70	0.67	0.69	1120035	14764572.00
2004/09/09	0.68	0.68	0.66	0.66	1166554	15098052.00
2004/09/10	0.66	0.67	0.64	0.66	1027995	13210999.00
2004/09/13	0.65	0.66	0.57	0.58	2060572	25066122.00
2004/09/14	0.58	0.65	0.58	0.63	2589418	32033804.00
2004/09/15	0.63	0.72	0.62	0.72	4948342	65991276.00
2004/09/16	0.71	0.77	0.71	0.77	5648484	79475776.00
2004/09/17	0.77	0.80	0.74	0.79	3719351	53064816.00
2004/09/20	0.80	0.84	0.77	0.82	3779542	56363956.00
2004/09/21	0.81	0.93	0.80	0.88	3663143	57782188.00
2004/09/22	0.87	0.93	0.86	0.91	3597268	58015428.00
2004/09/23	0.91	0.93	0.87	0.91	2271614	36202120.00
2004/09/24	0.91	0.98	0.85	0.85	3693811	61266140.00
2004/09/28	0.83	0.90	0.83	0.88	1794467	28090074.00
2004/09/29	0.89	0.91	0.87	0.89	1413957	22627144.00
2004/09/30	0.89	0.93	0.88	0.89	1942980	31444540.00
2004/10/08	0.88	1.00	0.88	0.99	2693013	45152180.00
2004/10/11	1.00	1.05	0.95	0.95	3232715	56619580.00
2004/10/12	0.94	0.98	0.92	0.94	1387358	23300396.00
2004/10/13	0.94	0.98	0.94	0.96	957315	16222435.00
2004/10/14	0.96	0.97	0.84	0.84	2088584	32343742.00
2004/10/15	0.78	0.79	0.73	0.74	2910220	40983824.00
2004/10/18	0.74	0.80	0.74	0.76	1715591	24685396.00
2004/10/19	0.76	0.80	0.71	0.72	2011156	28671642.00
2004/10/20	0.72	0.74	0.69	0.73	1462686	19749190.00
2004/10/21	0.75	0.77	0.72	0.74	1412424	19858028.00
2004/10/22	0.73	0.78	0.70	0.78	1911924	27055800.00
2004/10/25	0.78	0.80	0.74	0.74	1852363	26625124.00
2004/10/26	0.74	0.79	0.72	0.79	1319814	18764216.00
2004/10/27	0.79	0.83	0.77	0.83	2205570	32413360.00
2004/10/28	0.84	0.87	0.77	0.78	2685383	40553496.00
2004/10/29	0.74	0.82	0.72	0.76	1688453	24262766.00
2004/11/01	0.75	0.78	0.75	0.75	703999	9989691.00
2004/11/02	0.75	0.76	0.72	0.74	743235	10336140.00
2004/11/03	0.75	0.78	0.74	0.78	852485	12130572.00
2004/11/04	0.79	0.80	0.74	0.75	1233702	17920266.00
2004/11/05	0.77	0.78	0.75	0.76	556445	7932925.00
2004/11/08	0.75	0.79	0.74	0.77	333886	4753293.50
2004/11/09	0.77	0.79	0.76	0.77	486421	7024804.00
2004/11/10	0.79	0.86	0.75	0.84	2020945	30424914.00
2004/11/11	0.85	0.88	0.82	0.82	2130890	32986562.00
2004/11/12	0.84	0.86	0.82	0.84	1063115	16235065.00
2004/11/15	0.84	0.86	0.82	0.84	843880	12931720.00
2004/11/16	0.84	0.85	0.82	0.83	627210	9539973.00
2004/11/17	0.83	0.83	0.80	0.81	728603	10833216.00
2004/11/18	0.82	0.83	0.80	0.82	518972	7835441.00
2004/11/19	0.82	0.83	0.80	0.82	673478	10023816.00
2004/11/22	0.83	0.84	0.81	0.82	504813	7606959.00
2004/11/23	0.82	0.82	0.78	0.80	701400	10323196.00
2004/11/24	0.80	0.84	0.79	0.82	1179202	17774722.00
2004/11/25	0.83	0.83	0.79	0.80	792630	11839087.00
2004/11/26	0.79	0.82	0.79	0.80	310119	4602940.00
2004/11/29	0.81	0.81	0.76	0.76	666431	9625026.00
2004/11/30	0.77	0.78	0.75	0.76	384289	5477003.00
2004/12/01	0.76	0.77	0.73	0.73	666187	9265946.00
2004/12/02	0.73	0.74	0.72	0.74	504752	6943235.50
2004/12/03	0.74	0.79	0.73	0.76	785600	11258623.00
2004/12/06	0.78	0.78	0.74	0.76	293510	4146939.50
2004/12/07	0.77	0.77	0.74	0.76	337811	4768230.50
2004/12/08	0.77	0.78	0.76	0.77	474468	6823985.50
2004/12/09	0.76	0.82	0.75	0.79	851465	12508998.00
2004/12/10	0.79	0.79	0.76	0.77	396300	5704527.50
2004/12/13	0.76	0.77	0.74	0.76	219188	3110600.50
2004/12/14	0.77	0.77	0.74	0.75	216854	3071260.75
2004/12/15	0.75	0.78	0.75	0.76	361492	5152379.50
2004/12/16	0.76	0.76	0.73	0.73	406603	5659017.50
2004/12/17	0.72	0.72	0.69	0.69	499891	6737901.50
2004/12/20	0.68	0.68	0.65	0.66	392251	5039481.50
2004/12/21	0.66	0.68	0.66	0.67	176990	2295304.00
2004/12/22	0.67	0.71	0.66	0.70	464686	6159526.50
2004/12/23	0.71	0.71	0.66	0.66	243716	3193601.75
2004/12/24	0.66	0.69	0.65	0.68	189629	2472603.25
2004/12/27	0.68	0.68	0.66	0.66	124053	1607607.88
2004/12/28	0.66	0.67	0.65	0.66	260982	3349369.00
2004/12/29	0.68	0.68	0.62	0.63	405192	5079963.00
2004/12/30	0.62	0.64	0.61	0.63	251073	3114066.50
2004/12/31	0.63	0.64	0.62	0.62	155700	1936674.00
2005/01/04	0.61	0.62	0.59	0.61	164576	1992965.00
2005/01/05	0.61	0.65	0.61	0.63	232634	2883937.25
2005/01/06	0.63	0.63	0.62	0.63	143563	1780304.25
2005/01/07	0.63	0.65	0.63	0.63	212292	2664564.75
2005/01/10	0.63	0.65	0.63	0.64	110597	1390405.25
2005/01/11	0.65	0.65	0.63	0.64	185660	2338157.00
2005/01/12	0.63	0.63	0.61	0.62	277431	3401434.75
2005/01/13	0.62	0.64	0.62	0.63	336464	4178988.50
2005/01/14	0.63	0.64	0.61	0.62	221200	2729716.50
2005/01/17	0.60	0.61	0.58	0.58	391563	4675588.50
2005/01/18	0.58	0.60	0.57	0.59	226200	2678961.50
2005/01/19	0.58	0.59	0.56	0.56	335626	3929594.25
2005/01/20	0.56	0.56	0.54	0.54	408015	4619201.50
2005/01/21	0.54	0.61	0.52	0.61	636364	7406736.50
2005/01/24	0.64	0.67	0.63	0.65	1439970	18328880.00
2005/01/25	0.62	0.62	0.58	0.61	992751	11984810.00
2005/01/26	0.60	0.61	0.59	0.59	273761	3279526.25
2005/01/27	0.59	0.59	0.56	0.56	349889	4103857.75
2005/01/28	0.56	0.56	0.54	0.55	346320	3913868.25
2005/01/31	0.54	0.54	0.53	0.54	456605	5085535.50
2005/02/01	0.53	0.56	0.52	0.53	339882	3835938.50
2005/02/02	0.53	0.61	0.53	0.61	825384	9854426.00
2005/02/03	0.65	0.67	0.62	0.62	2342766	29616636.00
2005/02/04	0.62	0.66	0.62	0.64	1330927	16920838.00
2005/02/16	0.65	0.66	0.63	0.63	578077	7290774.50
2005/02/17	0.63	0.63	0.61	0.63	438255	5404646.00
2005/02/18	0.63	0.65	0.61	0.62	380700	4722610.00
2005/02/21	0.62	0.65	0.62	0.64	430842	5396450.50
2005/02/22	0.64	0.72	0.63	0.70	1676025	22037134.00
2005/02/23	0.71	0.72	0.68	0.69	1489437	20016138.00
2005/02/24	0.69	0.70	0.68	0.69	664292	8807302.00
2005/02/25	0.69	0.73	0.69	0.69	912497	12274495.00
2005/02/28	0.69	0.71	0.69	0.69	627760	8399451.00
2005/03/01	0.70	0.70	0.66	0.68	542754	7095097.00
2005/03/02	0.68	0.69	0.66	0.66	432910	5646588.50
2005/03/03	0.65	0.67	0.65	0.66	375105	4813833.00
2005/03/04	0.66	0.67	0.65	0.66	171502	2206758.75
2005/03/07	0.66	0.66	0.64	0.65	299263	3796110.50
2005/03/08	0.64	0.68	0.64	0.68	734020	9549150.00
2005/03/09	0.69	0.70	0.67	0.68	470730	6181553.50
2005/03/10	0.68	0.69	0.65	0.66	541648	7039161.00
2005/03/11	0.66	0.68	0.65	0.67	356417	4579264.00
2005/03/14	0.67	0.67	0.63	0.65	581240	7390813.00
2005/03/15	0.65	0.67	0.62	0.63	443949	5589966.50
2005/03/16	0.62	0.63	0.60	0.60	438164	5333364.00
2005/03/17	0.60	0.62	0.60	0.60	307080	3732498.00
2005/03/18	0.60	0.63	0.59	0.60	305830	3689780.00
2005/03/21	0.60	0.62	0.60	0.61	324124	3933578.50
2005/03/22	0.62	0.62	0.57	0.57	490035	5823419.00
2005/03/23	0.57	0.59	0.56	0.57	484523	5657919.00
2005/03/24	0.57	0.59	0.57	0.59	409366	4814738.50
2005/03/25	0.57	0.57	0.53	0.54	1014987	11500433.00
2005/03/28	0.54	0.55	0.53	0.55	443683	4953284.00
2005/03/29	0.54	0.55	0.53	0.54	476983	5345553.50
2005/03/30	0.53	0.53	0.49	0.49	667550	7135277.50
2005/03/31	0.49	0.50	0.49	0.50	243049	2582690.25
2005/04/01	0.50	0.55	0.48	0.54	614011	6666584.50
2005/04/04	0.52	0.54	0.50	0.51	442390	4805044.00
2005/04/05	0.51	0.52	0.49	0.50	231099	2484078.25
2005/04/06	0.50	0.53	0.49	0.52	331341	3604799.50
2005/04/07	0.52	0.55	0.52	0.53	584656	6554532.00
2005/04/08	0.53	0.56	0.53	0.55	788011	8950571.00
2005/04/11	0.57	0.58	0.55	0.55	785807	9073040.00
2005/04/12	0.54	0.55	0.52	0.53	405712	4525917.50
2005/04/13	0.54	0.56	0.54	0.54	472242	5335918.00
2005/04/14	0.55	0.57	0.54	0.55	754320	8641398.00
2005/04/15	0.54	0.55	0.52	0.52	522045	5803170.00
2005/04/18	0.52	0.52	0.48	0.50	562056	5947098.50
2005/04/19	0.50	0.51	0.49	0.51	255122	2712832.50
2005/04/20	0.50	0.50	0.46	0.46	555586	5729611.50
2005/04/21	0.46	0.48	0.46	0.46	310562	3166664.00
2005/04/22	0.46	0.47	0.43	0.44	464554	4595970.00
2005/04/26	0.41	0.43	0.40	0.42	465517	4455215.00
2005/04/27	0.43	0.44	0.41	0.41	331083	3193680.25
2005/04/28	0.41	0.41	0.34	0.40	715925	6527164.00
2005/04/29	0.39	0.40	0.38	0.38	369515	3363261.25
2005/05/09	0.39	0.39	0.33	0.34	378621	3281047.00
2005/05/10	0.33	0.34	0.31	0.34	468768	3907406.50
2005/05/11	0.34	0.35	0.33	0.34	323400	2766702.00
2005/05/12	0.34	0.40	0.33	0.40	1020624	9283379.00
2005/05/13	0.44	0.46	0.41	0.43	2891459	28337050.00
2005/05/16	0.41	0.42	0.38	0.39	948200	8778955.00
2005/05/17	0.39	0.42	0.38	0.41	713941	6670614.50
2005/05/18	0.42	0.42	0.40	0.41	429080	3980098.25
2005/05/19	0.41	0.42	0.40	0.42	406364	3780642.50
