002157 正邦科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007/08/17	3.15	3.22	2.44	2.46	9693552	434937312.00
2007/08/20	2.31	2.40	2.19	2.32	3094071	115525480.00
2007/08/21	2.31	2.31	2.23	2.25	1637275	60927024.00
2007/08/22	2.22	2.28	2.20	2.23	1355544	49482176.00
2007/08/23	2.21	2.23	2.10	2.12	1813993	64430168.00
2007/08/24	2.10	2.10	2.05	2.08	1262405	43597636.00
2007/08/27	2.07	2.13	2.07	2.08	799463	27891070.00
2007/08/28	2.07	2.13	1.97	2.11	1545496	52568368.00
2007/08/29	2.05	2.07	1.99	2.00	667817	22728380.00
2007/08/30	2.00	2.06	2.00	2.03	516600	17548672.00
2007/08/31	2.04	2.09	2.03	2.06	635541	21860664.00
2007/09/03	2.07	2.11	2.06	2.07	703253	24418678.00
2007/09/04	2.08	2.08	2.00	2.01	635701	21461372.00
2007/09/05	1.99	2.03	1.99	2.02	428281	14357852.00
2007/09/06	2.01	2.04	2.01	2.02	432855	14635581.00
2007/09/07	2.01	2.01	1.94	1.94	794762	26277082.00
2007/09/11	1.94	1.95	1.72	1.72	960812	30178112.00
2007/09/12	1.71	1.78	1.69	1.75	648989	19207146.00
2007/09/13	1.75	1.76	1.69	1.71	519225	15221438.00
2007/09/14	1.71	1.79	1.67	1.77	723143	21672908.00
2007/09/17	1.77	1.77	1.72	1.74	388079	11519920.00
2007/09/18	1.74	1.74	1.69	1.70	463930	13512942.00
2007/09/19	1.70	1.73	1.66	1.66	443062	12903855.00
2007/09/20	1.67	1.72	1.66	1.68	557603	16133976.00
2007/09/21	1.68	1.68	1.55	1.57	563946	15600600.00
2007/09/24	1.58	1.60	1.49	1.49	465145	12257972.00
2007/09/25	1.50	1.53	1.48	1.51	424748	11230162.00
2007/09/26	1.54	1.54	1.46	1.47	290700	7588075.00
2007/09/27	1.46	1.58	1.46	1.54	714798	19098416.00
2007/09/28	1.55	1.57	1.52	1.56	564781	15282204.00
2007/10/08	1.59	1.59	1.52	1.52	437051	11740840.00
2007/10/09	1.52	1.65	1.51	1.64	818528	22604344.00
2007/10/10	1.64	1.64	1.58	1.59	435194	12137832.00
2007/10/11	1.59	1.62	1.55	1.58	444675	12118207.00
2007/10/12	1.58	1.74	1.55	1.74	1675445	47666192.00
2007/10/15	1.74	1.89	1.69	1.84	2337606	71670232.00
2007/10/16	1.83	1.83	1.72	1.74	704759	21019590.00
2007/10/17	1.73	1.73	1.67	1.68	442380	12831070.00
2007/10/18	1.68	1.73	1.66	1.68	368749	10761030.00
2007/10/19	1.68	1.72	1.61	1.62	366160	10378971.00
2007/10/22	1.57	1.59	1.47	1.49	389449	10442780.00
2007/10/23	1.49	1.52	1.44	1.49	333091	8627607.00
2007/10/24	1.51	1.51	1.45	1.47	310849	8036019.50
2007/10/25	1.48	1.48	1.30	1.30	682789	16436350.00
2007/10/26	1.24	1.27	1.20	1.24	437036	9879519.00
2007/10/29	1.24	1.31	1.22	1.29	279265	6364821.00
2007/10/30	1.31	1.33	1.26	1.31	168279	3910925.50
2007/10/31	1.33	1.37	1.31	1.37	331008	8009527.50
2007/11/01	1.37	1.37	1.31	1.31	220005	5218961.50
2007/11/02	1.27	1.30	1.24	1.24	244188	5566081.50
2007/11/05	1.24	1.29	1.20	1.27	237145	5425850.50
2007/11/06	1.26	1.32	1.26	1.30	276016	6452630.00
2007/11/07	1.29	1.34	1.29	1.32	362555	8579279.00
2007/11/08	1.32	1.34	1.29	1.29	319887	7552830.00
2007/11/09	1.31	1.31	1.21	1.25	229663	5232498.00
2007/11/12	1.20	1.24	1.14	1.16	390140	8495460.00
2007/11/13	1.17	1.20	1.16	1.18	184526	3998779.50
2007/11/14	1.19	1.25	1.19	1.24	341872	7634501.00
2007/11/15	1.23	1.25	1.20	1.23	340764	7645717.00
2007/11/16	1.24	1.38	1.23	1.38	2119991	50702472.00
2007/11/19	1.34	1.55	1.33	1.49	4424288	114672168.00
2007/11/20	1.45	1.50	1.42	1.45	2073865	52960324.00
2007/11/21	1.43	1.62	1.43	1.62	3356193	91337312.00
2007/11/22	1.62	1.73	1.56	1.59	4010061	114702008.00
2007/11/23	1.53	1.68	1.44	1.62	2277458	62346984.00
2007/11/26	1.62	1.67	1.54	1.61	1947859	54237384.00
2007/11/27	1.55	1.61	1.44	1.45	1450656	38677192.00
2007/11/28	1.42	1.52	1.40	1.43	1218663	31201768.00
2007/11/29	1.47	1.49	1.41	1.47	1092415	28109820.00
2007/11/30	1.47	1.47	1.32	1.32	1474600	36130764.00
2007/12/03	1.30	1.35	1.26	1.30	972117	22758694.00
2007/12/04	1.31	1.36	1.29	1.34	770170	18386508.00
2007/12/05	1.34	1.50	1.34	1.50	2015998	51981712.00
2007/12/06	1.53	1.61	1.51	1.55	2251191	61122264.00
2007/12/07	1.56	1.65	1.52	1.59	1595048	43893340.00
2007/12/10	1.55	1.76	1.54	1.72	2511501	72597680.00
2007/12/11	1.74	1.77	1.67	1.73	2229159	65426856.00
2007/12/12	1.72	1.75	1.66	1.71	1552210	45195012.00
2007/12/13	1.71	1.86	1.71	1.73	2558925	77852000.00
2007/12/14	1.69	1.79	1.66	1.79	1871565	56151512.00
2007/12/17	1.80	1.86	1.76	1.79	1475693	45521800.00
2007/12/18	1.79	1.82	1.65	1.65	1178896	34415944.00
2007/12/19	1.69	1.72	1.65	1.69	863061	25102256.00
2007/12/20	1.71	1.89	1.69	1.89	2448403	75822808.00
2007/12/21	1.90	1.97	1.86	1.88	2586218	83516432.00
2007/12/24	1.91	1.96	1.88	1.93	1569745	50897120.00
2007/12/25	1.93	2.07	1.93	2.00	1692922	56945280.00
2007/12/26	2.01	2.06	1.99	2.03	1154119	39016376.00
2007/12/27	2.03	2.08	1.97	2.00	1383567	46746384.00
2007/12/28	2.00	2.00	1.90	1.95	1064061	34796792.00
2008/01/02	1.96	2.06	1.93	2.04	1009043	34127736.00
2008/01/03	2.06	2.07	2.00	2.02	1163397	39438480.00
2008/01/04	2.01	2.02	1.94	1.99	1061405	35008344.00
2008/01/07	1.95	2.05	1.90	2.02	1382597	45642020.00
2008/01/08	2.01	2.01	1.88	1.88	1496878	48646192.00
2008/01/09	1.85	1.95	1.85	1.91	992595	31968930.00
2008/01/10	1.91	1.99	1.91	1.93	1005356	32885468.00
2008/01/11	1.93	1.98	1.93	1.97	958879	31567876.00
2008/01/14	2.01	2.05	1.99	1.99	1176069	39790176.00
2008/01/15	1.99	2.05	1.97	2.03	1136268	38407272.00
2008/01/16	2.05	2.23	2.00	2.16	2940855	105291496.00
2008/01/17	2.15	2.21	1.92	2.03	1727082	59859808.00
2008/01/18	2.03	2.09	1.90	1.97	979051	32567540.00
2008/01/21	1.97	2.02	1.80	1.82	757895	24698766.00
2008/01/22	1.76	1.77	1.61	1.61	1236360	35395868.00
2008/01/23	1.57	1.72	1.57	1.71	1011207	28770664.00
2008/01/24	1.71	1.80	1.67	1.75	945802	28087732.00
2008/01/25	1.75	1.78	1.68	1.71	1043152	30676192.00
2008/01/28	1.66	1.67	1.50	1.50	852990	22920406.00
2008/01/29	1.48	1.53	1.41	1.51	606081	15664470.00
2008/01/30	1.53	1.65	1.49	1.57	880195	24130974.00
2008/01/31	1.57	1.59	1.48	1.48	418668	11171987.00
2008/02/01	1.48	1.51	1.30	1.35	757393	18439542.00
2008/02/04	1.37	1.52	1.37	1.51	619938	16068812.00
2008/02/05	1.51	1.55	1.47	1.54	528505	14005848.00
2008/02/13	1.50	1.53	1.43	1.48	284313	7419476.00
2008/02/14	1.50	1.55	1.48	1.54	357479	9513731.00
2008/02/15	1.52	1.55	1.48	1.55	389624	10284843.00
2008/02/18	1.57	1.65	1.57	1.64	825467	23217292.00
2008/02/19	1.64	1.68	1.63	1.65	553402	15781143.00
2008/02/20	1.67	1.72	1.61	1.64	805611	23037212.00
2008/02/21	1.63	1.67	1.59	1.63	517903	14548651.00
2008/02/22	1.62	1.65	1.54	1.57	510297	14017789.00
2008/02/25	1.60	1.61	1.44	1.46	314869	8337724.00
2008/02/26	1.51	1.55	1.45	1.48	365602	9539917.00
2008/02/27	1.49	1.55	1.49	1.54	248968	6637310.50
2008/02/28	1.54	1.61	1.51	1.59	449053	12297617.00
2008/02/29	1.59	1.60	1.55	1.57	433069	11866133.00
2008/03/03	1.57	1.64	1.52	1.64	765628	21293574.00
2008/03/04	1.64	1.71	1.64	1.65	1053557	30399276.00
2008/03/05	1.64	1.65	1.56	1.60	522800	14530113.00
2008/03/06	1.64	1.65	1.57	1.58	772771	21539952.00
2008/03/07	1.57	1.60	1.53	1.53	412268	11174557.00
2008/03/10	1.51	1.51	1.45	1.45	445689	11570510.00
2008/03/11	1.44	1.50	1.42	1.49	334279	8554893.00
2008/03/12	1.51	1.53	1.42	1.43	303619	7830156.50
2008/03/13	1.43	1.43	1.31	1.35	414769	10082391.00
2008/03/14	1.35	1.38	1.31	1.35	229092	5538474.00
2008/03/17	1.35	1.36	1.20	1.21	420458	9662896.00
2008/03/18	1.21	1.25	1.05	1.08	581378	12233268.00
2008/03/19	1.10	1.19	1.07	1.16	461365	9733495.00
2008/03/20	1.16	1.24	1.09	1.22	465579	9978667.00
2008/03/21	1.23	1.26	1.16	1.23	366765	8250083.50
2008/03/24	1.24	1.29	1.24	1.25	524364	12019730.00
2008/03/25	1.24	1.29	1.20	1.29	424890	9656804.00
2008/03/26	1.31	1.31	1.25	1.26	242539	5596923.00
2008/03/27	1.25	1.32	1.22	1.24	614532	14235662.00
2008/03/28	1.24	1.27	1.10	1.27	359433	7976187.50
2008/03/31	1.25	1.25	1.17	1.17	220550	4875877.00
2008/04/01	1.15	1.19	1.05	1.06	370360	7510813.00
2008/04/02	1.08	1.10	0.92	0.93	254750	4832211.50
2008/04/03	0.93	1.02	0.90	0.97	221880	4054606.75
2008/04/07	0.96	1.05	0.92	1.04	176100	3420885.25
2008/04/08	1.04	1.12	1.04	1.09	365044	7463361.50
2008/04/09	1.09	1.16	1.06	1.13	830330	17296804.00
2008/04/10	1.09	1.25	1.09	1.22	821245	17975738.00
2008/04/11	1.26	1.38	1.24	1.38	1074579	25407614.00
2008/04/14	1.37	1.37	1.24	1.32	774569	18328152.00
2008/04/15	1.31	1.45	1.28	1.44	629782	15470550.00
2008/04/16	1.45	1.45	1.38	1.41	427840	10677066.00
2008/04/17	1.41	1.45	1.27	1.33	747370	17931626.00
2008/04/18	1.32	1.40	1.26	1.26	355280	8468737.00
2008/04/21	1.41	1.41	1.29	1.30	431838	10403689.00
2008/04/22	1.27	1.30	1.14	1.26	362449	8030129.50
2008/04/23	1.24	1.42	1.24	1.42	1312673	32516808.00
2008/04/24	1.58	1.59	1.48	1.59	1611620	44103292.00
2008/04/25	1.60	1.74	1.55	1.66	1742279	49690820.00
2008/04/28	1.63	1.74	1.60	1.66	1530707	43871420.00
2008/04/29	1.66	1.80	1.66	1.70	1337326	39676420.00
2008/04/30	1.70	1.78	1.66	1.76	1229996	36509368.00
2008/05/05	1.79	1.83	1.72	1.81	958412	29077180.00
2008/05/06	1.80	1.80	1.72	1.73	1096392	32688842.00
2008/05/07	1.72	1.72	1.64	1.64	852506	24669598.00
2008/05/08	1.63	1.72	1.62	1.70	730875	21256958.00
2008/05/12	1.70	1.90	1.69	1.90	1817725	57592412.00
2008/05/13	1.86	2.04	1.85	2.02	3388812	112782240.00
2008/05/14	2.10	2.10	1.94	1.94	2294472	76443120.00
2008/05/15	1.91	2.03	1.91	1.96	1871574	62072464.00
2008/05/16	1.96	2.03	1.92	1.96	1217834	40249744.00
2008/05/19	1.99	2.01	1.87	1.88	1096894	35351540.00
2008/05/20	1.88	1.90	1.70	1.70	1427522	43560444.00
2008/05/21	1.67	1.80	1.59	1.78	1416966	40889936.00
2008/05/22	1.78	1.98	1.73	1.78	4412480	69564936.00
2008/05/23	1.76	1.94	1.65	1.89	5074174	77744792.00
2008/05/26	1.82	1.88	1.73	1.76	1923015	29398834.00
2008/05/27	1.72	1.80	1.69	1.71	1332449	19611560.00
2008/05/28	1.71	1.82	1.69	1.78	1630316	24423242.00
2008/05/29	1.76	1.76	1.66	1.67	1494877	22068442.00
2008/05/30	1.67	1.72	1.55	1.59	1711644	23912300.00
2008/06/02	1.59	1.62	1.55	1.58	989139	13556301.00
2008/06/03	1.58	1.65	1.56	1.61	985285	13713007.00
2008/06/04	1.62	1.64	1.52	1.56	892919	12183793.00
2008/06/05	1.55	1.55	1.46	1.47	1415971	18441850.00
2008/06/06	1.47	1.53	1.45	1.49	1075887	14086552.00
2008/06/10	1.41	1.41	1.31	1.31	1207740	14593777.00
2008/06/11	1.28	1.38	1.16	1.35	1849459	21196406.00
2008/06/12	1.31	1.40	1.26	1.31	1571787	18726808.00
2008/06/13	1.31	1.35	1.15	1.16	1349832	15115485.00
2008/06/16	1.17	1.20	1.05	1.08	1330145	13708243.00
2008/06/17	1.08	1.20	1.06	1.16	2792768	29520990.00
2008/06/18	1.15	1.30	1.13	1.30	3240680	36286796.00
2008/06/19	1.30	1.30	1.14	1.14	2011112	22338436.00
2008/06/20	1.15	1.24	1.04	1.16	2144250	22992218.00
2008/06/23	1.12	1.17	1.07	1.08	1291285	13329153.00
2008/06/24	1.08	1.16	1.07	1.13	1040852	10848054.00
2008/06/25	1.13	1.28	1.12	1.28	2396470	27087046.00
2008/06/26	1.30	1.42	1.28	1.37	3820849	45963052.00
2008/06/27	1.29	1.31	1.20	1.22	2734537	31151876.00
2008/06/30	1.20	1.36	1.18	1.34	2420206	28254458.00
2008/07/01	1.34	1.39	1.31	1.33	2903508	35194208.00
2008/07/02	1.32	1.42	1.31	1.37	2272974	27838262.00
2008/07/03	1.35	1.51	1.31	1.47	2926731	37043492.00
2008/07/04	1.47	1.49	1.40	1.44	2102384	26710104.00
2008/07/07	1.44	1.52	1.44	1.52	2429034	31885398.00
2008/07/08	1.53	1.62	1.45	1.58	3373799	45004904.00
2008/07/09	1.58	1.66	1.56	1.62	3008619	41792844.00
2008/07/10	1.59	1.67	1.57	1.58	3246726	45545588.00
2008/07/11	1.59	1.63	1.50	1.60	3180559	43457004.00
2008/07/14	1.58	1.67	1.53	1.61	2203992	30924636.00
2008/07/15	1.62	1.70	1.61	1.64	3199907	45742260.00
2008/07/16	1.62	1.64	1.44	1.48	2505585	33462860.00
2008/07/17	1.51	1.56	1.41	1.43	1474641	19193756.00
2008/07/18	1.47	1.51	1.37	1.50	1489052	18961354.00
2008/07/21	1.49	1.64	1.46	1.64	2191139	29693610.00
2008/07/22	1.62	1.69	1.62	1.62	2686180	38315332.00
2008/07/23	1.61	1.64	1.58	1.58	1356315	18902334.00
