002880 卫光生物 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/06/16	21.35	23.36	21.35	23.36	8600	310674.00
2017/06/19	25.77	25.77	25.77	25.77	2710	107803.80
2017/06/20	28.43	28.43	28.43	28.43	2469	108043.44
2017/06/21	31.35	31.35	31.35	31.35	4770	229627.80
2017/06/22	34.55	34.55	34.55	34.55	45379	2402818.00
2017/06/23	38.09	38.09	38.09	38.09	85933	5005597.00
2017/06/26	41.97	41.97	41.97	41.97	106967	6854445.50
2017/06/27	46.25	46.25	46.25	46.25	267847	18880536.00
2017/06/28	50.95	50.95	49.26	50.95	17370778	1337547520.00
2017/06/29	52.25	52.92	50.01	51.43	12769095	1000432832.00
2017/06/30	49.92	51.59	49.51	49.72	8637567	665336704.00
2017/07/03	49.79	53.71	48.66	52.45	9422203	738869760.00
2017/07/04	52.25	53.37	50.99	51.31	6308849	498379840.00
2017/07/05	50.99	52.09	49.63	50.61	7404560	573593856.00
2017/07/06	50.59	51.90	50.57	51.19	6652951	519474688.00
2017/07/07	50.55	50.55	48.92	48.92	7027692	533117632.00
2017/07/10	47.79	47.79	45.04	45.19	6667265	473247872.00
2017/07/11	45.09	45.68	44.25	44.31	2852442	195764176.00
2017/07/12	44.19	44.49	43.02	44.12	3140525	209451760.00
2017/07/13	43.92	44.25	43.39	44.19	1956608	131048800.00
2017/07/14	44.01	45.15	43.80	44.06	2657305	180438816.00
2017/07/17	42.59	42.59	39.58	39.58	4611437	285792128.00
2017/07/18	39.21	40.52	38.92	40.05	1859311	113485600.00
2017/07/19	39.72	40.12	39.13	40.04	1645134	99851984.00
2017/07/20	39.85	41.12	39.45	39.57	1733449	106476048.00
2017/07/21	39.29	39.51	38.31	38.37	1885320	111957536.00
2017/07/24	37.92	40.55	37.45	39.80	2043422	120967496.00
2017/07/25	39.68	41.39	39.31	40.18	2070539	128348784.00
2017/07/26	39.93	40.59	39.77	40.46	1520464	93409504.00
2017/07/27	40.33	41.77	40.07	41.29	2062544	129470936.00
2017/07/28	41.04	41.31	40.06	40.09	1561566	96789520.00
2017/07/31	39.93	40.58	39.63	39.68	1149453	70223248.00
2017/08/01	39.40	39.89	39.05	39.71	1051286	63426808.00
2017/08/02	39.53	42.03	39.40	40.53	2742649	171465872.00
2017/08/03	40.26	40.85	39.79	39.98	1303459	80229360.00
2017/08/04	39.92	40.21	39.17	39.21	1096527	66298484.00
2017/08/07	39.39	39.91	39.39	39.57	639999	38811204.00
2017/08/08	39.50	39.63	38.51	38.64	1542817	91578152.00
2017/08/09	38.39	38.82	38.33	38.45	848762	50054088.00
2017/08/10	38.43	38.43	37.27	37.29	1389455	80288192.00
2017/08/11	36.73	37.83	36.73	37.01	1006430	57462708.00
2017/08/14	37.05	37.83	37.05	37.63	668442	38432928.00
2017/08/15	37.59	38.16	37.49	37.85	688497	39820112.00
2017/08/16	37.85	39.12	37.66	38.93	1453875	85988640.00
2017/08/17	38.59	38.72	38.23	38.37	1066747	62733300.00
2017/08/18	38.21	38.70	38.05	38.49	762885	44825164.00
2017/08/21	38.47	38.85	37.92	38.76	1097351	64614024.00
2017/08/22	38.71	40.11	38.52	39.65	2342234	141381040.00
2017/08/23	39.48	39.52	38.65	38.92	1366340	81590304.00
2017/08/24	38.92	40.03	38.83	39.19	1591755	96052768.00
2017/08/25	39.17	40.30	39.00	40.18	1844236	112282064.00
2017/08/28	40.32	41.91	40.32	41.55	3040854	191638608.00
2017/08/29	41.24	42.71	40.61	41.72	3481612	221211280.00
2017/08/30	41.33	42.31	41.09	41.10	2045843	129728824.00
2017/08/31	41.19	42.71	40.57	42.42	3311464	210750880.00
2017/09/01	42.29	42.56	41.37	42.03	2219317	142029888.00
2017/09/04	42.03	42.43	41.29	41.52	1815624	116111704.00
2017/09/05	41.52	42.31	41.39	42.13	885640	56663792.00
2017/11/06	43.25	46.31	43.25	44.60	5470707	372890496.00
2017/11/07	43.89	46.11	43.49	45.25	4408882	301953152.00
2017/11/08	45.45	46.39	44.61	44.65	3017856	208721872.00
2017/11/09	44.52	45.59	44.39	44.95	1854725	127084848.00
2017/11/10	44.59	45.01	44.44	44.46	1671502	113790632.00
2017/11/13	44.65	46.62	44.49	46.23	2849364	199251744.00
2017/11/14	46.27	47.24	45.44	45.61	2463162	174136128.00
2017/11/15	45.73	46.25	44.19	44.50	2010707	137955792.00
2017/11/16	44.54	44.72	43.11	43.11	1585140	106387592.00
2017/11/17	42.92	43.37	39.22	39.33	2968289	185926384.00
2017/11/20	39.28	40.31	38.13	40.22	1787541	107072552.00
2017/11/21	39.95	40.87	38.59	39.41	1548905	94125904.00
2017/11/22	39.49	39.99	38.97	39.69	1073582	64749352.00
2017/11/23	39.36	39.59	38.39	38.45	1022729	61053328.00
2017/11/24	38.25	38.88	38.13	38.25	801943	47276572.00
2017/11/27	38.11	38.23	36.92	37.01	985555	56685944.00
2017/11/28	36.93	37.91	36.93	37.73	615595	35382576.00
2017/11/29	37.79	37.91	37.04	37.62	672411	38514412.00
2017/11/30	37.57	38.45	37.27	37.99	719089	41897996.00
2017/12/01	38.05	38.43	37.79	38.41	631358	36931528.00
2017/12/04	38.31	38.31	35.65	35.73	1805950	101332280.00
2017/12/05	35.71	35.99	34.33	34.57	1026698	55195464.00
2017/12/06	34.51	35.17	33.87	35.05	880466	46642208.00
2017/12/07	34.91	35.08	34.45	34.65	474770	25312476.00
2017/12/08	34.58	35.69	34.56	35.53	714095	38696932.00
2017/12/11	35.59	35.99	35.35	35.72	550048	30036332.00
2017/12/12	35.72	36.01	35.31	35.37	623200	34057340.00
2017/12/13	35.37	35.81	35.31	35.77	341819	18631588.00
2017/12/14	35.99	36.40	35.76	36.35	568171	31348346.00
2017/12/15	36.25	36.25	35.32	35.57	588245	32260784.00
2017/12/18	35.51	35.75	34.93	35.06	382439	20661554.00
2017/12/19	35.06	35.63	35.05	35.36	320074	17342238.00
2017/12/20	35.36	35.41	34.31	34.44	568118	30218358.00
2017/12/21	34.27	34.83	34.09	34.59	635570	33722552.00
2017/12/22	34.71	35.23	34.41	35.00	458236	24511262.00
2017/12/25	34.86	35.00	33.79	34.31	817661	42708032.00
2017/12/26	34.12	36.03	34.12	35.85	1232476	66893684.00
2017/12/27	35.60	35.86	35.18	35.18	669073	36432772.00
2017/12/28	35.21	36.13	35.01	35.53	758484	41502872.00
2017/12/29	35.59	35.95	35.41	35.64	540103	29476836.00
2018/01/02	35.85	36.29	35.45	36.21	714077	39344472.00
2018/01/03	36.12	36.34	35.92	36.22	647834	35850900.00
2018/01/04	36.25	36.25	35.72	35.77	485670	26707722.00
2018/01/05	35.43	36.21	35.43	36.19	549844	30262440.00
2018/01/08	36.15	36.69	35.82	36.64	811029	44978848.00
2018/01/09	36.45	38.25	36.36	37.35	1258353	72104504.00
2018/01/10	37.28	37.56	36.37	36.81	817740	46095060.00
2018/01/11	36.49	37.55	36.13	37.19	630547	35816016.00
2018/01/12	37.20	37.35	36.59	36.91	525866	29715508.00
2018/01/15	36.72	36.97	34.83	34.84	918238	50003124.00
2018/01/16	34.53	35.24	34.53	35.07	500410	26825524.00
2018/01/17	35.02	35.50	34.13	35.32	750240	39986852.00
2018/01/18	35.19	35.61	35.04	35.33	389200	21032796.00
2018/01/19	35.31	35.71	35.17	35.19	419142	22700716.00
2018/01/22	35.03	35.39	34.26	35.17	458770	24500538.00
2018/01/23	35.05	35.54	35.05	35.18	403218	21785642.00
2018/01/24	35.15	35.82	35.07	35.59	583408	31719292.00
2018/01/25	35.37	35.90	35.33	35.59	521008	28490822.00
2018/01/26	35.59	35.59	34.93	35.00	591149	31820442.00
2018/01/29	34.97	35.12	34.27	34.29	506370	26891876.00
2018/01/30	34.35	34.79	34.19	34.31	393236	20757444.00
2018/01/31	34.28	34.28	32.60	32.70	867802	44263900.00
2018/02/01	32.71	33.08	31.39	31.42	690461	33932660.00
2018/02/02	31.10	31.61	30.65	31.09	474140	22644610.00
2018/02/05	30.72	31.14	30.39	30.81	493726	23369702.00
2018/02/06	30.13	30.36	28.60	28.61	701900	31946192.00
2018/02/07	29.17	29.55	28.12	29.25	610100	27244188.00
2018/02/08	29.09	29.88	29.03	29.59	413464	18851516.00
2018/02/09	28.64	29.44	28.51	28.83	507138	22580388.00
2018/02/12	28.98	30.04	28.98	29.79	336338	15344047.00
2018/02/13	30.04	30.11	29.02	29.02	459268	20829164.00
2018/02/14	29.03	29.22	28.67	28.94	376267	16730309.00
2018/02/22	29.18	29.53	28.93	29.44	305069	13744628.00
2018/02/23	29.42	29.82	29.29	29.77	350506	15938613.00
2018/02/26	30.15	31.12	30.04	30.98	791932	37236448.00
2018/02/27	30.97	31.52	30.75	31.21	682774	32724862.00
2018/02/28	30.99	31.08	30.63	30.83	504075	23891142.00
2018/03/01	30.61	31.69	30.60	31.59	588078	28255474.00
2018/03/02	31.34	31.80	31.21	31.27	496515	24030486.00
2018/03/05	31.27	32.24	31.27	32.02	575415	28053918.00
2018/03/06	32.02	32.72	31.92	32.32	676060	33639392.00
2018/03/07	32.29	32.74	32.18	32.27	549500	27369824.00
2018/03/08	32.21	33.59	32.16	33.17	865774	43904328.00
2018/03/09	33.13	34.72	33.07	34.71	1462992	76126048.00
2018/03/12	34.76	35.37	34.09	34.37	1240460	65575312.00
2018/03/13	34.15	34.59	33.85	34.15	703540	36899660.00
2018/03/14	34.12	34.32	33.35	33.42	670038	34842016.00
2018/03/15	33.19	33.22	31.93	32.39	1031834	51508152.00
2018/03/16	32.49	33.37	32.39	32.88	554532	28090698.00
2018/03/19	33.23	34.23	32.96	33.92	682440	35408080.00
2018/03/20	33.61	35.12	33.61	34.76	1087758	57774652.00
2018/03/21	34.85	35.23	33.99	34.00	872500	46264808.00
2018/03/22	34.01	35.42	34.01	34.75	895636	47752412.00
2018/03/23	33.84	34.71	32.43	33.03	1331551	68864056.00
2018/03/26	32.31	35.15	32.25	35.05	1026934	53176028.00
2018/03/27	35.12	36.29	35.01	35.99	1642397	89879944.00
2018/03/28	35.59	37.15	35.43	35.93	1557613	86770616.00
2018/03/29	36.13	36.58	34.85	35.12	1376098	75035424.00
2018/03/30	34.57	36.63	34.56	36.62	2193256	119337408.00
2018/04/02	36.59	36.85	35.81	35.81	1765944	98228960.00
2018/04/03	35.26	36.72	34.99	36.20	1474905	80709256.00
2018/04/04	36.35	37.52	35.85	35.93	1612266	90448176.00
2018/04/09	35.72	36.35	35.00	36.23	1130406	61764884.00
2018/04/10	36.12	36.58	34.93	36.58	1669612	91658592.00
2018/04/11	36.91	38.33	36.32	38.31	2804054	160953920.00
2018/04/12	37.95	38.88	37.61	37.83	1850210	107893096.00
2018/04/13	37.75	38.19	37.24	37.41	1171086	67432520.00
2018/04/16	37.59	37.67	36.79	37.20	858710	48719544.00
2018/04/17	37.21	37.51	35.59	35.59	1246300	69425632.00
2018/04/18	35.85	36.21	34.57	36.05	1113170	60208324.00
2018/04/19	35.89	36.51	35.72	35.89	693207	38362716.00
2018/04/20	35.57	35.89	33.95	34.25	1035240	55423584.00
2018/04/23	31.72	32.59	30.75	30.75	1994295	96611608.00
2018/04/24	30.71	31.57	30.60	31.56	1004099	48202400.00
2018/04/25	31.39	31.99	30.98	31.71	866652	42085916.00
2018/04/26	31.71	32.15	30.67	30.73	908049	43786992.00
2018/04/27	30.82	31.77	30.82	31.31	740536	35643456.00
2018/05/02	31.32	32.14	31.31	31.56	654235	31857204.00
2018/05/03	31.56	31.56	30.63	31.44	771515	36808120.00
2018/05/04	31.25	31.52	31.05	31.27	581639	27895752.00
2018/05/07	31.25	31.89	31.23	31.72	785400	38204152.00
2018/05/08	31.65	32.14	31.65	31.92	845800	41461688.00
2018/05/09	32.15	32.19	31.59	31.96	802100	39217840.00
2018/05/10	31.92	33.44	31.86	33.33	1680000	84609696.00
2018/05/11	33.31	34.03	33.09	33.15	1584397	81398664.00
2018/05/14	33.03	33.19	32.13	32.36	1033562	51656636.00
2018/05/15	32.40	32.90	32.31	32.85	742490	37199016.00
2018/05/16	32.77	33.89	32.73	33.33	1434823	73401840.00
2018/05/17	33.17	33.25	32.91	33.08	627187	31810022.00
2018/05/18	33.25	33.25	32.36	32.92	744700	37410588.00
2018/05/21	32.92	33.47	32.77	33.33	641998	32648664.00
2018/05/22	33.58	33.94	33.19	33.71	823554	42045052.00
2018/05/23	33.58	34.42	33.42	33.60	875334	45120796.00
2018/05/24	33.61	33.74	33.12	33.25	591878	29984606.00
2018/05/25	33.09	33.92	33.06	33.79	939657	48026728.00
2018/05/28	34.92	36.41	34.39	35.35	2684777	143549728.00
2018/05/29	34.98	35.13	33.73	33.73	1551367	81339752.00
2018/05/30	33.11	33.11	30.93	31.22	1390026	68127440.00
2018/05/31	31.59	32.04	31.29	31.72	681567	32853338.00
2018/06/01	31.59	32.21	31.53	31.78	533960	25784536.00
2018/06/04	31.81	31.91	31.39	31.43	446048	21397876.00
2018/06/05	31.43	32.29	31.43	32.18	584905	28426040.00
2018/06/06	32.06	32.55	32.06	32.47	464838	22840546.00
2018/06/07	32.55	32.55	31.91	32.01	611168	29867690.00
2018/06/08	32.01	32.10	31.59	31.69	430198	20787258.00
2018/06/11	31.78	31.87	31.45	31.55	336200	16160429.00
2018/06/12	31.67	31.71	30.59	31.26	701726	33059964.00
2018/06/13	31.05	31.43	30.72	30.75	465050	21902946.00
2018/06/14	30.75	31.05	30.39	30.96	322693	15117926.00
2018/06/15	31.17	31.17	29.93	30.16	497100	22975288.00
2018/06/19	29.61	30.05	27.56	28.12	880700	38467568.00
2018/06/20	27.82	29.13	27.82	29.13	641798	28067018.00
2018/06/21	29.15	29.15	28.21	28.22	700798	30722160.00
2018/06/22	28.11	29.05	27.79	28.81	417883	18200142.00
2018/06/25	29.24	29.24	28.59	28.64	237270	10412763.00
2018/06/26	28.32	29.09	28.13	28.89	404410	17709574.00
2018/06/27	28.97	29.22	28.71	28.87	371952	16393242.00
2018/06/28	28.63	29.15	28.63	28.67	284900	12514750.00
2018/06/29	28.87	29.57	28.72	29.56	414979	18485768.00
2018/07/02	29.51	29.84	29.14	29.26	398700	17903268.00
2018/07/03	29.32	30.01	29.05	29.87	465626	20882226.00
2018/07/04	29.72	29.72	28.94	28.94	447500	19946128.00
2018/07/05	28.90	29.35	28.34	28.36	428356	18707016.00
2018/07/06	28.37	28.92	28.20	28.66	365540	15891086.00
2018/07/09	28.79	29.39	28.62	29.36	416856	18539384.00
2018/07/10	29.43	29.73	29.21	29.71	483100	21666088.00
2018/07/11	29.43	29.48	28.91	29.30	494600	21999912.00
2018/07/12	29.16	30.09	29.16	29.93	651318	29542596.00
2018/07/13	29.82	30.24	29.73	30.02	484818	22081874.00
2018/07/16	33.07	33.07	31.07	31.25	2168628	106626720.00
2018/07/17	34.25	34.41	34.25	34.41	2311190	120684952.00
2018/07/18	34.41	34.41	31.57	32.33	4085810	203985120.00
2018/07/19	31.49	31.66	30.59	30.90	1681168	79477792.00
2018/07/20	30.83	31.25	30.29	30.90	1004020	47174804.00
2018/07/23	30.11	34.03	29.51	33.19	3561220	178250192.00
2018/07/24	32.29	33.50	31.59	32.69	2722181	134965632.00
2018/07/25	32.39	35.25	32.25	34.29	3502725	180694240.00
2018/07/26	33.59	33.75	32.98	33.12	1890471	95664040.00
2018/07/27	32.64	32.83	31.74	31.95	1529529	74988992.00
2018/07/30	31.92	32.11	30.62	30.79	1399470	66130544.00
2018/07/31	30.82	31.61	30.55	31.18	825250	39043132.00
2018/08/01	30.92	31.43	30.60	30.69	659500	31047752.00
2018/08/02	30.35	30.92	29.39	30.02	876294	40009780.00
2018/08/03	30.08	30.95	29.73	30.45	850400	39628576.00
2018/08/06	30.29	30.44	28.43	29.09	931770	41605056.00
2018/08/07	29.22	29.63	28.91	29.59	504700	22544470.00
2018/08/08	29.61	29.61	28.66	28.92	654038	28873016.00
2018/08/09	28.73	29.71	28.73	29.41	485238	21666890.00
2018/08/10	29.59	31.05	29.33	29.99	719400	33103318.00
2018/08/13	29.92	30.09	29.41	30.03	495800	22386484.00
2018/08/14	29.92	30.15	29.69	29.75	324100	14743103.00
2018/08/15	29.75	30.12	29.21	29.21	387300	17563708.00
2018/08/16	29.17	29.32	28.72	29.04	419666	18526698.00
2018/08/17	29.14	29.45	28.10	28.15	482900	21143732.00
2018/08/20	28.19	28.62	27.93	28.50	322190	13879164.00
2018/08/21	28.49	29.05	28.31	28.85	426500	18637168.00
2018/08/22	28.91	29.13	28.59	28.89	336942	14791369.00
2018/08/23	28.88	29.14	28.65	29.05	290466	12807907.00
2018/08/24	29.05	29.94	28.82	29.53	534505	24034160.00
2018/08/27	29.52	30.23	29.33	30.17	509605	23190692.00
2018/08/28	30.25	30.25	29.74	30.09	381100	17372020.00
2018/08/29	30.09	30.18	29.55	29.78	321900	14669275.00
2018/08/30	29.79	30.22	29.51	29.51	275366	12496971.00
2018/08/31	29.49	29.64	28.97	29.25	340400	15176565.00
2018/09/03	29.25	29.25	28.58	28.92	285558	12520766.00
2018/09/04	28.92	29.75	28.92	29.55	307770	13733506.00
2018/09/05	29.55	29.65	28.87	28.87	304700	13568236.00
2018/09/06	28.79	29.14	28.68	28.73	218470	9593976.00
2018/09/07	28.74	29.15	28.57	28.72	238570	10464133.00
2018/09/10	28.71	28.89	28.17	28.19	270300	11694711.00
2018/09/11	28.31	28.65	28.24	28.53	235400	10192828.00
2018/09/12	28.45	28.99	28.34	28.84	277270	12146050.00
2018/09/13	28.99	29.12	27.97	28.51	350600	15198641.00
2018/09/14	28.51	28.72	28.17	28.17	204900	8879299.00
2018/09/17	28.06	28.19	27.79	27.79	169270	7216987.50
2018/09/18	27.68	28.39	27.67	28.36	176200	7523856.00
2018/09/19	28.19	28.75	28.12	28.52	184300	7985910.00
2018/09/20	28.37	28.70	28.18	28.22	121500	5246929.00
2018/09/21	28.25	29.12	28.15	29.05	396784	17364084.00
2018/09/25	29.13	29.90	28.99	29.43	381700	17147116.00
2018/09/26	29.36	29.65	29.32	29.42	205037	9196402.00
2018/09/27	29.59	30.24	29.36	29.49	372018	16837768.00
2018/09/28	29.59	29.72	29.30	29.53	283600	12695401.00
2018/10/08	29.39	29.39	28.11	28.15	396600	17238618.00
2018/10/09	28.38	28.52	28.18	28.34	180361	7778643.50
2018/10/10	28.52	28.65	28.25	28.35	182370	7895626.50
2018/10/11	27.57	27.57	25.75	26.12	622384	25513776.00
2018/10/12	26.25	26.52	25.76	26.37	280070	11190438.00
2018/10/15	26.46	26.79	26.25	26.31	210870	8531088.00
2018/10/16	26.65	26.65	25.39	25.59	337876	13401996.00
2018/10/17	26.09	26.17	24.81	25.49	417039	16184045.00
2018/10/18	25.25	25.43	24.79	24.81	314276	11991760.00
2018/10/19	24.65	25.57	24.55	25.53	452288	17301502.00
2018/10/22	25.65	27.22	25.65	26.72	670888	27157870.00
2018/10/23	26.67	26.91	26.12	26.40	377395	15210860.00
2018/10/24	26.55	26.81	26.31	26.58	289398	11740177.00
2018/10/25	25.92	26.89	25.59	26.81	332207	13381078.00
2018/10/26	26.81	27.04	26.47	26.64	261709	10664130.00
2018/10/29	26.49	26.64	26.08	26.15	218107	8730680.00
2018/10/30	26.16	26.49	25.79	26.35	218270	8700548.00
2018/10/31	26.52	26.81	26.34	26.71	324105	13163546.00
2018/11/01	26.75	27.12	26.53	26.59	362737	14820795.00
2018/11/02	26.73	27.32	26.73	27.32	497532	20551184.00
2018/11/05	27.31	27.57	26.59	26.95	499527	20608550.00
2018/11/06	26.89	26.89	26.51	26.76	332300	13477697.00
2018/11/07	26.65	27.04	26.59	26.72	329198	13438791.00
2018/11/08	26.81	26.91	26.55	26.59	202198	8229701.50
2018/11/09	26.59	26.59	26.36	26.45	265600	10693629.00
2018/11/12	26.39	27.42	26.39	27.31	534198	21977144.00
2018/11/13	27.05	27.69	27.02	27.50	458715	19189820.00
2018/11/14	27.52	28.02	27.47	27.61	394770	16660469.00
2018/11/15	27.79	29.25	27.69	29.07	922683	40283568.00
2018/11/16	28.91	29.77	28.91	29.05	828315	36872768.00
2018/11/19	29.25	29.65	28.93	29.32	534870	23760996.00
2018/11/20	28.99	30.12	28.92	29.07	703459	31579506.00
2018/11/21	28.69	30.02	28.39	29.99	792418	35447092.00
2018/11/22	29.99	30.63	29.81	30.10	816978	37497720.00
2018/11/23	29.94	30.12	28.75	29.60	807496	36239576.00
2018/11/26	29.59	29.81	28.43	28.81	792184	34968704.00
2018/11/27	28.93	29.11	28.39	28.66	495859	21664742.00
