002970 锐明技术 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2019/12/17	22.40	26.96	22.40	26.96	123439	6733150.00
2019/12/18	29.70	29.70	29.70	29.70	38521	2318579.00
2019/12/19	32.71	32.71	32.71	32.71	44355	2936744.50
2019/12/20	36.02	36.02	36.02	36.02	134191	9773131.00
2019/12/23	39.66	39.66	39.66	39.66	221399	17736274.00
2019/12/24	43.66	43.66	43.66	43.66	701333	61801464.00
2019/12/25	48.07	48.07	47.45	48.07	4861745	471091392.00
2019/12/26	52.91	52.91	52.91	52.91	469961	50107240.00
2019/12/27	58.24	58.24	54.10	58.24	14297483	1641903872.00
2019/12/30	55.60	58.30	53.60	57.60	9272785	1052290112.00
2019/12/31	60.10	63.40	59.70	60.90	10718739	1333401856.00
2020/01/02	63.10	67.03	63.10	67.03	7089221	929470848.00
2020/01/03	71.55	73.77	70.55	72.10	8722744	1275468416.00
2020/01/06	70.21	76.82	69.05	75.17	6813855	983542400.00
2020/01/07	70.20	75.17	70.20	71.63	5191635	757994816.00
2020/01/08	73.13	77.05	73.10	74.90	5278524	792535168.00
2020/01/09	82.23	82.43	74.68	75.37	7392872	1173784064.00
2020/01/10	76.54	77.62	74.80	75.80	5009553	766077440.00
2020/01/13	76.10	79.74	74.11	79.10	4245382	655676544.00
2020/01/14	79.10	80.97	76.91	77.73	3882835	614062912.00
2020/01/15	76.40	77.73	74.86	75.98	3124486	479558560.00
2020/01/16	78.60	83.59	76.19	80.96	4845981	771402944.00
2020/01/17	79.83	80.94	76.10	76.53	3837086	606104768.00
2020/01/20	74.60	75.85	71.40	73.41	3697547	544650240.00
2020/01/21	72.92	74.89	72.19	72.99	2207620	325539904.00
2020/01/22	72.30	76.70	72.14	76.10	3295609	491809888.00
2020/01/23	74.50	74.50	68.45	68.45	3640947	520629248.00
2020/02/03	61.56	61.56	61.56	61.56	371800	46073456.00
2020/02/04	58.56	65.32	58.56	64.00	3947381	493676672.00
2020/02/05	63.16	67.85	62.72	64.19	3751131	493361408.00
2020/02/06	63.35	68.87	63.20	67.66	3109942	415417920.00
2020/02/07	67.10	69.18	66.95	67.63	1935074	264035952.00
2020/02/10	66.35	67.69	64.00	67.51	2289964	304220672.00
2020/02/11	67.10	67.23	65.62	65.85	1272787	169990000.00
2020/02/12	65.85	72.10	65.60	70.58	3051240	428248896.00
2020/02/13	69.93	72.55	68.60	70.35	2298137	325803360.00
2020/02/14	69.70	71.08	67.40	68.84	1793461	250466400.00
2020/02/17	69.60	73.34	69.60	72.75	2144203	310257728.00
2020/02/18	72.40	75.48	71.77	74.68	2263820	335496896.00
2020/02/19	73.85	78.04	73.72	77.10	2839300	434613056.00
2020/02/20	77.60	79.10	75.75	77.95	2138252	332462560.00
2020/02/21	77.35	77.95	74.37	74.62	2607017	398606688.00
2020/02/24	73.35	82.12	73.23	82.12	4285313	692955648.00
2020/02/25	82.25	87.10	79.19	86.10	3909578	656886208.00
2020/02/26	83.11	84.60	77.45	77.45	3070403	496332288.00
2020/02/27	77.35	78.10	72.60	75.55	2404648	363691616.00
2020/02/28	71.75	72.11	67.96	67.96	2359750	330948736.00
2020/03/02	68.60	72.90	67.12	71.60	2096546	294371072.00
2020/03/03	72.59	75.04	70.76	71.35	1662878	244141232.00
2020/03/04	69.85	72.05	67.95	69.68	1353504	189848160.00
2020/03/05	71.14	71.54	67.19	68.31	1692493	233796144.00
2020/03/06	66.60	69.10	66.12	67.10	1168760	159208784.00
2020/03/09	65.16	65.85	62.10	62.10	1811026	231869264.00
2020/03/10	61.60	66.60	61.60	66.15	1997149	258167760.00
2020/03/11	66.47	67.35	63.35	63.35	1387001	182465216.00
2020/03/12	61.91	63.10	60.25	61.55	1412584	174141312.00
2020/03/13	57.43	61.18	56.60	59.60	2029872	239446448.00
2020/03/16	60.10	61.71	55.11	55.65	1986383	236928160.00
2020/03/17	57.08	60.58	55.15	60.55	2102423	246595520.00
2020/03/18	61.09	61.18	56.66	56.95	1738251	207100240.00
2020/03/19	57.12	57.89	55.80	57.05	1572015	180375072.00
2020/03/20	57.65	59.00	56.67	57.94	1292906	150551568.00
