002975 博杰股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/02/05	20.40	24.55	20.40	24.55	114700	5689559.00
2020/02/06	27.04	27.04	27.04	27.04	27723	1519220.38
2020/02/07	29.78	29.78	29.78	29.78	36899	2224271.75
2020/02/10	32.80	32.80	32.80	32.80	36200	2400422.00
2020/02/11	36.11	36.11	36.11	36.11	54688	3988942.75
2020/02/12	39.76	39.76	39.76	39.76	177953	14277169.00
2020/02/13	43.77	43.77	43.77	43.77	130489	11515654.00
2020/02/14	48.18	48.18	48.18	48.18	466314	45269764.00
2020/02/17	53.04	53.04	53.04	53.04	331851	35438368.00
2020/02/18	58.38	58.38	58.38	58.38	109100	12815977.00
2020/02/19	64.25	64.25	61.39	64.25	8578324	1098865024.00
2020/02/20	64.14	66.94	62.44	64.13	9342943	1219607808.00
2020/02/21	65.39	68.14	63.18	67.61	7732967	1018751744.00
2020/02/24	64.62	66.51	63.46	65.23	5863427	765128768.00
2020/02/25	63.14	64.98	58.67	63.14	5526018	692037504.00
2020/02/26	59.64	61.04	57.14	57.38	3977685	476249152.00
2020/02/27	57.16	61.39	55.24	60.60	3958717	466068960.00
2020/02/28	58.14	61.04	55.26	55.79	3201686	374067168.00
2020/03/02	57.36	59.63	57.36	58.79	2768968	326618720.00
2020/03/03	59.64	61.42	58.28	59.04	3391143	408831328.00
2020/03/04	57.71	58.84	56.15	58.78	2811150	325295072.00
2020/03/05	60.56	64.70	60.07	64.70	5650092	718714752.00
2020/03/06	63.39	69.89	62.83	66.86	6440634	856730432.00
2020/03/09	68.64	73.58	68.15	71.32	6446668	928658816.00
2020/03/10	74.64	78.49	71.44	78.49	4991317	754657856.00
2020/03/11	81.14	83.06	70.60	70.60	5820551	892195584.00
2020/03/12	68.24	72.63	66.64	68.48	4037052	563638720.00
2020/03/13	65.31	75.36	65.31	75.36	5817337	841257408.00
2020/03/16	74.13	74.83	67.79	67.79	4245863	607632512.00
2020/03/17	69.14	74.61	68.06	73.14	4843337	700422080.00
2020/03/18	72.13	74.43	68.68	69.14	3660550	524877024.00
2020/03/19	69.65	73.38	68.64	71.79	3123215	447813408.00
2020/03/20	72.89	73.48	67.97	69.86	2922215	413567968.00
2020/03/23	65.64	66.49	62.84	62.84	3177265	405640160.00
2020/03/24	63.38	63.88	56.52	58.70	4118706	492306720.00
2020/03/25	59.44	63.28	59.06	60.91	2673722	328186624.00
2020/03/26	59.14	63.58	58.39	61.29	1992743	244181008.00
2020/03/27	62.40	63.54	58.67	59.06	2273800	278717472.00
2020/03/30	56.39	59.14	54.23	56.53	2435505	275455040.00
2020/03/31	58.14	62.22	57.68	58.64	3566252	433046144.00
2020/04/01	59.39	62.93	58.72	60.49	3122961	380636896.00
2020/04/02	60.72	63.98	59.15	63.31	3481600	435230752.00
2020/04/03	63.00	63.09	60.47	61.04	2686521	332034912.00
2020/04/07	62.31	63.10	60.47	60.71	2914719	359614240.00
2020/04/08	59.14	59.64	57.54	58.20	2102711	247981664.00
2020/04/09	58.79	59.14	56.95	58.14	1854294	216269824.00
2020/04/10	57.64	58.49	56.13	56.13	1646973	188655872.00
2020/04/13	55.15	55.17	51.84	52.64	2018800	215540752.00
2020/04/14	52.64	53.56	52.14	53.28	1528520	162775248.00
2020/04/15	53.18	53.89	52.73	52.75	1354220	145423312.00
2020/04/16	51.64	52.89	51.18	52.39	1506024	157746288.00
2020/04/17	54.14	57.16	53.14	56.34	3251740	360967680.00
2020/04/20	56.33	56.34	54.26	55.14	1840500	204114512.00
2020/04/21	55.14	56.14	52.90	53.64	2060500	225253600.00
2020/04/22	55.89	59.03	55.32	58.55	3936845	451833600.00
2020/04/23	57.14	57.58	55.88	56.10	2468702	280862752.00
2020/04/24	55.79	56.44	54.40	54.70	1472701	163925936.00
2020/04/27	54.19	56.39	54.17	55.24	1186237	132888976.00
2020/04/28	55.20	55.20	50.24	53.73	2064675	220020736.00
2020/04/29	53.09	56.14	52.90	55.47	1472475	161985680.00
2020/04/30	56.04	59.94	55.76	58.72	2319932	271384320.00
2020/05/06	57.77	60.23	57.58	60.16	2184102	259120880.00
2020/05/07	61.37	66.21	61.34	66.21	3617791	472286176.00
2020/05/08	64.90	67.23	64.74	65.79	2720391	360299776.00
2020/05/11	65.90	67.47	64.93	65.81	1865899	247740752.00
2020/05/12	65.48	66.06	62.15	63.65	2277843	292113760.00
2020/05/13	63.15	64.30	62.49	63.73	1392700	177796752.00
2020/05/14	62.89	63.87	62.19	62.21	1396940	176805040.00
2020/05/15	62.74	64.97	62.74	63.51	1970440	252954000.00
2020/05/18	62.89	62.89	59.08	59.64	2432430	295941760.00
2020/05/19	60.08	63.83	59.90	63.61	2024261	251682912.00
2020/05/20	63.19	64.39	62.20	63.89	1583500	201643616.00
2020/05/21	64.35	64.64	59.88	60.39	1712261	212338528.00
2020/05/22	60.14	61.87	59.03	59.63	1160661	141122736.00
