300136 ��άͨ�� ���� ǰ��Ȩ
      ����	    ����	    ���	    ���	    ����	    �ɽ���	    �ɽ���
2019/01/04	18.95	20.23	18.84	19.79	42660175	836528128.00
2019/01/07	20.08	21.29	20.07	21.10	43006096	892604736.00
2019/01/08	21.05	21.38	20.56	20.77	28550123	598990592.00
2019/01/09	20.94	21.58	20.70	21.00	35652320	759785984.00
2019/01/10	21.04	21.80	20.79	21.41	38557967	825460928.00
2019/01/11	21.85	21.92	21.17	21.37	34866077	751910208.00
2019/01/14	21.35	21.35	20.06	20.34	35127776	724238336.00
2019/01/15	20.35	20.81	20.28	20.63	29504770	609189376.00
2019/01/16	20.80	20.83	19.93	20.05	40683466	823852800.00
2019/01/17	20.15	20.29	19.35	19.45	37621167	742127296.00
2019/01/18	19.50	20.00	18.93	19.96	45666341	891899584.00
2019/01/21	19.94	20.69	19.63	20.64	49848353	1014866112.00
2019/01/22	20.55	20.60	19.98	20.07	32132371	651489472.00
2019/01/23	19.85	20.02	19.48	19.71	27494531	544276160.00
2019/01/24	19.80	21.57	19.52	21.16	75220073	1567526784.00
2019/01/25	21.05	22.33	20.89	21.73	78510368	1696133120.00
2019/01/28	21.90	23.03	21.63	22.55	73190081	1639759360.00
2019/01/29	22.32	22.47	21.50	22.18	53545564	1181216384.00
2019/01/30	21.70	22.88	21.37	22.43	61195338	1367435776.00
2019/01/31	22.49	23.27	22.26	22.61	52955658	1207211392.00
2019/02/01	22.76	23.25	22.31	23.04	47144008	1077470592.00
2019/02/11	23.03	24.90	22.86	24.51	59356361	1438721920.00
2019/02/12	24.43	24.83	24.19	24.55	51389273	1260201088.00
2019/02/13	24.43	25.53	24.40	24.68	71389684	1781207424.00
2019/02/14	24.52	25.52	24.18	25.12	58112732	1451009152.00
2019/02/15	24.95	25.38	24.21	24.34	59947999	1490770816.00
2019/02/18	24.71	26.17	24.10	25.93	85036058	2137717376.00
2019/02/19	25.96	26.25	24.96	25.35	75699258	1940616320.00
2019/02/20	25.33	25.81	24.73	25.79	54621359	1385017088.00
2019/02/21	25.58	27.42	25.53	25.93	93013960	2471325440.00
2019/02/22	26.15	28.53	26.15	28.45	93173712	2546733056.00
2019/02/25	29.35	31.20	29.17	29.81	107618471	3224952064.00
2019/02/26	29.98	31.64	29.05	30.13	97390001	2938293504.00
2019/02/27	30.95	31.20	29.30	29.85	71489899	2166493952.00
2019/02/28	29.95	30.15	28.97	29.65	49017001	1452860032.00
2019/03/01	30.10	30.30	29.31	30.15	50543882	1513658496.00
2019/03/04	30.73	31.45	29.95	30.34	82370116	2533530112.00
2019/03/05	30.14	31.55	29.77	31.55	72731192	2225129984.00
2019/03/06	31.76	32.33	30.10	30.85	80705428	2497555968.00
2019/03/07	30.45	30.45	28.80	29.48	100616660	2986770176.00
2019/03/08	28.44	30.71	28.03	29.27	76744107	2278130432.00
2019/03/11	29.89	30.23	29.08	30.18	55670653	1663529216.00
2019/03/12	30.90	31.30	29.81	30.45	71241866	2183655424.00
2019/03/13	30.30	30.41	28.95	29.24	56136378	1665458432.00
2019/03/14	28.96	30.15	28.95	29.85	49995236	1483802112.00
2019/03/15	30.04	30.09	29.00	29.29	45225541	1336851584.00
2019/03/18	28.96	29.90	28.15	29.73	43506618	1266396032.00
2019/03/19	29.86	31.13	29.76	30.44	56257737	1721318016.00
2019/03/20	30.59	30.83	29.45	30.10	41920252	1261372416.00
2019/03/21	30.10	31.07	29.86	30.70	53506388	1635010688.00
2019/03/22	30.57	30.90	29.72	30.36	43481520	1315671936.00
2019/03/25	29.45	30.13	29.28	29.36	35908462	1066350784.00
2019/03/26	29.64	29.64	27.95	28.01	42127595	1212010112.00
2019/03/27	28.25	28.35	27.03	27.70	38013653	1050252928.00
2019/03/28	27.74	28.88	27.59	27.74	40084426	1134991104.00
2019/03/29	27.74	28.85	27.25	28.77	37879570	1069600448.00
2019/04/01	28.96	30.11	28.96	30.04	57416982	1698137984.00
2019/04/02	30.13	30.40	29.66	29.68	49140672	1473458048.00
2019/04/03	29.45	30.09	29.25	29.96	34906397	1039897920.00
2019/04/04	30.15	30.25	29.35	29.51	36859769	1097771008.00
2019/04/08	29.80	29.92	28.22	28.50	41628305	1206259840.00
2019/04/09	28.52	29.29	28.23	28.83	24570913	710353408.00
2019/04/10	28.51	29.68	28.39	29.34	36814158	1073413632.00
2019/04/11	29.34	29.34	28.25	28.25	27364027	787192192.00
2019/04/12	28.25	28.68	27.82	28.03	22165109	625911872.00
2019/04/15	28.50	29.33	28.32	28.35	33328732	963854272.00
2019/04/16	28.33	31.19	28.00	31.19	97972988	2958556928.00
2019/04/17	31.54	31.54	30.60	30.75	78765698	2446295040.00
2019/04/18	30.93	31.31	30.10	30.60	55510448	1709227904.00
2019/04/19	30.55	31.24	29.73	30.94	45859443	1400540032.00
2019/04/22	31.08	31.70	29.79	29.96	51779082	1595171840.00
2019/04/23	29.93	30.32	29.35	29.41	35033278	1044937344.00
2019/04/24	29.75	30.60	29.37	30.57	39018078	1173422592.00
2019/04/25	29.90	30.09	28.45	28.65	44293591	1307965056.00
2019/04/26	28.46	29.39	28.35	28.74	31474024	911694272.00
2019/04/29	28.64	28.93	25.95	26.95	45724339	1251674624.00
2019/04/30	26.84	27.25	26.61	26.74	21734573	586089344.00
2019/05/06	24.95	25.40	24.06	24.06	35693039	877339264.00
2019/05/07	23.95	24.34	22.88	23.75	35940303	854805632.00
2019/05/08	22.97	24.30	22.85	23.65	25314929	601305536.00
2019/05/09	23.45	23.92	23.18	23.45	17803641	421966016.00
2019/05/10	23.77	25.46	23.18	25.00	43157733	1056027264.00
2019/05/13	24.45	24.78	23.63	23.63	38159563	924567936.00
2019/05/14	23.27	24.18	23.17	23.77	30720551	735953408.00
2019/05/15	24.07	24.40	23.98	24.17	26078505	631402624.00
2019/05/16	24.12	24.12	23.40	23.76	28806869	684164288.00
2019/05/17	23.76	24.08	22.33	22.56	37289155	868721280.00
2019/05/20	22.56	22.73	21.01	21.99	46307853	1008541696.00
2019/05/21	22.00	23.11	21.87	22.85	39419861	893417472.00
2019/05/22	23.02	23.63	22.82	23.07	38034169	885318976.00
2019/05/23	22.86	22.94	22.00	22.20	29121190	655478784.00
2019/05/24	22.47	22.60	22.13	22.28	21026281	471492352.00
2019/05/27	22.32	23.31	22.10	23.19	36621733	838699008.00
2019/05/28	23.20	23.23	22.65	22.81	32493236	747940736.00
2019/05/29	22.65	23.04	22.55	22.72	19994851	457353024.00
2019/05/30	22.64	22.64	22.02	22.35	21087477	469796512.00
2019/05/31	22.37	22.68	22.15	22.21	17954315	403219616.00
2019/06/03	22.26	23.22	22.05	22.77	37531451	853268032.00
2019/06/04	23.05	23.75	22.76	23.25	52751644	1234734848.00
2019/06/05	23.55	24.07	23.23	23.78	47175857	1118276480.00
2019/06/06	23.68	23.68	22.49	22.62	34750361	799718464.00
2019/06/10	22.85	23.50	22.72	23.45	32364442	754636288.00
2019/06/11	23.40	24.33	23.00	24.15	46341624	1104753152.00
2019/06/12	24.15	24.51	23.87	23.96	38043654	922061248.00
2019/06/13	23.95	24.23	23.66	23.78	26223642	627055040.00
2019/06/14	23.85	24.01	22.95	22.95	26607959	623569728.00
2019/06/17	22.95	23.28	22.68	23.11	16451578	379244320.00
2019/06/18	23.15	23.35	22.80	23.19	13301031	307829184.00
2019/06/19	24.19	24.39	23.55	23.58	41112991	987871616.00
2019/06/20	23.55	24.18	23.35	24.04	33544973	802731904.00
2019/06/21	24.21	24.73	24.07	24.25	38951380	951016384.00
2019/06/24	24.34	24.35	23.75	23.89	24452598	588198336.00
2019/06/25	23.81	23.90	23.18	23.57	24284030	571825920.00
2019/06/26	23.57	24.43	23.45	24.03	36430010	880168896.00
2019/06/27	24.24	24.94	24.16	24.82	57533571	1417164416.00
2019/06/28	24.75	24.75	24.21	24.40	32775658	800888064.00
2019/07/01	25.51	26.39	25.26	26.06	71681623	1855053312.00
2019/07/02	25.96	26.39	25.90	26.26	47577103	1248173056.00
2019/07/03	26.45	26.88	25.74	26.07	44148623	1163624832.00
2019/07/04	26.26	26.56	25.83	26.17	35604883	935131904.00
2019/07/05	26.20	26.35	25.79	25.83	27804099	725433984.00
2019/07/08	25.66	25.66	24.46	24.68	40916017	1023273600.00
2019/07/09	24.78	24.85	24.17	24.57	24984741	615005760.00
2019/07/10	24.86	25.04	24.47	24.88	22580222	560865536.00
2019/07/11	25.04	25.15	24.61	24.73	22931681	570876992.00
2019/07/12	24.75	24.90	24.29	24.55	19497316	481709568.00
2019/07/15	22.96	23.55	22.25	23.18	64991791	1488469504.00
2019/07/16	23.32	24.19	23.21	23.90	47326684	1129963008.00
2019/07/17	23.83	24.39	23.71	23.95	28744749	693435840.00
2019/07/18	23.74	23.96	23.29	23.35	24461002	577360704.00
2019/07/19	23.54	23.90	23.30	23.57	18934531	448843520.00
2019/07/22	23.72	24.05	23.10	23.35	18605245	440157472.00
2019/07/23	23.36	24.29	23.26	24.23	28455190	680944832.00
2019/07/24	24.47	26.65	24.47	26.34	88628422	2307990016.00
2019/07/25	26.55	28.20	26.25	27.92	87372352	2390667520.00
2019/07/26	27.58	28.11	27.30	28.03	46306652	1285950720.00
2019/07/29	28.12	28.50	27.73	28.38	47618581	1343786112.00
2019/07/30	28.38	28.63	27.80	27.81	39302653	1106803840.00
2019/07/31	27.97	28.45	27.79	28.11	37994791	1073603072.00
2019/08/01	28.05	29.20	27.89	29.05	52761395	1514582912.00
2019/08/02	27.85	28.57	27.45	28.22	49713660	1396750976.00
2019/08/05	27.95	29.18	27.63	27.78	48302815	1370317824.00
2019/08/06	26.93	28.58	26.80	28.40	57700789	1593041792.00
2019/08/07	28.36	28.66	27.53	27.59	41189893	1156979456.00
2019/08/08	27.76	28.20	26.92	27.67	43672171	1205120640.00
2019/08/09	28.05	28.60	27.22	28.05	52070407	1463427456.00
2019/08/12	28.06	30.86	27.59	30.65	66854534	1970200448.00
2019/08/13	29.96	31.52	29.95	31.05	58955676	1818752512.00
2019/08/14	31.95	32.73	30.35	30.43	61682811	1952441216.00
2019/08/15	29.78	32.70	29.70	32.70	61113423	1899807104.00
2019/08/16	32.55	33.55	32.10	32.35	53849468	1766841472.00
2019/08/19	33.55	34.72	32.77	33.02	66352391	2232403200.00
2019/08/20	33.15	33.66	32.65	33.09	41889622	1391916032.00
2019/08/21	32.95	34.50	32.66	33.69	46094306	1550182144.00
2019/08/22	33.45	33.56	32.02	32.56	46646344	1530640640.00
2019/08/23	32.65	32.90	31.63	32.63	44739204	1441443712.00
2019/08/26	31.83	32.39	31.40	31.94	38777561	1237736832.00
2019/08/27	32.16	33.01	31.64	31.84	43913675	1421302400.00
2019/08/28	32.27	32.97	31.57	32.50	47617405	1552953984.00
2019/08/29	32.45	33.01	31.96	32.34	35181602	1146993920.00
2019/08/30	32.85	33.58	31.33	31.75	51250134	1670568576.00
2019/09/02	31.77	32.91	31.13	32.70	40188827	1294019072.00
2019/09/03	32.71	35.24	32.61	34.62	60445909	2068028416.00
2019/09/04	34.67	35.49	34.26	35.28	43046842	1507424512.00
2019/09/05	35.50	37.02	34.71	35.51	51062262	1828403584.00
2019/09/06	35.95	36.70	34.70	35.88	37984360	1354352768.00
2019/09/09	35.91	37.65	35.43	37.43	49260187	1798973952.00
2019/09/10	37.15	37.40	34.85	35.38	53423127	1919158144.00
2019/09/11	35.40	35.71	34.05	34.31	40485859	1407532288.00
2019/09/12	34.55	35.03	34.05	34.63	27311318	947308736.00
2019/09/16	34.95	35.75	34.20	35.35	34152548	1204215936.00
2019/09/17	35.05	35.55	34.10	34.85	26462036	922847808.00
2019/09/18	34.70	35.53	34.07	34.86	34360547	1197802880.00
2019/09/19	34.93	36.74	34.80	36.43	46807522	1676592640.00
2019/09/20	37.83	38.33	36.44	36.58	59861535	2241402368.00
2019/09/23	36.93	38.23	36.16	37.72	45310119	1691919360.00
2019/09/24	37.73	38.62	37.05	37.45	44440458	1682312960.00
2019/09/25	36.95	37.22	35.25	35.28	48694805	1751187200.00
2019/09/26	35.34	35.53	33.45	33.90	42032072	1450838912.00
2019/09/27	33.83	36.12	33.83	35.77	38120553	1346032768.00
2019/09/30	35.71	36.40	34.69	35.75	31593884	1132909952.00
2019/10/08	35.62	36.57	32.82	33.02	49871744	1721990528.00
2019/10/09	32.63	33.89	31.98	33.69	37472699	1241975552.00
2019/10/10	34.75	37.06	34.70	37.06	82391565	3016276480.00
2019/10/11	36.85	38.06	36.45	37.45	61627805	2301285376.00
2019/10/14	38.15	38.64	37.05	37.47	44768513	1690968960.00
2019/10/15	37.40	37.40	36.35	36.51	35741626	1317371264.00
2019/10/16	36.87	37.50	36.35	36.49	34345297	1266633856.00
2019/10/17	36.61	37.90	36.16	37.38	40474900	1511932800.00
2019/10/18	37.30	38.62	37.07	37.17	47180805	1787187328.00
2019/10/21	36.80	38.13	35.65	38.13	36154935	1345851648.00
2019/10/22	38.38	39.25	37.84	39.25	49711347	1921616640.00
2019/10/23	39.13	39.78	38.55	38.78	37236291	1460154112.00
2019/10/24	38.11	40.30	37.94	40.02	42187140	1665734400.00
2019/10/25	40.08	42.25	39.55	42.15	46145487	1894794752.00
2019/10/28	41.65	42.91	41.45	42.13	37570765	1581536000.00
2019/10/29	41.95	43.25	41.36	42.55	40478640	1722280064.00
2019/10/30	41.97	42.32	40.50	41.67	32405173	1343554816.00
2019/10/31	41.55	42.24	40.35	40.39	38986806	1603846016.00
2019/11/01	40.35	41.25	39.47	41.10	37914578	1539786112.00
2019/11/04	41.17	42.73	40.82	41.83	34645704	1452662912.00
2019/11/05	41.85	42.33	40.85	42.18	31907520	1331268736.00
2019/11/06	42.17	42.61	40.54	40.75	31255082	1295335680.00
2019/11/07	40.72	41.72	40.50	41.10	22368924	920505536.00
2019/11/08	40.94	43.91	40.92	43.04	54138393	2313007360.00
2019/11/11	42.61	43.23	42.21	42.92	29582909	1263923840.00
2019/11/12	42.81	42.81	39.45	40.44	51188898	2081446400.00
2019/11/13	39.95	41.43	39.52	40.91	33777473	1366032128.00
2019/11/14	40.65	41.70	39.61	41.45	40165678	1631000448.00
2019/11/15	41.05	41.12	39.88	39.90	32887971	1331222016.00
2019/11/18	39.48	40.24	39.21	39.90	23830683	949583360.00
2019/11/19	39.90	41.63	39.71	41.40	37921490	1554005376.00
2019/11/20	41.15	41.74	40.55	40.60	24337439	1001696832.00
2019/11/21	40.15	40.93	39.65	40.35	20218884	814424640.00
2019/11/22	40.31	41.38	37.96	38.94	45169093	1792582144.00
2019/11/25	38.83	38.89	37.75	38.13	27460624	1054615680.00
2019/11/26	38.55	39.11	37.79	38.17	27016849	1040954432.00
2019/11/27	37.95	39.78	37.72	39.06	31380074	1225561088.00
2019/11/28	39.13	39.52	38.86	39.07	15614012	613254592.00
2019/11/29	39.08	39.75	38.97	39.39	18898211	745078336.00
2019/12/02	39.69	40.39	39.27	39.89	17780094	711473728.00
2019/12/03	39.55	40.22	38.88	40.02	18012905	713064960.00
2019/12/04	39.57	40.26	39.28	39.48	16668762	663251264.00
2019/12/05	39.91	43.36	39.76	42.82	56266600	2374000640.00
2019/12/06	42.75	43.53	42.55	43.36	36151683	1555239680.00
2019/12/09	43.55	44.24	42.53	42.85	27272341	1177138432.00
2019/12/10	42.72	45.05	42.48	44.35	42600664	1884819584.00
2019/12/11	44.06	44.57	42.70	42.93	28860064	1254323328.00
2019/12/12	43.21	45.23	42.75	44.33	37775350	1670955008.00
2019/12/13	45.63	45.85	42.88	43.69	50941234	2232772608.00
2019/12/16	43.46	44.50	43.37	44.34	46550013	2049267456.00
2019/12/17	44.34	45.03	43.73	44.48	34119658	1511261184.00
2019/12/18	45.10	46.33	44.48	45.00	43611104	1985635072.00
2019/12/19	44.95	45.34	43.45	44.20	31089002	1373877376.00
2019/12/20	44.14	45.51	43.83	44.57	35868188	1614148736.00
2019/12/23	43.32	44.04	42.24	42.24	32315401	1394286848.00
2019/12/24	42.56	43.39	42.12	43.33	21283843	912975552.00
2019/12/25	43.56	45.23	43.25	44.37	32120013	1430021248.00
2019/12/26	44.42	45.23	44.29	44.63	20327723	909053696.00
