300181 佐力药业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/02/22	3.92	4.08	3.54	3.62	11641453	340576832.00
2011/02/23	3.60	3.67	3.42	3.49	3926720	107935800.00
2011/02/24	3.49	3.59	3.46	3.49	2624437	72024080.00
2011/02/25	3.48	3.48	3.35	3.39	2276238	60634032.00
2011/02/28	3.40	3.47	3.40	3.43	1308293	35193264.00
2011/03/01	3.49	3.55	3.44	3.49	2051924	56136240.00
2011/03/02	3.43	3.52	3.43	3.50	1344447	36515480.00
2011/03/03	3.51	3.51	3.35	3.37	1725914	46246796.00
2011/03/04	3.37	3.47	3.36	3.45	1038138	27863728.00
2011/03/07	3.45	3.48	3.41	3.48	1223964	33013168.00
2011/03/08	3.47	3.47	3.42	3.45	954369	25718580.00
2011/03/09	3.44	3.45	3.40	3.41	804133	21547692.00
2011/03/10	3.41	3.48	3.41	3.44	1079526	29170576.00
2011/03/11	3.43	3.55	3.42	3.49	1817828	49625552.00
2011/03/14	3.50	3.62	3.50	3.59	1891298	52705772.00
2011/03/15	3.59	3.59	3.43	3.51	1428243	39050872.00
2011/03/16	3.52	3.52	3.47	3.52	863190	23610446.00
2011/03/18	3.41	3.45	3.39	3.41	1507223	40348524.00
2011/03/21	3.39	3.41	3.32	3.34	1395145	36778048.00
2011/03/22	3.35	3.35	3.29	3.31	913584	23830392.00
2011/03/23	3.34	3.36	3.32	3.35	570787	15007473.00
2011/03/24	3.36	3.37	3.33	3.35	568745	14962404.00
2011/03/25	3.35	3.37	3.33	3.36	597101	15743695.00
2011/03/28	3.36	3.38	3.34	3.37	717292	18955602.00
2011/03/29	3.37	3.37	3.16	3.19	1107832	28431658.00
2011/03/30	3.17	3.21	3.12	3.12	634432	15858078.00
2011/03/31	3.11	3.19	3.11	3.13	270858	6755826.00
2011/04/01	3.15	3.27	3.15	3.21	456423	11589267.00
2011/04/06	3.20	3.22	3.14	3.17	431925	10821771.00
2011/04/07	3.15	3.24	3.14	3.17	330268	8361974.50
2011/04/08	3.17	3.22	3.17	3.21	396348	10031182.00
2011/04/11	3.21	3.27	3.14	3.15	351067	8826515.00
2011/04/12	3.15	3.18	3.13	3.14	235200	5878572.00
2011/04/14	3.19	3.21	3.17	3.18	433929	10977984.00
2011/04/15	3.14	3.19	3.11	3.16	429580	10693905.00
2011/04/18	3.18	3.18	3.13	3.17	248401	6216730.50
2011/04/19	3.18	3.18	3.12	3.14	301102	7516948.00
2011/04/20	3.14	3.22	3.12	3.22	473607	11947765.00
2011/04/21	3.21	3.21	3.17	3.19	384366	9704770.00
2011/04/22	3.20	3.20	3.12	3.14	209604	5236526.00
2011/04/25	3.14	3.15	3.07	3.07	404537	10030583.00
2011/04/26	3.05	3.07	2.94	2.97	339425	8099105.50
2011/04/27	2.97	3.00	2.90	2.92	229434	5421841.50
2011/04/28	2.92	2.94	2.83	2.85	251049	5831702.00
2011/04/29	2.85	2.88	2.79	2.88	200222	4584663.00
2011/05/03	2.86	2.93	2.84	2.91	176975	4094820.50
2011/05/04	2.89	2.91	2.83	2.86	173544	4015654.75
2011/05/05	2.86	2.93	2.82	2.91	217924	5079730.00
2011/05/06	2.88	2.95	2.87	2.92	126672	2972042.50
2011/05/09	2.91	2.97	2.91	2.94	164745	3898819.75
2011/05/10	2.93	2.96	2.90	2.94	104445	2447263.25
2011/05/11	2.94	2.94	2.90	2.91	107200	2508022.00
2011/05/12	2.90	2.92	2.82	2.83	136562	3170570.50
2011/05/13	2.80	2.87	2.80	2.85	202215	4611677.00
2011/05/16	2.85	2.97	2.83	2.93	295804	6923107.50
2011/05/17	2.93	2.97	2.91	2.94	203660	4807746.50
2011/05/18	2.94	2.95	2.90	2.91	225219	5288964.50
2011/05/19	2.88	2.94	2.88	2.91	98322	2294487.50
2011/05/20	2.87	2.90	2.81	2.82	259130	5945513.50
2011/05/23	2.82	2.85	2.60	2.60	459438	10117265.00
2011/05/24	2.56	2.66	2.51	2.60	900040	19078130.00
2011/05/25	2.59	2.59	2.41	2.45	602621	12435086.00
2011/05/26	2.46	2.52	2.39	2.45	698700	14110385.00
2011/05/27	2.41	2.45	2.38	2.39	227088	4534286.00
2011/05/30	2.38	2.44	2.33	2.41	287896	5734460.00
2011/05/31	2.41	2.45	2.35	2.45	245110	4908896.50
2011/06/01	2.45	2.48	2.41	2.45	168223	3410578.50
2011/06/02	2.42	2.42	2.35	2.39	180955	3591396.50
2011/06/03	2.41	2.45	2.39	2.44	225628	4547444.00
2011/06/07	2.42	2.47	2.41	2.47	287904	5854665.50
2011/06/08	2.47	2.47	2.39	2.43	194242	3905496.75
2011/06/09	2.42	2.43	2.38	2.38	141482	2825237.25
2011/06/10	2.38	2.38	2.32	2.36	151577	2974364.75
2011/06/13	2.36	2.38	2.31	2.37	122607	2403112.75
2011/06/14	2.37	2.42	2.37	2.40	187399	3737836.25
2011/06/15	2.40	2.42	2.38	2.39	225862	4512218.00
2011/06/16	2.37	2.37	2.29	2.32	190050	3698375.00
2011/06/17	2.32	2.33	2.27	2.28	162570	3134372.25
2011/06/20	2.28	2.31	2.20	2.22	272890	5140654.00
2011/06/21	2.19	2.26	2.19	2.23	166674	3131364.25
