300181 佐力药业 5分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/03/18	0935	5.76	5.86	5.76	5.78	2961300	17279786.00
2020/03/18	0940	5.78	5.93	5.76	5.93	2243400	13152368.00
2020/03/18	0945	5.93	5.93	5.86	5.87	1772000	10476666.00
2020/03/18	0950	5.88	5.90	5.86	5.89	976100	5756384.00
2020/03/18	0955	5.88	5.88	5.83	5.85	542100	3181480.00
2020/03/18	1000	5.86	5.87	5.85	5.85	452300	2658820.00
2020/03/18	1005	5.85	5.85	5.79	5.79	701600	4090084.00
2020/03/18	1010	5.80	5.80	5.76	5.78	587800	3408076.00
2020/03/18	1015	5.79	5.79	5.69	5.71	814700	4690760.00
2020/03/18	1020	5.72	5.77	5.71	5.75	377700	2177200.00
2020/03/18	1025	5.75	5.75	5.72	5.72	305100	1755504.00
2020/03/18	1030	5.72	5.76	5.70	5.73	310900	1785912.00
2020/03/18	1035	5.73	5.74	5.70	5.72	280000	1606288.00
2020/03/18	1040	5.72	5.76	5.72	5.75	136400	785888.00
2020/03/18	1045	5.74	5.75	5.72	5.74	141300	812560.00
2020/03/18	1050	5.75	5.75	5.74	5.75	90100	519368.00
2020/03/18	1055	5.75	5.75	5.72	5.74	267100	1537448.00
2020/03/18	1100	5.74	5.78	5.73	5.78	221400	1279624.00
2020/03/18	1105	5.78	5.78	5.75	5.75	267900	1552200.00
2020/03/18	1110	5.75	5.78	5.75	5.76	127800	739816.00
2020/03/18	1115	5.76	5.76	5.73	5.73	137000	789800.00
2020/03/18	1120	5.74	5.74	5.72	5.72	208000	1196184.00
2020/03/18	1125	5.72	5.75	5.72	5.75	169200	973328.00
2020/03/18	1130	5.75	5.78	5.74	5.77	109500	633512.00
2020/03/18	1305	5.78	5.80	5.74	5.75	435600	2525952.00
2020/03/18	1310	5.74	5.75	5.74	5.74	114200	658928.00
2020/03/18	1315	5.75	5.75	5.72	5.72	306900	1764816.00
2020/03/18	1320	5.71	5.71	5.68	5.68	650500	3719232.00
2020/03/18	1325	5.67	5.70	5.67	5.69	292900	1668576.00
2020/03/18	1330	5.68	5.69	5.63	5.65	500000	2836088.00
2020/03/18	1335	5.65	5.65	5.60	5.64	373000	2107136.00
2020/03/18	1340	5.64	5.65	5.63	5.63	250700	1418872.00
2020/03/18	1345	5.63	5.63	5.58	5.62	460400	2587976.00
2020/03/18	1350	5.61	5.62	5.59	5.60	172600	970720.00
2020/03/18	1355	5.60	5.61	5.58	5.59	350900	1967472.00
2020/03/18	1400	5.58	5.61	5.56	5.61	461100	2576784.00
2020/03/18	1405	5.61	5.64	5.60	5.61	352800	1992888.00
2020/03/18	1410	5.62	5.63	5.61	5.62	81400	459280.00
2020/03/18	1415	5.62	5.62	5.57	5.57	220000	1232936.00
2020/03/18	1420	5.58	5.62	5.58	5.62	121100	681008.00
2020/03/18	1425	5.61	5.62	5.57	5.58	233900	1312016.00
2020/03/18	1430	5.57	5.60	5.56	5.60	209700	1173392.00
2020/03/18	1435	5.60	5.62	5.59	5.59	178400	1003512.00
2020/03/18	1440	5.58	5.61	5.58	5.61	161400	905928.00
2020/03/18	1445	5.60	5.61	5.55	5.55	369600	2067488.00
2020/03/18	1450	5.55	5.58	5.54	5.55	458600	2559248.00
2020/03/18	1455	5.54	5.54	5.48	5.50	786600	4343528.00
2020/03/18	1500	5.50	5.51	5.48	5.48	636500	3504416.00
2020/03/19	0935	5.42	5.50	5.38	5.48	1687600	9202578.00
2020/03/19	0940	5.47	5.54	5.46	5.53	667300	3682477.00
2020/03/19	0945	5.51	5.52	5.46	5.47	360500	1987048.00
2020/03/19	0950	5.46	5.46	5.39	5.40	727400	3962277.00
2020/03/19	0955	5.41	5.46	5.40	5.44	599500	3262756.00
2020/03/19	1000	5.42	5.42	5.38	5.40	650400	3525464.00
2020/03/19	1005	5.40	5.40	5.35	5.36	1000900	5391286.00
2020/03/19	1010	5.36	5.40	5.36	5.38	328200	1769118.00
2020/03/19	1015	5.38	5.38	5.34	5.37	553200	2972348.00
2020/03/19	1020	5.36	5.43	5.36	5.39	350700	1905380.00
2020/03/19	1025	5.39	5.41	5.37	5.39	222600	1204332.00
2020/03/19	1030	5.39	5.42	5.38	5.42	288500	1562556.00
2020/03/19	1035	5.41	5.41	5.38	5.39	256500	1389316.00
2020/03/19	1040	5.39	5.43	5.39	5.41	253800	1378312.00
2020/03/19	1045	5.41	5.41	5.38	5.40	198700	1076116.00
2020/03/19	1050	5.40	5.42	5.40	5.41	92000	499584.00
2020/03/19	1055	5.41	5.41	5.38	5.38	136500	739308.00
2020/03/19	1100	5.37	5.39	5.37	5.38	231400	1249856.00
2020/03/19	1105	5.38	5.38	5.29	5.31	1360100	7266224.00
