300202 聚龙股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/09/02	17.67	19.52	17.67	18.00	33147060	610467264.00
2015/09/07	17.72	19.01	17.54	18.15	17332033	327086368.00
2015/09/08	17.79	19.17	17.03	19.02	14334813	265672304.00
2015/09/09	19.31	20.10	19.02	19.92	19130384	384598464.00
2015/09/10	19.99	20.77	19.42	19.93	16547657	342216928.00
2015/09/11	19.42	20.36	19.24	19.91	10291574	208369248.00
2015/09/14	20.02	20.02	17.87	17.87	9692395	185509264.00
2015/09/15	16.54	16.92	16.04	16.04	10449178	174878720.00
2015/09/16	16.04	17.69	15.62	17.69	13726520	234169088.00
2015/09/17	17.52	18.72	16.92	18.15	17263172	315791904.00
2015/09/18	18.04	18.37	17.54	18.16	12641270	232957664.00
2015/09/21	17.51	19.36	17.22	19.17	13055223	244549920.00
2015/09/22	19.07	19.60	18.47	19.32	11144853	218356096.00
2015/09/23	18.83	19.18	18.30	18.34	12805423	245057296.00
2015/09/24	18.47	19.02	18.35	18.82	10040717	192718448.00
2015/09/25	18.56	19.01	16.89	17.03	13193286	240886880.00
2015/09/28	17.13	18.04	16.74	18.02	9936552	178435744.00
2015/09/29	17.52	17.70	17.03	17.41	8153512	145606496.00
2015/09/30	17.44	17.72	17.02	17.35	5447918	97259688.00
2015/10/08	18.17	19.13	17.72	19.13	11809727	225921248.00
2015/10/09	19.32	21.09	19.12	20.38	23003940	475455168.00
2015/10/12	20.62	22.47	20.38	22.01	14422482	317398272.00
2015/10/13	21.81	22.10	21.12	21.82	10930276	242236848.00
2015/10/14	21.82	22.34	21.14	21.31	11936119	265180208.00
2015/10/15	21.02	23.49	20.97	23.32	16676818	381430752.00
2015/10/16	23.37	23.67	22.47	23.57	16395236	385765888.00
2015/10/19	23.52	24.07	22.51	23.08	15329911	365894368.00
2015/10/20	22.85	23.50	22.85	23.47	12222470	288810464.00
2015/10/21	24.34	25.87	22.02	22.59	28820442	720101824.00
2015/10/22	22.32	24.01	22.06	23.75	14697493	346392896.00
2015/10/23	24.23	26.02	23.55	25.59	16993878	424694080.00
2015/10/26	26.13	26.37	24.32	24.90	14692896	374846016.00
2015/10/27	24.88	25.02	23.34	24.72	13216050	327800160.00
2015/10/28	24.33	25.89	23.52	23.97	13543982	339526400.00
2015/10/29	24.03	24.49	23.57	24.11	8929091	218708528.00
2015/10/30	24.62	26.39	24.43	24.94	24727518	638023232.00
2015/11/02	23.77	27.48	23.77	27.12	35103065	942117312.00
2015/11/03	27.02	27.51	25.53	26.02	21520500	577584320.00
2015/11/04	26.22	28.00	26.22	27.70	21926333	604607680.00
2015/11/05	27.42	29.01	27.12	28.12	18821522	533380896.00
2015/11/06	27.94	29.48	27.73	29.22	15299598	448737792.00
2015/11/09	29.22	30.76	28.72	29.52	16576641	497422144.00
2015/11/10	29.09	29.50	28.32	28.68	13714276	402478432.00
2015/11/11	28.82	29.87	27.73	29.45	16171996	472068768.00
2015/11/12	29.65	29.71	27.82	28.24	15173812	439779168.00
2015/11/13	27.78	29.33	27.52	28.07	14999608	436900320.00
2015/11/16	27.22	28.77	26.60	28.72	10449192	297062848.00
2015/11/17	28.72	29.58	27.12	27.48	17787909	517648608.00
2015/11/18	27.92	28.76	27.55	28.12	14092718	406270624.00
2015/11/19	28.02	28.97	28.02	28.82	11228750	326755264.00
2015/11/20	29.13	31.75	29.13	31.75	24552958	775272768.00
2015/11/23	32.58	33.10	30.62	31.12	22947059	747085376.00
2015/11/24	30.77	31.22	28.77	30.73	18006855	549537216.00
2015/11/25	30.31	33.85	30.22	33.85	24991980	840647808.00
2015/11/26	35.32	37.28	33.27	37.27	28738189	1047317376.00
2015/11/27	37.32	37.86	34.12	34.82	16065950	585987328.00
2015/11/30	35.72	37.18	33.42	35.70	19365670	692601536.00
2015/12/01	35.52	36.38	32.27	33.69	14481024	503983968.00
2015/12/02	34.02	34.02	30.27	32.01	13098352	419124928.00
2015/12/03	32.02	34.32	30.99	33.84	9058629	300506560.00
2015/12/04	33.43	34.63	32.78	33.36	9832516	338010656.00
2015/12/07	33.07	33.52	31.10	32.22	12703901	414024736.00
2015/12/08	31.98	32.62	30.60	31.92	9775328	313819200.00
2015/12/09	31.77	32.17	30.29	30.33	11391273	357467872.00
2015/12/10	30.03	31.52	30.03	30.71	8057430	253884400.00
2015/12/11	30.62	32.51	30.25	31.52	7986005	256226256.00
2015/12/14	31.20	31.99	29.04	29.98	12452830	381658272.00
2015/12/15	30.26	32.01	29.40	31.68	11380896	354537312.00
2015/12/16	32.05	34.90	31.73	34.90	19233386	649868672.00
2015/12/17	35.12	37.42	34.94	36.62	20769552	768512576.00
2015/12/18	36.12	37.02	35.37	36.03	7798995	285743712.00
2015/12/21	37.68	37.89	35.12	35.74	8201249	299961696.00
2015/12/22	35.53	36.50	34.53	35.22	6937322	247922352.00
2015/12/23	34.88	35.22	33.67	33.67	8476082	295135488.00
2015/12/24	33.82	36.36	33.07	36.36	8142602	284244608.00
2015/12/25	36.13	37.31	34.60	35.10	8916506	321323808.00
2015/12/28	35.13	35.46	31.54	32.36	11811886	401250016.00
2015/12/29	32.48	32.92	31.70	31.99	6984339	228071392.00
2015/12/30	32.22	33.31	32.11	32.50	6798992	225026432.00
2015/12/31	32.52	33.09	31.23	31.71	6209936	201820176.00
2016/01/04	31.71	31.97	28.49	28.49	6580401	197975632.00
2016/01/05	25.59	28.22	25.59	25.62	14853172	394585600.00
2016/01/06	25.92	26.52	25.24	26.20	10814296	283987360.00
2016/01/07	25.51	25.51	23.53	23.53	2122500	52033108.00
2016/01/08	23.64	24.25	21.20	22.07	14773302	338170048.00
2016/01/11	21.21	21.21	19.82	19.82	12127958	252032032.00
2016/01/12	19.72	20.97	19.38	20.79	12216294	255152144.00
2016/01/13	21.17	21.17	19.03	19.15	7800692	163022096.00
2016/01/14	18.35	21.11	17.62	21.11	10096622	204610880.00
2016/01/15	21.12	22.21	20.23	20.85	13554123	297280928.00
2016/01/18	20.52	22.98	20.52	22.92	16385026	380092416.00
2016/01/19	22.53	24.53	22.34	24.11	13947125	331753344.00
2016/01/20	24.06	26.02	23.66	24.67	12407541	314923200.00
2016/01/21	24.32	25.32	23.07	23.27	8917455	220855968.00
2016/01/22	23.57	24.82	23.14	24.50	7885751	194121104.00
2016/01/25	24.82	26.30	24.74	25.42	7168769	186278032.00
2016/01/26	24.85	25.52	23.27	24.29	8568105	212163952.00
2016/01/27	24.22	24.47	21.81	22.66	10011833	228381600.00
2016/01/28	22.55	22.64	20.72	21.10	7674617	169545984.00
2016/01/29	21.42	23.26	21.25	22.97	6327283	143934368.00
2016/02/01	23.20	24.75	22.63	24.02	7726300	188771712.00
2016/02/02	24.04	26.42	24.04	24.82	8956739	229793344.00
2016/02/03	24.72	25.28	23.84	25.06	7021881	176726176.00
2016/02/04	25.02	25.81	24.52	24.93	7128358	182752560.00
2016/02/05	24.32	25.23	23.83	24.21	4388913	109577144.00
2016/02/15	23.02	24.65	23.02	24.19	4999369	123033976.00
2016/02/16	24.29	25.81	24.21	25.53	5839900	149987104.00
2016/02/17	25.53	26.22	25.06	25.58	6714992	174812112.00
2016/02/18	26.02	26.08	24.86	24.90	6449755	166571824.00
2016/02/19	24.97	25.82	24.59	25.34	7466657	191829840.00
2016/02/22	25.72	26.46	25.42	26.01	8317765	219318400.00
2016/02/23	25.82	26.32	25.19	25.86	10524882	274842848.00
2016/02/24	25.81	26.39	24.68	25.99	13463429	349777152.00
2016/02/25	25.93	25.93	23.34	23.34	13108265	325255968.00
2016/02/26	23.47	23.62	21.32	22.20	10313185	235853104.00
2016/02/29	21.73	21.75	19.93	19.93	9190432	189499216.00
2016/03/01	20.06	21.15	19.13	20.64	8173504	169961872.00
2016/03/02	20.67	21.90	20.44	21.88	7290926	157457120.00
2016/03/03	21.81	22.39	21.49	21.52	5748440	129130488.00
2016/03/04	21.02	21.70	19.63	19.70	6067532	128207040.00
2016/03/07	20.02	21.00	19.86	20.02	5221352	108538312.00
2016/03/08	20.02	20.62	18.82	20.41	7299056	148849056.00
2016/03/09	19.69	21.42	19.69	20.32	5446856	114816512.00
2016/03/10	20.17	20.82	19.92	20.12	3334997	69208392.00
2016/03/11	19.96	20.50	19.54	20.27	3056419	63050420.00
2016/03/14	20.53	22.00	20.53	21.62	6790517	148993040.00
2016/03/15	21.37	21.69	20.73	21.06	5260028	113799560.00
2016/03/16	21.47	21.92	20.52	20.81	3830945	82246808.00
2016/03/17	20.82	21.97	20.75	21.94	9021720	198790032.00
2016/03/18	22.17	24.18	22.17	23.52	13025402	308754560.00
2016/03/21	23.89	24.18	23.37	23.68	7320314	176770512.00
2016/03/22	23.70	24.05	23.37	23.61	5843424	141446048.00
2016/03/23	23.57	24.11	23.08	23.68	6861764	164698048.00
2016/03/24	23.14	23.69	22.85	23.07	5879222	139409504.00
2016/03/25	22.92	23.35	22.42	22.80	4279433	99825000.00
2016/03/28	23.09	23.59	22.36	22.62	7319943	172869264.00
2016/03/29	22.62	22.62	20.33	21.20	9995587	218749280.00
2016/03/30	21.32	22.17	21.23	21.94	8284254	183229664.00
2016/03/31	22.31	22.44	21.74	21.78	7824093	176308384.00
2016/04/01	21.85	21.85	20.59	21.35	6141310	132779088.00
2016/04/05	21.45	22.38	21.03	22.23	8711409	194928480.00
