300277 海联讯 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/09/02	6.59	7.06	5.96	6.20	3378625	55406256.00
2015/09/07	6.25	6.64	5.57	5.62	7458642	115653912.00
2015/09/08	5.46	6.20	5.16	6.15	4525965	65264152.00
2015/09/09	6.01	6.64	6.01	6.42	6029657	97401768.00
2015/09/10	6.22	6.74	6.22	6.45	4715504	78051872.00
2015/09/11	6.42	6.94	6.42	6.90	5181374	88529624.00
2015/09/14	6.90	6.97	6.20	6.20	3896414	63544152.00
2015/09/15	5.86	6.10	5.56	5.56	3094000	45635372.00
2015/09/16	5.54	6.14	5.52	6.14	2072366	31057418.00
2015/09/17	6.22	6.56	5.99	6.04	2470918	39929752.00
2015/09/18	6.34	6.52	6.04	6.42	2610684	42270500.00
2015/09/21	6.23	6.97	6.19	6.91	3384428	56864380.00
2015/09/22	6.90	6.95	6.59	6.77	3469350	59843512.00
2015/09/23	6.61	6.74	6.35	6.65	2593501	43657724.00
2015/09/24	6.66	6.78	6.60	6.72	1765613	30247798.00
2015/09/25	6.63	6.76	6.14	6.28	2035211	33221020.00
2015/09/28	6.28	6.70	6.18	6.66	1761612	28962360.00
2015/09/29	6.55	6.64	6.34	6.46	1271763	21089172.00
2015/09/30	6.48	6.58	6.31	6.44	1450001	23879284.00
2015/10/08	6.70	6.88	6.54	6.84	1732099	29930888.00
2015/10/09	6.82	7.45	6.71	7.38	3442718	61798064.00
2015/10/12	7.23	7.94	7.22	7.78	4619314	90362968.00
2015/10/13	7.72	7.81	7.52	7.70	2296047	44806344.00
2015/10/14	7.67	7.83	7.48	7.68	2474738	48429784.00
2015/10/15	7.63	8.08	7.55	8.03	3350921	66854736.00
2015/10/16	8.07	8.40	7.98	8.17	3336599	69113312.00
2015/11/04	9.00	9.00	9.00	9.00	50558	1155250.25
2015/11/05	9.92	9.92	9.92	9.92	50452	1268363.25
2015/11/06	10.92	10.92	10.92	10.92	113700	3143805.00
2015/11/09	12.03	12.03	12.03	12.03	101771	3095873.75
2015/11/10	13.25	13.25	13.25	13.25	259738	8690833.00
2015/11/11	14.59	14.59	14.59	14.59	175456	6458535.50
2015/11/12	16.02	16.02	15.02	15.52	10907167	428085472.00
2015/11/13	14.90	15.18	13.96	13.96	7763280	281463232.00
2015/11/16	12.96	13.90	12.88	13.88	4824846	164262752.00
2015/11/17	13.90	14.19	13.26	13.42	4570557	157859408.00
2015/11/18	13.43	13.94	12.94	13.00	3649848	124042392.00
2015/11/19	12.94	13.83	12.86	13.72	4583732	153815264.00
2015/11/20	13.70	13.78	13.31	13.44	4245940	144671888.00
2015/11/23	13.30	14.21	13.22	13.48	4217955	146620960.00
2015/11/24	13.38	14.06	13.28	14.00	3662480	126642608.00
2015/11/25	13.90	14.46	13.67	14.33	4412675	156265856.00
2015/11/26	14.33	15.30	14.21	14.64	4590156	170316656.00
2015/11/27	14.28	14.62	13.17	13.17	3281313	114490768.00
2015/11/30	12.91	13.13	11.88	12.42	3125662	98204496.00
2015/12/01	12.26	12.86	12.18	12.30	2147376	68074880.00
2015/12/02	12.33	12.33	11.46	11.88	2312102	69038864.00
2015/12/03	11.96	12.46	11.90	12.40	2023102	62793088.00
2015/12/04	12.38	13.65	12.26	13.65	4808881	160767408.00
2015/12/07	13.71	14.38	13.64	14.15	3958922	139297328.00
2015/12/08	14.36	15.02	13.86	14.18	3916059	141922992.00
2015/12/09	14.26	15.62	13.87	15.62	5193497	197121904.00
2015/12/10	15.78	16.97	15.06	16.14	4608476	187440144.00
2015/12/11	16.24	16.26	14.70	14.72	4150263	161536288.00
2015/12/14	14.26	15.22	14.10	14.86	2363120	88233320.00
2015/12/15	14.66	16.36	14.64	16.36	2094097	83138912.00
2015/12/16	17.06	18.00	16.70	18.00	1094356	48729268.00
2015/12/17	19.46	19.82	18.27	19.03	6954488	331527008.00
2015/12/18	19.13	19.46	18.07	18.81	4978997	236591632.00
2015/12/21	18.52	19.04	17.78	17.92	3479785	160890960.00
2015/12/22	17.66	18.38	17.41	17.94	2560599	114635496.00
2015/12/23	17.86	18.02	17.18	17.32	1859788	82391712.00
2015/12/24	17.54	17.80	16.57	17.69	1993372	86589240.00
2015/12/25	17.69	18.40	16.58	17.20	2187301	96496232.00
2015/12/28	16.85	17.26	15.92	15.97	2114701	88612720.00
2015/12/29	15.54	16.23	15.24	15.96	2465001	97196160.00
2015/12/30	16.12	16.44	15.66	16.07	2254066	91023624.00
2015/12/31	16.38	16.46	15.28	15.28	1945546	77135592.00
2016/01/04	15.72	15.72	13.74	13.74	1721455	61678760.00
2016/01/05	12.46	13.72	12.46	13.30	2792750	91970936.00
2016/01/06	13.46	14.02	12.87	13.78	1895627	65119660.00
2016/01/07	13.50	13.62	12.39	12.39	402100	13063563.00
