300468 四方精创 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/09/02	21.03	24.48	20.87	22.40	1371926	57655680.00
2015/09/07	22.86	24.17	22.59	23.34	778221	33614680.00
2015/09/08	22.92	25.34	22.89	25.31	1127124	50322880.00
2015/09/09	25.82	27.20	25.26	26.58	1669544	80880880.00
2015/09/10	26.33	26.47	25.61	25.62	774577	37115932.00
2015/09/11	25.76	26.59	25.62	26.03	720249	34515540.00
2015/09/14	26.25	26.41	23.37	23.37	753793	33871968.00
2015/09/15	22.33	23.47	21.45	21.52	710517	29748220.00
2015/09/16	22.18	23.72	21.63	23.72	641368	26802318.00
2015/09/17	24.20	25.93	23.42	24.10	1309518	59647704.00
2015/09/18	24.48	26.56	24.27	26.56	3560571	171780912.00
2015/09/21	26.64	29.12	26.14	29.03	4487875	225546560.00
2015/09/22	28.92	30.03	27.45	28.23	3687769	193695808.00
2015/09/23	27.54	28.74	27.48	28.06	2286407	117708712.00
2015/09/24	28.13	29.20	27.33	28.14	2621835	135765520.00
2015/09/25	28.80	30.29	28.05	28.49	4457707	237661200.00
2015/09/28	27.81	30.89	26.98	30.41	3543744	187903728.00
2015/09/29	29.54	30.13	28.30	28.92	2843446	152463904.00
2015/09/30	28.82	29.15	27.68	28.00	1448233	75070432.00
2015/10/08	29.15	30.86	28.65	30.86	2913640	160975760.00
2015/10/09	30.68	32.80	30.30	32.30	2829010	163373856.00
2015/10/12	32.64	35.51	32.64	34.52	2119776	133232552.00
2015/10/13	32.98	34.20	32.94	33.36	3229954	196946880.00
2015/10/14	32.95	33.64	31.81	32.38	2408950	143939104.00
2015/10/15	32.53	35.57	32.03	35.53	2536596	158112160.00
2015/10/16	35.60	35.64	34.28	35.19	1983502	126899760.00
2015/10/19	34.87	34.93	33.48	34.64	1753801	109831912.00
2015/10/20	34.52	36.63	34.20	35.86	2147444	140051344.00
2015/10/21	35.22	35.97	32.22	32.22	2267431	142118704.00
2015/10/22	32.26	33.84	30.88	33.45	1862229	111607704.00
2015/10/23	33.50	36.64	33.49	35.97	3176902	203726272.00
2015/10/26	36.14	36.60	34.74	35.87	2401389	155638544.00
2015/10/27	34.81	38.36	33.36	37.19	2035575	131301144.00
2015/10/28	37.25	38.36	35.95	36.50	1933468	132080216.00
2015/10/29	36.97	37.39	35.69	36.75	1461923	98040344.00
2015/10/30	36.27	39.47	35.54	38.72	2295337	159149312.00
2015/11/02	37.55	42.65	37.31	41.20	4386087	331420032.00
2015/11/03	40.84	43.68	40.75	41.71	2562570	197563472.00
2015/11/04	41.70	44.45	41.14	43.82	3128149	241946512.00
2015/11/05	43.36	45.96	41.81	42.53	3169649	249991968.00
2015/11/06	42.53	46.63	42.53	46.40	2410948	195280512.00
2015/11/09	45.33	50.86	45.03	49.47	2420460	213076272.00
2015/11/10	48.92	51.08	47.70	49.36	2140109	191815936.00
2015/11/11	48.96	54.35	48.64	54.35	2498995	239050624.00
2015/11/12	55.58	58.72	52.40	56.47	3771201	376726208.00
2015/11/13	54.47	55.52	50.78	50.78	3626003	341907328.00
2015/11/16	46.79	49.58	46.08	48.58	3208471	279359328.00
2015/11/17	49.40	50.29	44.19	44.84	4330058	373517856.00
2015/11/18	44.83	45.53	43.13	43.36	3414853	274357312.00
2015/11/19	43.86	46.25	43.26	46.22	3519013	286485184.00
2015/11/20	46.38	46.97	44.50	45.86	3136131	260978112.00
2015/11/23	45.68	46.42	43.93	44.64	2691864	221561968.00
2015/11/24	44.75	49.15	44.03	49.15	4147048	356244064.00
2015/11/25	48.37	51.63	48.37	49.47	4412848	401470336.00
2015/11/26	49.45	51.54	48.65	51.00	3294385	301268736.00
2015/11/27	52.25	56.16	51.41	53.36	6769938	671057344.00
2015/11/30	55.02	58.75	53.36	58.75	7377782	757550080.00
