300542 新晨科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/09/20	3.09	3.46	3.09	3.46	5001	59020.58
2016/09/21	3.82	3.82	3.82	3.82	2000	26000.00
2016/09/22	4.21	4.21	4.21	4.21	2100	30030.00
2016/09/23	4.64	4.64	4.64	4.64	3200	50336.00
2016/09/26	5.11	5.11	5.11	5.11	5600	96880.00
2016/09/27	5.64	5.64	5.64	5.64	3752	71400.56
2016/09/28	6.21	6.21	6.21	6.21	7988	167188.84
2016/09/29	6.84	6.84	6.84	6.84	12244	281856.88
2016/09/30	7.53	7.53	7.53	7.53	9441	239046.13
2016/10/10	8.30	8.30	8.30	8.30	15782	439528.69
2016/10/11	9.14	9.14	9.14	9.14	13787	422433.69
2016/10/12	10.06	10.06	10.06	10.06	12401	417913.69
2016/10/13	11.08	11.08	11.08	11.08	15148	561536.38
2016/10/14	12.20	12.20	12.20	12.20	61028	2488721.75
2016/10/17	13.43	13.43	13.43	13.43	19500	874770.00
2016/10/18	14.78	14.78	14.78	14.78	401492	19813630.00
2016/10/19	16.27	16.27	16.27	16.27	237310	12883560.00
2016/10/20	17.91	17.91	17.91	17.91	65285	3898820.25
2016/10/21	19.71	19.71	19.71	19.71	117929	7746756.00
2016/10/24	20.11	20.71	18.93	19.91	13463014	892285696.00
2016/10/25	19.79	21.83	19.79	20.28	10114179	699157440.00
2016/10/26	20.47	21.28	20.11	20.80	7722510	532421280.00
2016/10/27	20.77	22.81	20.47	22.33	8053972	576832256.00
2016/10/28	21.92	23.28	21.47	21.88	7033365	518816160.00
2016/10/31	21.83	21.83	20.56	20.62	5101212	357236448.00
2016/11/01	20.43	21.18	20.42	20.84	3292141	229220768.00
2016/11/02	20.47	21.46	20.46	21.05	3602717	252480624.00
2016/11/03	20.83	21.13	20.30	20.38	4084127	281829664.00
2016/11/04	20.39	21.12	20.35	20.84	3198817	220451184.00
2016/11/07	20.98	22.02	20.82	21.44	4471566	319442368.00
2016/11/08	21.31	22.18	21.31	21.76	3607492	260618992.00
2016/11/09	21.73	22.05	21.01	21.63	3763550	269516448.00
2016/11/10	21.83	23.06	21.71	22.67	4267588	318767168.00
2016/11/11	22.85	23.57	22.22	22.55	4387678	332633600.00
2016/11/14	22.58	22.98	22.07	22.27	2675192	199505200.00
2016/11/15	22.28	22.43	21.43	21.75	2086277	151553424.00
2016/11/16	21.91	22.20	21.28	21.30	1899234	137129056.00
2016/11/17	21.32	21.33	20.95	21.15	1271183	89445216.00
2016/11/18	21.49	21.89	21.16	21.29	1746569	125476976.00
2016/11/21	21.40	21.79	20.94	21.52	1666604	118300776.00
2016/11/22	21.47	23.68	21.47	23.09	6347163	483720128.00
2016/11/23	22.76	22.82	21.92	21.98	4369738	325508896.00
2016/11/24	21.92	22.11	21.30	21.41	1885808	136281264.00
2016/11/25	21.13	21.93	20.56	21.92	2265799	160822672.00
2016/11/28	21.65	21.98	21.32	21.34	1358885	97753952.00
2016/11/29	21.38	21.77	20.83	20.98	1222122	86225608.00
2016/11/30	20.56	21.18	20.56	21.02	958851	66978908.00
2016/12/01	21.09	21.51	20.98	21.06	1083466	76522864.00
2016/12/02	21.10	21.15	20.28	20.38	1530401	104953000.00
2016/12/05	20.02	20.40	19.94	19.96	815708	54672004.00
2016/12/06	20.08	20.25	19.86	20.02	664065	44433368.00
2016/12/07	19.93	20.32	19.53	20.13	1106838	73514128.00
2016/12/08	20.14	20.18	19.77	19.90	756748	50423696.00
2016/12/09	19.85	20.14	19.14	19.14	1954210	128719040.00
2016/12/12	18.66	18.84	17.22	17.22	1968182	117349112.00
2016/12/13	16.96	17.26	16.62	16.93	1209435	68202200.00
2016/12/14	16.94	17.12	16.64	16.67	716385	40198520.00
2016/12/15	16.67	17.39	16.61	16.88	1257687	71448608.00
2016/12/16	16.93	17.23	16.89	17.03	786751	44780180.00
2016/12/19	17.08	17.19	16.79	17.03	519328	29400778.00
2016/12/20	17.03	17.15	16.66	16.76	789708	44481192.00
2016/12/21	16.87	17.03	16.61	16.95	996569	55986356.00
2016/12/22	16.79	17.03	16.49	16.88	931365	52188204.00
2016/12/23	16.92	16.93	15.76	15.77	1531023	82733448.00
2016/12/26	15.58	16.18	15.18	16.14	1190575	62664944.00
2016/12/27	16.14	16.33	15.94	16.04	554607	29776448.00
2016/12/28	16.15	16.15	15.82	15.88	584634	31206338.00
