300561 汇金科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/11/17	6.56	7.95	6.56	7.95	3600	130028.00
2016/11/18	8.79	8.79	8.79	8.79	2200	90992.00
2016/11/21	9.71	9.71	9.71	9.71	1600	72800.00
2016/11/22	10.72	10.72	10.72	10.72	1700	85085.00
2016/11/23	11.84	11.84	11.84	11.84	1286	70807.16
2016/11/24	13.06	13.06	13.06	13.06	2200	133254.00
2016/11/25	14.41	14.41	14.41	14.41	6200	413106.00
2016/11/28	15.89	15.89	15.89	15.89	4100	300489.00
2016/11/29	17.52	17.52	17.52	17.52	8341	672451.44
2016/11/30	19.32	19.32	19.32	19.32	11400	1010952.00
2016/12/01	21.29	21.29	21.29	21.29	14900	1453495.00
2016/12/02	23.46	23.46	23.46	23.46	45007	4829701.00
2016/12/05	25.85	25.85	25.85	25.85	25767	3041536.75
2016/12/06	28.47	28.47	28.47	28.47	30600	3973104.00
2016/12/07	31.36	31.36	30.04	31.36	9075030	1273678336.00
2016/12/08	30.44	32.62	30.34	30.90	7240934	1038773248.00
2016/12/09	30.07	30.11	28.19	28.29	5596997	742096512.00
2016/12/12	28.29	28.80	26.53	26.84	3682389	466335744.00
2016/12/13	26.63	28.37	26.59	27.39	3064399	383522144.00
2016/12/14	27.06	27.97	26.66	26.82	3096540	385007712.00
2016/12/15	26.51	27.62	26.28	27.16	2091045	258605200.00
2016/12/16	26.95	27.16	25.62	26.17	2889019	348280640.00
2016/12/19	25.89	26.95	25.33	26.81	2392565	286281632.00
2016/12/20	26.73	27.02	25.97	26.25	1685740	203747440.00
2016/12/21	26.32	26.46	25.39	25.89	1706515	200907296.00
2016/12/22	25.68	26.29	25.64	25.73	1190347	141062912.00
2016/12/23	25.45	25.94	24.26	24.26	1713078	196010400.00
2016/12/26	24.06	24.68	23.57	24.59	1287413	142262848.00
2016/12/27	24.50	24.71	24.12	24.45	980608	109468864.00
2016/12/28	24.39	26.73	24.34	25.81	2133226	249898160.00
2016/12/29	25.54	26.68	25.36	25.62	1800822	213722992.00
2016/12/30	25.51	25.99	25.06	25.66	1491105	173665024.00
2017/01/03	28.26	28.26	27.82	28.26	2388591	307598592.00
2017/01/04	28.84	29.83	28.32	28.76	4123310	547049152.00
2017/01/05	28.51	30.29	28.27	29.15	3193552	426610496.00
2017/01/06	28.55	29.22	27.06	27.17	2703175	346940992.00
2017/01/09	26.50	27.77	26.48	27.56	1601365	198591920.00
2017/01/10	27.37	27.59	26.73	27.31	1217367	150839136.00
2017/01/11	27.25	27.36	24.53	24.53	2498263	288753440.00
2017/01/12	24.56	27.01	24.56	25.28	1674801	193917616.00
2017/01/13	25.61	25.61	23.44	24.23	1715473	189372464.00
2017/01/16	23.61	23.66	21.77	21.80	1864102	190876048.00
2017/01/17	19.63	21.72	19.58	20.99	3859523	357502048.00
2017/01/18	20.34	20.61	19.76	19.83	2087128	192797808.00
2017/01/19	19.20	20.45	18.90	19.63	1757200	158817664.00
2017/01/20	19.68	21.63	19.43	21.26	2426341	231763392.00
2017/01/23	21.17	23.41	21.14	22.56	2788754	287060896.00
2017/01/24	22.72	23.47	22.28	23.11	2219486	233232016.00
2017/01/25	23.25	25.46	22.75	25.46	2064458	228448672.00
2017/01/26	25.97	26.26	24.97	25.96	2397510	280794880.00
2017/02/03	26.02	26.85	25.74	26.29	2017382	241856512.00
2017/02/06	26.15	26.80	25.33	26.78	2048375	243996384.00
2017/02/07	26.59	28.35	26.55	27.51	2813149	351124704.00
2017/02/08	26.90	28.06	26.51	27.77	2214066	275326528.00
2017/02/09	27.66	30.29	27.46	27.93	3330929	433693280.00
2017/02/10	28.51	29.29	25.95	26.01	4996338	623335040.00
2017/02/13	25.59	28.65	25.18	28.65	4706197	590206528.00
2017/02/14	28.59	29.58	27.95	28.90	3654949	479619200.00
2017/02/15	28.58	30.40	27.57	28.13	4123437	549571136.00
2017/02/16	28.50	29.22	27.54	28.81	2949991	383055136.00
2017/02/17	28.37	28.66	25.90	25.90	4856425	393119072.00
2017/02/20	25.02	25.70	23.27	23.81	5782789	422938240.00
2017/02/21	23.98	25.74	23.60	24.46	4951688	372701824.00
2017/02/22	24.40	26.94	23.28	26.94	5671737	429128448.00
2017/02/23	28.04	29.33	27.52	27.69	8586290	736243904.00
2017/02/24	27.13	28.20	26.96	27.04	4917156	406664128.00
2017/02/27	26.86	27.30	24.96	25.03	5283609	414045888.00
2017/02/28	24.86	27.56	24.80	27.19	7518208	613712448.00
2017/03/01	26.99	28.98	26.10	27.71	7753823	646863936.00
2017/03/02	27.47	28.49	27.07	27.41	4864641	409623168.00
2017/03/03	27.03	28.46	26.37	26.87	6024153	502278656.00
2017/03/06	26.53	27.25	26.39	26.93	3426245	279731136.00
2017/03/07	26.69	26.86	25.87	26.70	4132364	330663296.00
2017/03/08	26.51	26.91	26.20	26.41	2601217	209204272.00
2017/03/09	26.32	26.37	25.36	25.41	2783265	218208544.00
2017/03/10	25.37	26.36	25.30	25.69	2709889	213375600.00
2017/03/13	25.20	26.02	24.86	25.72	2656546	204477936.00
2017/03/14	25.72	26.19	25.53	25.59	2403094	188486608.00
2017/03/15	25.30	25.49	24.99	25.03	2033884	155305984.00
2017/03/16	25.06	26.99	25.06	26.19	3682171	290323296.00
2017/03/17	26.20	26.86	25.50	25.56	3156149	251083616.00
2017/03/20	25.30	25.36	24.88	25.36	2437749	185705808.00
2017/03/21	25.31	25.75	25.23	25.44	1634949	126344480.00
2017/03/22	25.25	25.36	24.79	25.21	2225745	169275424.00
2017/03/23	25.21	25.69	24.74	25.02	2468250	189078496.00
2017/03/24	24.86	25.15	24.79	24.88	1645353	124474280.00
2017/03/27	24.89	25.11	24.74	24.89	1163050	87998632.00
2017/03/28	24.81	24.95	23.98	23.99	2166862	160107984.00
2017/03/29	24.00	24.08	22.86	22.89	1834400	130000992.00
2017/03/30	22.74	22.82	21.52	21.62	1935257	129080680.00
2017/03/31	21.61	22.06	21.46	21.66	1172300	77458960.00
2017/04/05	21.69	21.92	20.81	21.83	1242734	81159488.00
2017/04/06	21.82	22.15	21.72	21.91	1006479	67401544.00
