300601 康泰生物 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/02/07	2.54	2.80	2.54	2.80	11600	54755.00
2017/02/08	3.11	3.11	3.11	3.11	4637	24158.77
2017/02/09	3.46	3.46	3.46	3.46	5092	29177.16
2017/02/10	3.84	3.84	3.84	3.84	4400	27720.00
2017/02/13	4.26	4.26	4.26	4.26	2600	18018.00
2017/02/14	4.72	4.72	4.72	4.72	2900	22098.00
2017/02/15	5.23	5.23	5.23	5.23	7209	60411.42
2017/02/16	5.79	5.79	5.79	5.79	9509	87672.98
2017/02/17	6.40	6.40	6.40	6.40	14700	149058.00
2017/02/20	7.08	7.08	7.08	7.08	31031	345995.66
2017/02/21	7.82	7.82	7.82	7.82	27747	340455.69
2017/02/22	8.65	8.65	8.65	8.65	17278	233253.00
2017/02/23	9.55	9.55	9.55	9.55	51909	770848.63
2017/02/24	10.54	10.54	10.54	10.54	53088	867457.94
2017/02/27	11.63	11.63	11.63	11.63	45349	814921.50
2017/02/28	12.83	12.83	12.83	12.83	39196	774904.94
2017/03/01	14.15	14.15	14.15	14.15	41500	902625.00
2017/03/02	15.61	15.61	15.61	15.61	475544	11379768.00
2017/03/03	17.21	17.21	17.21	17.21	768371	20223524.00
2017/03/06	18.96	18.96	18.96	18.96	152787	4423183.50
2017/03/07	20.90	20.90	20.90	20.90	110107	3506908.00
2017/03/08	23.03	23.03	23.03	23.03	2250539	78858888.00
2017/03/09	25.37	25.37	24.79	25.37	12107857	466129312.00
2017/03/10	26.40	26.40	24.51	24.65	25413218	977370752.00
2017/03/13	24.13	24.61	22.66	24.10	14127272	511341792.00
2017/03/14	24.51	26.41	24.26	25.06	18476287	711621120.00
2017/03/15	25.14	26.01	23.91	25.61	14998272	576060096.00
2017/03/16	25.13	27.67	24.94	26.68	17914935	711159488.00
2017/03/17	26.22	26.87	24.94	25.07	16099930	630437760.00
2017/03/20	24.69	25.39	24.56	25.37	6184595	235566512.00
2017/03/21	25.33	26.01	25.18	25.89	7995886	311140480.00
2017/03/22	25.14	25.99	25.01	25.68	8487017	328472352.00
2017/03/23	25.67	26.93	25.22	25.84	11925514	474074976.00
2017/03/24	25.65	25.81	25.14	25.42	6229263	241078848.00
2017/03/27	25.43	25.66	24.69	24.90	5147297	196204160.00
2017/03/28	24.74	25.39	24.59	24.61	4415120	167723200.00
2017/03/29	24.54	24.67	22.67	22.68	6881951	243867200.00
2017/03/30	22.47	22.60	20.93	20.94	5751495	186679184.00
2017/03/31	20.94	21.33	20.00	20.31	4197345	132590584.00
2017/04/05	20.06	20.95	19.66	20.90	3132983	97553728.00
2017/04/06	20.67	21.64	20.61	21.24	3197335	103264912.00
2017/04/07	21.13	21.37	20.47	20.57	2768001	88115136.00
2017/04/10	20.55	20.56	19.20	19.38	3472155	104700472.00
2017/04/11	19.38	19.78	18.86	19.77	2735825	80976928.00
2017/04/12	19.75	20.99	19.50	20.29	3595831	111954936.00
2017/04/13	19.66	20.91	19.63	20.41	2174316	67987880.00
2017/04/14	20.23	21.32	20.21	20.88	3296274	104778744.00
2017/04/17	19.67	19.99	19.16	19.43	2983230	88660480.00
2017/04/18	19.43	19.64	19.22	19.22	1317413	39056924.00
2017/04/19	19.20	19.50	19.00	19.47	1669124	49147064.00
2017/04/20	19.48	19.58	17.75	18.58	2811292	80299120.00
2017/04/21	18.41	18.61	17.66	17.73	2030216	55659156.00
2017/04/24	17.73	17.77	16.26	16.33	2053986	52389824.00
2017/04/25	16.42	16.93	16.38	16.59	1547443	39496280.00
2017/04/26	16.63	17.08	16.63	16.86	1214966	31427152.00
2017/04/27	16.86	17.65	16.73	17.47	1862625	49150088.00
2017/04/28	17.47	17.78	17.35	17.39	1468547	39455132.00
2017/05/02	17.39	17.59	17.19	17.43	751396	20038330.00
2017/05/03	17.59	17.72	16.90	17.29	1181509	31190552.00
2017/05/04	17.26	17.45	16.87	17.19	1157212	30394920.00
2017/05/05	17.01	18.59	17.01	17.89	2477443	68027416.00
2017/05/08	17.86	17.91	17.57	17.61	1044198	28257064.00
2017/05/09	17.61	17.78	16.89	17.58	1177776	31176182.00
2017/05/10	17.44	17.97	16.99	17.24	1190925	32137332.00
2017/05/11	17.03	17.33	16.67	17.33	1027456	26702454.00
2017/05/12	17.29	17.79	17.03	17.47	967877	25691998.00
2017/05/15	17.52	17.69	17.34	17.50	712875	19096262.00
2017/05/16	17.33	17.97	17.13	17.86	1584858	42522896.00
2017/05/17	17.86	18.39	17.73	17.95	1310396	36239424.00
2017/05/18	17.71	18.30	17.50	18.03	1286558	35518316.00
2017/05/19	18.12	18.20	17.79	17.86	699112	19176602.00
2017/05/22	17.97	18.20	17.25	17.50	1186033	32271708.00
2017/05/23	17.15	17.91	16.26	16.29	1469797	37794436.00
2017/05/24	16.29	16.51	15.68	16.39	899465	22306540.00
2017/05/25	16.45	16.63	15.92	16.49	984758	24694886.00
2017/05/26	16.49	16.72	16.28	16.53	675317	17110906.00
2017/05/31	16.80	17.33	16.73	16.73	1015094	26462590.00
2017/06/01	16.61	16.76	15.84	15.90	792582	19821486.00
2017/06/02	16.19	16.31	15.79	16.16	646016	15846337.00
2017/06/05	16.34	16.49	16.12	16.26	509719	12756672.00
2017/06/06	16.12	16.41	16.12	16.30	428066	10698953.00
2017/06/07	16.32	17.03	16.31	17.03	1413964	36461444.00
2017/06/08	17.07	17.18	16.77	16.81	641836	16599101.00
2017/06/09	16.77	16.87	16.60	16.72	464600	11860154.00
2017/06/12	16.79	16.81	16.38	16.49	448800	11340009.00
2017/06/13	16.53	16.93	16.49	16.86	782934	19958060.00
2017/06/14	16.90	16.90	16.49	16.63	608334	15425897.00
2017/06/15	16.54	16.99	16.53	16.92	909691	23391692.00
2017/06/16	17.01	17.01	16.78	16.89	703540	18160156.00
2017/06/19	16.83	17.10	16.83	16.85	789606	20488338.00
2017/06/20	17.02	17.23	16.87	17.08	951056	24817914.00
2017/06/21	17.03	17.27	16.91	17.08	971766	25347436.00
2017/06/22	16.97	17.15	16.37	16.61	854257	21961134.00
2017/06/23	16.57	17.03	16.39	16.73	805952	20590148.00
2017/06/26	16.73	17.36	16.62	17.27	1254058	32783164.00
2017/06/27	17.27	17.43	17.04	17.21	662527	17395944.00
2017/06/28	17.18	17.29	17.03	17.07	444136	11637437.00
2017/06/29	17.07	17.37	17.04	17.37	814569	21403334.00
2017/06/30	17.37	18.96	17.19	18.41	3327291	92191960.00
2017/07/03	19.24	19.24	18.44	18.93	4461564	128787792.00
2017/07/04	18.44	18.76	18.24	18.70	2658669	74958856.00
2017/07/05	18.64	18.64	18.38	18.59	1502800	42397164.00
2017/07/06	18.47	18.56	18.08	18.18	1923067	53605356.00
2017/07/07	18.18	18.36	18.00	18.31	1347508	37440124.00
2017/07/10	18.30	18.30	17.87	17.95	1217287	33467926.00
2017/07/11	17.87	17.99	17.70	17.71	783398	21256222.00
2017/07/12	17.71	17.81	17.37	17.79	780618	20912188.00
2017/07/13	17.75	17.89	17.57	17.87	622409	16839920.00
2017/07/14	17.83	18.09	17.68	17.70	705496	19226204.00
2017/07/17	17.57	17.65	15.90	16.15	1581479	40122144.00
2017/07/18	16.03	16.63	15.96	16.55	770549	19363158.00
2017/07/19	16.63	16.89	16.50	16.73	599892	15294335.00
2017/07/20	16.87	18.44	16.87	17.91	2736365	75202840.00
2017/07/21	18.10	18.36	17.03	17.57	2044838	55648248.00
2017/07/24	17.33	19.03	17.33	18.92	4107372	116512256.00
2017/07/25	18.98	18.99	18.38	18.57	2053900	58515312.00
2017/07/26	18.60	18.97	18.47	18.58	1776398	50501304.00
2017/07/27	18.52	19.52	18.37	19.02	3211265	92545824.00
2017/07/28	20.04	20.82	19.79	20.29	4946294	152664688.00
2017/07/31	20.51	22.35	20.41	21.84	6430863	211223056.00
2017/08/01	21.82	21.83	20.87	21.04	4219836	135870336.00
2017/08/02	20.99	21.43	20.64	20.66	3242487	103592504.00
2017/08/03	20.91	21.29	20.57	20.62	2328096	74009512.00
2017/08/04	20.59	21.24	20.38	20.51	2138859	67358696.00
2017/08/07	20.53	21.97	20.52	21.61	3645139	119090104.00
2017/08/08	21.09	21.83	20.97	21.77	2396482	78338728.00
2017/08/09	21.77	21.96	21.04	21.41	2089098	68076992.00
2017/08/10	21.30	21.70	20.71	20.90	1683698	53900880.00
