300632 光莆股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/06	5.61	6.75	5.61	6.75	5700	60031.00
2017/04/07	7.43	7.43	7.43	7.43	1000	11700.00
2017/04/10	8.18	8.18	8.18	8.18	1548	19922.76
2017/04/11	9.01	9.01	9.01	9.01	1545	21877.20
2017/04/12	9.92	9.92	9.92	9.92	1100	17138.00
2017/04/13	10.92	10.92	10.92	10.92	3300	56562.00
2017/04/14	12.02	12.02	12.02	12.02	20521	386820.84
2017/04/17	13.24	13.24	13.24	13.24	40572	841463.25
2017/04/18	14.57	14.57	14.57	14.57	31335	714751.38
2017/04/19	16.03	16.03	16.03	16.03	45480	1141093.25
2017/04/20	17.64	17.64	17.64	17.64	37380	1031688.00
2017/04/21	19.42	19.42	19.42	19.42	972828	29535058.00
2017/04/24	18.54	18.54	17.46	17.46	13183508	364222752.00
2017/04/25	17.18	18.18	16.96	17.50	11909957	329342624.00
2017/04/26	16.87	17.61	16.87	17.23	7876898	212523296.00
2017/04/27	17.36	18.96	17.36	18.96	10665527	301801792.00
2017/04/28	19.83	20.59	19.30	20.18	13965718	434243264.00
2017/05/02	19.57	20.18	19.19	20.11	9336088	286432864.00
2017/05/03	19.93	21.73	19.84	20.70	11784398	380025952.00
2017/05/04	20.34	20.34	18.67	19.38	9530008	290698432.00
2017/05/05	19.19	19.38	18.09	18.09	7731782	226872752.00
2017/05/08	17.91	18.41	17.60	17.85	4830990	136273664.00
2017/05/09	17.79	18.87	17.77	18.67	5691460	163766304.00
2017/05/10	18.50	19.54	18.29	19.40	9899491	292242304.00
2017/05/11	18.93	21.10	18.74	20.73	10237362	317196352.00
2017/05/12	20.67	21.66	20.04	21.10	10285926	333330976.00
2017/05/15	20.86	21.04	20.09	20.38	7816687	250377536.00
2017/05/16	20.38	20.78	19.58	20.58	9000762	284430496.00
2017/05/17	20.31	20.60	19.67	19.70	8404561	264268848.00
2017/05/18	19.03	19.35	18.09	18.22	7429711	218393744.00
2017/05/19	18.38	18.74	17.97	18.47	4323548	124128280.00
2017/05/22	18.29	18.51	16.61	16.61	6788639	184003648.00
2017/05/23	16.30	16.84	15.48	15.72	5147497	130035592.00
2017/05/24	15.68	16.13	15.46	15.91	3795531	94268728.00
2017/05/25	15.91	15.93	14.94	15.59	4655392	112794056.00
2017/05/26	15.59	16.29	15.56	15.94	3994245	99386000.00
2017/05/31	16.77	17.20	15.94	15.95	5330442	138668400.00
2017/06/01	15.65	15.77	14.52	14.52	3986305	94808328.00
2017/06/02	14.41	15.30	14.37	15.08	3074070	71242032.00
2017/06/05	15.47	15.81	15.27	15.35	3318851	80709408.00
