300676 ������� ���� ǰ��Ȩ
      ����	    ����	    ���	    ���	    ����	    �ɽ���	    �ɽ���
2017/07/14	15.67	18.94	15.67	18.94	5500	106878.00
2017/07/17	20.90	20.90	20.90	20.90	5347	115495.20
2017/07/18	23.06	23.06	23.06	23.06	2322	55170.72
2017/07/19	25.44	25.44	25.44	25.44	5314	138907.95
2017/07/20	28.05	28.05	28.05	28.05	8200	235750.00
2017/07/21	30.93	30.93	30.93	30.93	10400	328952.00
2017/07/24	34.09	34.09	34.09	34.09	23981	834299.00
2017/07/25	37.57	37.57	37.57	37.57	22700	868729.00
2017/07/26	41.40	41.40	41.40	41.40	45263	1905572.25
2017/07/27	45.61	45.61	45.61	45.61	58400	2704504.00
2017/07/28	50.24	50.24	50.24	50.24	91281	4649854.00
2017/07/31	55.33	55.33	55.33	55.33	126126	7066840.00
2017/08/01	60.93	60.93	60.93	60.93	128449	7916312.00
2017/08/02	67.09	67.09	67.09	67.09	99511	6745850.50
2017/08/03	73.87	73.87	73.87	73.87	371493	27702234.00
2017/08/04	81.33	81.33	81.33	81.33	592844	48630992.00
2017/08/07	89.53	89.53	89.53	89.53	497986	44933276.00
2017/08/08	98.55	98.55	98.55	98.55	475050	47148712.00
2017/08/09	108.48	108.48	104.30	108.48	27395860	2956949248.00
2017/08/10	106.48	114.18	104.50	105.70	20261118	2222988032.00
2017/08/11	100.30	102.27	95.06	95.07	15908697	1581843072.00
2017/08/14	96.50	104.60	95.65	102.60	10739663	1086300544.00
2017/08/15	102.60	104.99	100.51	103.88	7600807	787214208.00
2017/08/16	103.00	114.34	102.93	114.34	12345623	1393412992.00
2017/08/17	114.34	125.07	112.89	115.20	14007730	1673853824.00
2017/08/18	112.31	120.16	109.66	118.96	10271322	1187799168.00
2017/08/21	120.98	130.93	120.98	130.93	10612526	1342225920.00
2017/08/22	133.31	135.96	126.80	128.00	11140900	1471314688.00
2017/08/23	125.69	134.30	124.41	128.18	8245524	1068688256.00
2017/08/24	127.30	129.76	120.30	120.31	9457068	1178638080.00
2017/08/25	119.60	132.41	119.60	132.41	9572372	1225599232.00
2017/08/28	135.30	136.28	129.30	130.98	9217057	1222917376.00
2017/08/29	128.30	132.62	126.30	127.30	6337202	822679616.00
2017/08/30	125.90	131.00	124.06	125.72	6007145	766254784.00
2017/08/31	127.28	138.36	127.28	138.36	10939613	1480692224.00
2017/09/01	141.07	141.10	131.53	132.70	9290494	1256257024.00
2017/09/04	132.30	136.90	131.31	134.21	5130613	692270144.00
2017/09/05	135.24	135.80	132.78	135.30	3644056	492483904.00
2017/09/06	134.31	148.60	134.18	143.66	7700715	1106208384.00
2017/09/07	142.25	158.10	140.40	156.10	9703896	1468543488.00
2017/09/08	154.21	171.78	153.50	171.78	5747580	951657792.00
2017/09/18	164.42	184.27	156.30	173.70	9964554	1703867904.00
2017/09/19	169.30	183.80	166.20	182.28	7068726	1237119616.00
2017/09/20	179.50	183.18	173.30	174.18	6011809	1072569472.00
2017/09/21	174.03	181.18	170.30	174.31	5317248	939390592.00
2017/09/22	170.80	172.56	159.30	163.00	6359132	1060552320.00
2017/09/25	164.29	178.18	161.35	175.55	6563403	1120150272.00
2017/09/26	173.30	181.88	166.30	173.28	5856412	1019514688.00
2017/09/27	171.31	180.30	171.31	175.41	4363056	771929856.00
2017/09/28	174.03	178.06	170.30	171.18	4116878	718682560.00
2017/09/29	171.29	174.28	165.40	169.21	3755965	636968960.00
2017/10/09	170.90	175.28	168.39	170.22	3286930	566081152.00
2017/10/10	169.60	186.80	168.80	184.60	7128370	1268162816.00
2017/10/11	183.30	188.18	176.36	176.50	5649312	1026890816.00
2017/10/12	174.63	176.77	167.47	169.50	5201456	893641472.00
2017/10/13	169.30	173.28	167.99	169.90	2769112	475243744.00
2017/10/16	169.92	170.16	160.31	160.75	4800351	786808384.00
2017/10/17	160.30	163.29	155.45	160.48	3083874	494300576.00
2017/10/18	160.50	164.84	159.42	161.26	2520903	411635456.00
2017/10/19	161.97	164.10	158.22	162.33	2497484	405922720.00
2017/10/20	161.80	165.18	161.80	163.63	1955880	320938880.00
2017/10/23	164.77	165.85	162.91	164.80	1801049	297414880.00
2017/10/24	164.01	165.30	158.80	160.18	2695336	435944992.00
2017/10/25	157.46	162.29	157.46	160.40	2259728	363093920.00
2017/10/26	161.10	161.79	158.82	160.33	2090782	336779104.00
2017/10/27	163.48	173.07	163.48	167.65	5696406	967155648.00
2017/10/30	166.60	183.98	166.60	181.10	7490821	1324620928.00
2017/10/31	182.30	199.28	179.40	199.28	8282729	1579307904.00
2017/11/01	201.18	202.17	192.31	193.74	6688348	1322782848.00
2017/11/02	195.44	211.16	193.80	204.00	7518100	1535031680.00
2017/11/03	203.80	209.29	200.06	203.09	5151488	1055073216.00
2017/11/06	204.41	206.18	194.67	198.07	4976463	992409920.00
2017/11/07	198.70	216.18	196.90	214.26	6336624	1322174208.00
2017/11/08	211.30	214.99	207.30	209.80	4985434	1055402752.00
2017/11/09	210.18	225.96	208.80	214.80	6136399	1341767296.00
2017/11/10	214.95	221.88	211.30	219.85	4211824	917196672.00
2017/11/13	220.90	241.91	220.90	241.91	6346067	1493636224.00
2017/11/14	239.63	261.29	237.30	244.40	9044705	2263231488.00
2017/11/15	244.31	258.18	234.30	256.32	7076444	1749654272.00
2017/11/23	249.30	250.50	230.62	230.62	6721795	1610816128.00
2017/11/24	217.30	221.23	207.49	207.49	6158993	1316656384.00
2017/11/27	193.30	204.86	186.67	190.11	7427441	1445781248.00
2017/11/28	194.30	205.80	194.30	203.00	5657648	1138655232.00
2017/11/29	201.30	201.30	182.90	193.60	6544094	1252375680.00
2017/11/30	190.82	198.14	184.30	192.31	3958088	763483904.00
2017/12/01	190.30	202.88	188.10	198.70	4484617	889640192.00
2017/12/04	197.29	204.29	194.65	194.65	3375639	674041024.00
2017/12/05	189.30	201.80	186.18	195.60	3621070	710755008.00
2017/12/06	200.29	201.29	192.38	200.01	3656144	724616768.00
2017/12/07	199.31	209.20	196.00	206.05	4203416	855555136.00
2017/12/08	203.90	225.86	203.31	222.01	5175966	1111624960.00
2017/12/11	222.80	235.73	222.80	227.30	4761413	1095068288.00
2017/12/12	227.80	232.20	224.90	226.20	3276158	749432256.00
2017/12/13	228.30	234.30	225.30	232.79	3567628	825661504.00
2017/12/14	233.18	235.10	220.38	227.89	4204321	958019264.00
2017/12/15	228.21	229.79	221.91	227.09	2824207	641239616.00
2017/12/18	225.73	228.18	204.31	204.31	5236517	1115118464.00
2017/12/19	204.32	211.00	201.31	205.41	2972386	615283520.00
2017/12/20	204.81	206.80	196.68	202.56	3379127	682768128.00
2017/12/21	202.30	218.11	200.33	215.80	4201699	893823744.00
2017/12/22	211.30	216.10	208.30	210.30	3107441	659841856.00
2017/12/25	208.73	212.47	207.27	210.90	2074872	437642304.00
2017/12/26	210.45	217.78	210.41	216.30	3078815	665830528.00
2017/12/27	215.30	216.20	205.30	205.63	3727505	783671104.00
2017/12/28	204.75	209.30	203.80	204.10	2173608	450518304.00
2017/12/29	206.30	210.30	206.30	207.30	2084611	436493376.00
2018/01/02	211.30	212.29	205.37	208.05	1556340	325036160.00
2018/01/03	208.80	210.18	206.30	208.31	1934061	404806336.00
2018/01/04	207.09	208.44	200.81	205.80	2905586	596472064.00
2018/01/05	204.90	208.95	202.41	207.40	2446466	507622336.00
2018/01/08	206.30	207.29	199.40	201.40	2673646	541016384.00
2018/01/09	200.44	204.00	200.10	202.10	1624648	329805088.00
2018/01/10	201.30	202.98	190.80	192.80	3606772	709129408.00
2018/01/11	190.80	198.79	188.18	196.80	2719671	532730944.00
2018/01/12	195.30	205.29	191.30	200.35	2926406	585523520.00
2018/01/15	199.00	199.00	191.30	192.08	2504279	486495264.00
2018/01/16	192.08	195.29	191.30	192.76	1414467	273946240.00
2018/01/17	192.31	193.28	185.31	188.63	2217621	418973504.00
2018/01/18	187.61	191.10	185.29	185.80	1770271	332666880.00
2018/01/19	188.30	188.77	185.62	185.80	1286276	241333488.00
2018/01/22	184.30	185.31	167.98	175.95	2972350	524294368.00
2018/01/23	175.54	188.08	175.54	184.50	3134132	577825856.00
2018/01/24	184.79	189.20	183.18	185.32	2282200	426654688.00
2018/01/25	184.30	189.13	182.61	185.00	2536160	472048352.00
2018/01/26	181.31	184.07	179.48	179.85	1595300	290278592.00
2018/01/29	178.10	178.10	170.52	172.29	2301710	401109408.00
2018/01/30	172.00	172.00	168.45	169.30	1411314	240365792.00
2018/01/31	169.18	169.26	158.18	158.70	2904344	469290400.00
2018/02/01	157.41	161.80	155.50	158.12	1667956	265252080.00
2018/02/02	155.30	155.30	148.18	149.60	2224800	338100640.00
2018/02/05	143.30	147.60	138.39	138.91	2554638	367693312.00
2018/02/06	134.27	148.15	131.43	140.27	3113309	441753024.00
2018/02/07	144.10	144.85	134.82	140.43	2212081	312419616.00
2018/02/08	139.28	147.41	137.60	146.00	2167653	314147488.00
2018/02/09	141.30	152.37	139.88	148.10	2908663	432622144.00
2018/02/12	150.30	157.98	150.19	157.22	2435480	379144256.00
2018/02/13	159.30	159.76	152.81	154.21	1729815	269968992.00
2018/02/14	153.10	155.29	148.01	150.20	1404499	213400720.00
2018/02/22	150.30	156.10	148.18	153.65	1625434	248595776.00
2018/02/23	152.03	155.23	150.00	151.02	1402218	213648336.00
2018/02/26	153.08	166.19	151.46	166.19	3748093	602565824.00
2018/02/27	168.30	174.53	166.19	167.67	3461570	590611328.00
2018/02/28	163.73	171.29	162.86	168.27	2042027	344393184.00
2018/03/01	165.63	171.83	163.83	170.30	3032067	511639328.00
2018/03/02	167.80	172.80	165.02	165.08	2471990	417732064.00
2018/03/05	165.97	175.81	163.50	174.46	3409581	584562560.00
2018/03/06	174.30	179.35	171.80	174.48	3488347	616459648.00
2018/03/07	173.30	175.04	169.99	170.30	2131843	368544512.00
2018/03/08	170.30	174.40	168.32	171.55	1898794	327711360.00
2018/03/09	171.21	176.27	170.13	175.00	2592949	452131968.00
2018/03/12	176.60	179.18	175.00	175.97	2450124	434918272.00
2018/03/13	175.50	181.56	174.63	177.30	3094287	553878208.00
2018/03/14	176.29	177.29	170.00	170.30	2937333	509894016.00
2018/03/15	167.45	168.89	162.30	166.39	2698129	448508160.00
2018/03/16	167.30	169.18	165.30	165.52	1603169	269354048.00
